#CODE;ENGLISH;FRENCH;GERMAN;;SPANISH;;;;;;;;;x
hold_an_archery_tournament;Hold an Archery Tournament;Organiser un tournoi d'archerie;;;Celebrar un Torneo de tiro con arco;;;;;;;;;x
EVTDESCarchery.8;The archery tournament had finally got underway, and you had the chance to fire your first few arrows and prove yourself worthy for the final rounds. Your aim was wayward however, and you did not score enough points to advance.;Le tournoi d'archerie a enfin commencé et vous avez eu la chance de tirer vos premières flèches pour prouver à tous que vous étiez digne de participer aux phases finales. Malheureusement vous n'êtes pas parvenu à marquer assez de points pour avancer dans le tournoi.;;;El torneo de tiro con arco ha comenzado, y habéis tenido la oportunidad de disparar vuestras primeras flechas y demostrar que sois digno para las rondas finales. Desafortunadamente, vuestra puntería no fue suficientemente certera y no anotasteis los puntos suficientes para avanzar.;;;;;;;;;x
EVTOPTAarchery.8;I will be better next time;Je serai meilleur la prochaine fois. ;;;Seré mejor la próxima vez;;;;;;;;;x
EVTDESCarchery.9;The first round of arrows is over. We now have our final selection of archers who will face off in a series of best of three arrows matches until we have a winner.;Le premier tour est terminé. Nous avons désormais la liste des archers qui participeront aux phases finales. Ils s'affronteront dans des duels à trois flèches jusqu'à ce que nous obtenions un vainqueur. ;;;La primera ronda ha terminado. Ya tenemos la lista de arqueros de la fase final que se enfrentarán en duelos de tres flechas hasta que haya un vencedor.;;;;;;;;;x
EVTOPTAarchery.9;Able archers all of them;Tous des archers talentueux. ;;;Arqueros talentosos todos ellos;;;;;;;;;x
TOOLTIParchery.10;[This.GetTitledFirstNameWithDynastyAndTitleNoRegnal] made the final rounds;[This.GetTitledFirstNameWithDynastyAndTitleNoRegnal] a atteint les phases finales.;;;[This.GetTitledFirstNameWithDynastyAndTitleNoRegnal] alcanzó las rondas finales;;;;;;;;;x
EVTDESCarchery.10;The archery tournament had begun with a first round of arrows for each archer, and you handily made it to the final rounds. You comfortably gained enough points with your sure aim, now the final rounds will begin.;Le tournoi d'archerie a débuté avec un premier tour où chaque archer a tiré une poignée de flèches. Vous avez marqué assez de points pour passer aux phases finales qui vont bientôt débuter.;;;El torneo de tiro con arco comenzó con una primera ronda de flechas para cada arquero, y cómodamente habéis llegado a las rondas finales. Ahora ha llegado el momento de la ronda final.;;;;;;;;;x
EVTOPTAarchery.10;I'm on good form;Je suis en bonne forme.;;;Estoy en buena forma;;;;;;;;;x
EVTDESCarchery.13;For your next match you have been paired with [From.GetTitledFirstNameWithDynasty]. Side by side you both now take aim at the target, ready to fire your first arrow...;Pour votre prochain duel vous allez devoir affronter [From.GetTitledFirstNameWithDynasty]. Côte à côte, vous visez tous les deux la cible, prêts à tirer votre première flèche... ;;;En el siguiente duelo os han emparejado con [From.GetTitledFirstNameWithDynasty]. Uno al lado del otro, apuntáis al blanco, listos para disparar la primera flecha...;;;;;;;;;x
EVTOPTAarchery.13;Steady...;Prendre son souffle…;;;Calma…;;;;;;;;;x
TOOLTIParchery.14;The first arrow of a best of three matchup is fired;La première des trois flèches est tirée.;;;Lanzada la primera de tres flechas.;;;;;;;;;x
EVTDESCarchery.14;For your next match you have been paired with [From.GetTitledFirstNameWithDynasty]. Side by side you both now take aim at the target, ready to fire your first arrow…;Pour votre prochain duel vous allez devoir affronter [From.GetTitledFirstNameWithDynasty]. Côte à côte, vous visez tous les deux la cible, prêts à tirer votre première flèche... ;;;En el siguiente duelo os han emparejado con [From.GetTitledFirstNameWithDynasty]. Uno al lado del otro, apuntáis al blanco, listos para disparar la primera flecha...;;;;;;;;;x
EVTOPTAarchery.14;Steady...;Stabiliser…;;;Calma…;;;;;;;;;x
EVTDESCarchery.16;Your aim was true. Your arrow was landed closer to the target than your opponent's, and the round is awarded to you.;Vous avez visé juste. Votre flèche était plus proche de la cible que celle de votre adversaire, vous remportez le tour. ;;; Vuestra flecha se queda más cerca del objetivo que la de vuestro rival, ganáis la ronda.;;;;;;;;;x
EVTOPTAarchery.16;A good shot;Un bon tir.;;;Un buen tiro;;;;;;;;;x
EVTDESCarchery.17;Your aim was wayward this time. Your opponent managed to land an arrow closer to the centre of the target, and so wins the round.;Vous avez mal jugé votre coup. Votre adversaire est parvenu à planter sa flèche bien plus près de la cible que vous. Il remporte donc le tour.;;;No conseguís acertar en la diana, y vuestro oponente consigue un tiro más certero que el vuestro por lo que gana esta ronda.;;;;;;;;;x
EVTOPTAarchery.17;There was a gust of wind, I swear;Il y avait du vent, je le promets !;;;Hubo una ráfaga de viento, lo juro;;;;;;;;;x
EVTDESCarchery.18;Your opponent is no longer able to continue in this match, and so you win by default.;Votre adversaire ne peut plus continuer le duel, vous le remportez donc par forfait.;;;Vuestro oponente no es capaz de continuar el duelo por lo que ganáis por abandono.;;;;;;;;;x
EVTOPTAarchery.18;A win is a win;Une victoire est une victoire.;;;Una victoria es una victoria;;;;;;;;;x
EVTDESCarchery.20;The target has been reset, you and [From.GetTitledFirstName] notch another arrow and take aim at the target once more...;La cible a été changée, [From.GetTitledFirstName], tout comme vous, encoche une nouvelle flèche et vise une nouvelle fois la cible… ;;;Cambian la diana, vos y [From.GetTitledFirstName] cogéis otra flecha y ponéis la vista en la diana una vez más...;;;;;;;;;x
EVTOPTAarchery.20;Steady...;Stabiliser…;;;Calma…;;;;;;;;;x
TOOLTIParchery.21;The next arrow of the matchup shall be fired;La prochaine flèche va être tirée.;;;La siguiente flecha del duelo se va a disparar.;;;;;;;;;x
EVTDESCarchery.21;The target has been reset, you and [From.GetTitledFirstName] notch another arrow and take aim at the target once more...;La cible a été changée, [From.GetTitledFirstName], tout comme vous, encoche une nouvelle flèche et vise une nouvelle fois la cible… ;;;Cambian la diana, vos y [From.GetTitledFirstName] cogéis otra flecha y ponéis la vista en la diana una vez más...;;;;;;;;;x
EVTOPTAarchery.21;Steady...;Stabiliser…;;;Calma…;;;;;;;;;x
EVTDESCarchery.23;You have won your second arrow against [From.GetTitledFirstNameWithDynasty], and so have won the match up! ;Vous avez frappé juste une seconde fois et avez donc remporté le duel contre [From.GetTitledFirstNameWithDynasty] ! ;;;Habéi ganado vuestra segunda flecha contra [From.GetTitledFirstNameWithDynasty], ¡y por tanto ganáis el duelo!;;;;;;;;;x
EVTOPTAarchery.23;My aim is good;Mes yeux ne me trahissent pas.;;;Mis ojos nunca fallan.;;;;;;;;;x
EVTDESCarchery.24;With the last arrow, [From.GetTitledFirstNameWithDynasty] has won their second of the match, and so has defeated you. You have been eliminated.;Avec cette dernière flèche, [From.GetTitledFirstNameWithDynasty] l'a emporté une seconde fois et vous a donc défait. Vous êtes éliminé.;;;Con la última flecha, [From.GetTitledFirstNameWithDynasty] os ha ganado por segunda vez, por lo que os ha vencido. Habéis sido eliminado.;;;;;;;;;x
EVTOPTAarchery.24;I will prevail next time;Je vaincrai la prochaine fois !;;;¡La próxima vez venceré!;;;;;;;;;x
EVTDESCarchery.25;In the latest matchup of the final rounds of your tournament [From.GetTitledFirstNameWithDynasty] defeated [FromFrom.GetTitledFirstNameWithDynasty], scoring more points with their arrows.;Dans le dernier duel des phases finales de votre tournoi, [From.GetTitledFirstNameWithDynasty] a défait [FromFrom.GetTitledFirstNameWithDynasty], marquant plus de points avec ses flèches. ;;;En la última tirada de la ronda final del torneo [From.GetTitledFirstNameWithDynasty] derrotó a [FromFrom.GetTitledFirstNameWithDynasty], anotando más puntos con sus flechas.;;;;;;;;;x
EVTOPTAarchery.25;Well done;Bien joué.;;;¡Bien hecho!;;;;;;;;;x
EVTDESCarchery.26;The final match up had begun between [From.GetTitledFirstNameWithDynasty] and [FromFrom.GetTitledFirstNameWithDynasty]. In the final arrow [From.GetTitledFirstName] was the most accurate, and has been proclaimed the winner of the tournament!;Le duel final entre [From.GetTitledFirstNameWithDynasty] et [FromFrom.GetTitledFirstNameWithDynasty] a commencé. Lors de la dernière flèche, [From.GetTitledFirstName] a mieux visé et a été proclamé vainqueur du tournoi ! ;;;El duelo final enfretó a [From.GetTitledFirstNameWithDynasty] y [FromFrom.GetTitledFirstNameWithDynasty]. En la última flecha [From.GetTitledFirstName] fue el más preciso, ¡y por tanto ha sido proclamado el ganador del torneo!;;;;;;;;;x
EVTOPTAarchery.26;Congratulation!;Félicitation !;;;¡Enhorabuena!;;;;;;;;;x
EVTDESCarchery.27;In the latest matchup of the final rounds of the tournament [From.GetTitledFirstNameWithDynasty] defeated [FromFrom.GetTitledFirstNameWithDynasty], scoring more points with their arrows.;Dans le dernier duel des phases finales de votre tournoi, [From.GetTitledFirstNameWithDynasty] a défait [FromFrom.GetTitledFirstNameWithDynasty], marquant plus de points avec ses flèches. ;;;En el duelo final  del torneo [From.GetTitledFirstNameWithDynasty] derrotó a [FromFrom.GetTitledFirstNameWithDynasty], anotando más puntos con sus flechas.;;;;;;;;;x
EVTOPTAarchery.27;A fine contest;Un bon concours. ;;;Un torneo excelente;;;;;;;;;x
EVTDESCarchery.28;The final match up had begun between [From.GetTitledFirstNameWithDynasty] and [FromFrom.GetTitledFirstNameWithDynasty]. In the final arrow [From.GetTitledFirstName] was the most accurate, and has been proclaimed the winner of the tournament!;Le duel final entre [From.GetTitledFirstNameWithDynasty] et [FromFrom.GetTitledFirstNameWithDynasty] a commencé. Lors de la dernière flèche, [From.GetTitledFirstName] a mieux visé et a été proclamé vainqueur du tournoi ! ;;;El duelo final enfretó a [From.GetTitledFirstNameWithDynasty] y [FromFrom.GetTitledFirstNameWithDynasty]. En la última flecha [From.GetTitledFirstName] fue el más preciso, ¡y por tanto ha sido proclamado el ganador del torneo!;;;;;;;;;x
EVTOPTAarchery.28;A worthy winner;Un vainqueur qui mérite sa victoire.;;;Un digno ganador;;;;;;;;;x
EVTDESCarchery.29;The archery tournament is finally over, the Princes and archers of [Root.PrimaryTitle.GetName] are making their way home. All agree the standard of marksmanship on show was superb.;Le tournoi d'archerie est finalement terminé, les princes et les archers de [Root.PrimaryTitle.GetName] rentrent chez eux. Tous sont d'accord pour dire que le niveau des participants était incroyable et que le spectacle était superbe. ;;;El torneo de tiro con arco finalmente ha terminado, el Príncipe y los arqueros de [Root.PrimaryTitle.GetName] regresan a casa. Todos coinciden en que el nivel de puntería en el certamen fue excelente.;;;;;;;;;x
EVTOPTAarchery.29;A fine spectacle it was;Un bon spectacle en effet.;;;Fue un bello espectáculo;;;;;;;;;x
EVTDESCarchery.30;After a raucous evenings celebration, [From.GetTitledFirstName]'s archery tournament has finally come to a close, and it is time to make our way home.;Après une nuit de festivités, le tournoi d'archerie de [From.GetTitledFirstName] s'est finalement achevé. Il est temps pour vous de rentrer à la maison. ;;;Después de una noche decelebraciónes, [From.GetTitledFirstName] el torneo de tiro con arco ha llegado a su fin, ya es hora de regresar a casa.;;;;;;;;;x
EVTOPTAarchery.30;What fun it was;C'était très divertissant.;;;Fue muy divertido;;;;;;;;;x
EVTDESCarchery.31;You were victorious in the final match up, your aim was supreme and your arrows almost always found it's target. You have been crowned the winner and have been given your prize.;Vous avez remporté le dernier duel, vous avez visé avec une précision incroyable et vos flèches ont presque toujours atteint leur cible. Vous avez été déclaré vainqueur et avez reçu votre récompense.;;;Salisteis victorioso en la final, vuestra puntería excelente y vuestras flechas casi siempre dieron en el blanco. Habéi sido coronado como ganador y se os ha dado vuestro premio.;;;;;;;;;x
EVTOPTAarchery.31;Glory to me!;Gloire à moi !;;;¡Gloria a mi!;;;;;;;;;x
EVTDESCarchery.32;Your aim was true for most of the tournament, until the final match up that is. You did not score enough arrows to win, but you have been awarded the runner-up prize.;Votre visée était juste durant tout le tournoi, à l'exception du duel final. Vous n'êtes pas parvenu à marquer assez de flèches pour vaincre, mais vous avez été honoré de la seconde place.;;;Vuestra puntería fue certera la mayor parte del torneo, pero no en la final. No conseguistéis suficientes puntos en la final, pero habéis conseguido el segundo premio.;;;;;;;;;x
EVTOPTAarchery.32;A worthy performance;Une bonne performance.;;;Una actuación muy digna;;;;;;;;;x
EVTDESCarchery.33;You made it to the last four archers of the tournament, but that is as far as you went. Your opponent's aim was too good, but you have been awarded a prize for your perfomance nonetheless.;Vous êtes parvenu à vous frayer un chemin jusqu'au dernier carré des archers du tournoi, mais vous n'avez pu atteindre le duel final. Votre adversaire était meilleur, mais vous avez reçu une récompense en tant que l'un des quatre meilleurs archers du tournoi.;;;Conseguisteis ser uno de los cuatro últimos del torneo, pero no lograsteis entrar al duelo final. Vuestro oponente fue mejor, pero recibís un premio como uno de los cuatro mejores arqueros del torneo.;;;;;;;;;x
EVTOPTAarchery.33;I will make the final next time;La prochaine fois, j'atteindrai la finale !;;;Lo conseguiré la próxima vez;;;;;;;;;x
#good_bow;Owns a Good Bow;Possède un bon arc;;;Posee un Buen Arco;;;;;;;;;x
#golden_bow;Owns a Fine Goldenwood Bow;Possède un très bon arc en bois d'or;;;Posee un Excelente Arco de Aurocorazón;;;;;;;;;x
EVTDESCarchery.34;I have entered [FromFrom.GetTitledFirstName]'s archery tournament, perhaps it would be wise to purchase a decent bow to improve my chances of winning?;Je me suis rendu au tournoi d'archerie de [FromFrom.GetTitledFirstName]. Peut-être serait-il sage d'acheter un arc décent pour augmenter mes chances de victoire ?;;;He entrado en el torneo de tiro con arco de [FromFrom.GetTitledFirstName], ¿tal vez sería conveniente adquirir un arco decente para mejorar mis posibilidades de ganar?;;;;;;;;;x
EVTOPTAarchery.34;A waste of coin;Une perte d'argent.;;;Una pérdida de dinero;;;;;;;;;x
EVTOPTBarchery.34;I will buy a good bow;Je vais acheter un bon arc.;;;Compraré un buen arco;;;;;;;;;x
EVTOPTCarchery.34;Bring me the best bow made of fine Summer Island Goldenwood!;Amenez-moi le meilleur arc en bois d'or des Iles d'Eté !;;;¡Tráeme el mejor arco de Aurocorazón de las Islas del Verano!;;;;;;;;;x
EVTDESCarchery.36;After todays round of archery contests, everyone was feasting and drinking. At a Summer Islander gathering however copious amounts of lovemaking is also seen as essential, and [From.GetTitledFirstName] seems interested...;Après la compétition, tout le monde s'est retrouvé pour boire et festoyer. Bien entendu, une telle réunion d'estiviens ne va pas sans de très nombreuses copulations... et il semble que [From.GetTitledFirstName] soit intéressé(e)…;;;Después de la competición, todo el mundo estaba de fiesta y bebiendo. Durante las fiestas en las Islas del Verano es común y esencial hacer el amor abiertamente, y [From.GetTitledFirstName] parece interesada...;;;;;;;;;x
EVTOPTAarchery.36;I musn't;Je ne devrais pas.;;;No debería;;;;;;;;;x
EVTOPTBarchery.36;I cannot resist;Je ne peux pas résister.;;;No me puedo resistir;;;;;;;;;x
EVTTOOLTIPwedding.37;will give you a good tumble at the feast;va copuler avec vous lors du banquet;;;os dará un buen revolcón en la fiesta;;;;;;;;;x
EVTDESCarchery.37;After todays round of archery contests, everyone was feasting and drinking, and also openly lovemaking in traditional Summer Islander fashion. Not wanting to be left out you and [From.GetTitledFirstName] joined in and had a good tumble!;Après la compétition, tout le monde s'est retrouvé pour boire, festoyer et bien entendu faire l'amour ouvertement selon la coutume estivienne. Ne voulant pas être en reste, vous vous êtes joint à la fête avec [From.GetTitledFirstName] pour une partie de jambes en l'air. ;;;Después de la competición, todo el mundo estaba de fiesta y bebiendo, mientras también la gente hacía el amor abiertamente al estilo tradicional de las Islas del Verano. No queriendo quedaros fuera, ¡vos y [From.GetTitledFirstName] os unisteis a la orgía y os disteis un buen revolcón!;;;;;;;;;x
EVTOPTAarchery.37;It is a holy skill;Voilà un talent des plus sacrés.;;;Este es uno de los talentos más sagrados;;;;;;;;;x
TOOLTIParchery.29;The tourney ends;Le tournoi prend fin.;;;El torneo termina;;;;;;;;;x
