#CODE;ENGLISH;FRENCH;GERMAN;;SPANISH;;;;;;;;;x
plot_rescue_prisoner_title;Rescue [This.GetTitledFirstNameWithDynasty] from [This.Host.GetTitledFirstName]'s captivity;Secourir [This.GetTitledFirstNameWithDynasty] qui est retenu captif par [This.Host.GetTitledFirstName].;Rescue [This.GetTitledFirstName] from [This.Host.GetTitledFirstName]'s prison;;Rescatar a [This.GetTitledFirstNameWithDynasty]de la prisión de [This.Host.GetTitledFirstName];;;;;;;;;x
EVTOPTBrescue_prisoner.2;I will not be threatened by that [GetRootFromInsult]!;Je ne céderais aux menaces! ;;;No cederé a las amenazas.;;;;;;;;;x
EVTTOOLTIPrescue_prisoner.4;shall be informed of your rebuttal;sera informé de votre refus;;;será informado de tu rechazo;;;;;;;;;x
EVTDESCrescue_prisoner.3;[Root.PrimaryTitle.GetFOA], I see no reason to quarrel with you, I shall release the prisoner at once.\n\nRegards,\n[From.GetTitledFirstNameWithDynastyAndTitle];[Root.GetTitledFirstName], je ne vois aucune raison de me quereller avec vous, je vais faire libérer le(a) prisonnier(e) immédiatement.\n\nCordialement,\n[From.GetTitle] [From.GetFirstNameWithDynasty];;;[Root.GetTitledFirstName], no veo ninguna razón para prolongar esta situación, liberaré al prisionero cuanto antes. \n\nSaludos, \n [From.GetTitle] [From.GetFirstNameWithDynasty];;;;;;;;;x
EVTOPTBrescue_prisoner.3;A wise response;Une sage décision.;;;Una respuesta inteligente;;;;;;;;;x
EVTDESCrescue_prisoner.4;[Root.PrimaryTitle.GetFOA], I will not be blackmailed into releasing my prisoners. [Root.PlotTarget.GetTitledFirstNameWithDynasty] shall remain in my custody, as just punishment for the crimes [Root.PlotTarget.GetSheHe] has commited.\n\nRegards,\n[From.GetTitledFirstNameWithDynastyAndTitle];[Root.GetTitledFirstName], je ne cèderais pas au chantage et ne relâcherais pas mes prisonniers. [Root.PlotTarget.GetTitledFirstNameWithDynasty] restera sous ma garde comme juste punition pour les crimes qu'[Root.PlotTarget.GetSheHe] a commis.\n\nCordialement,\n[From.GetTitle] [From.GetFirstNameWithDynasty];;;[Root.GetTitledFirstName], no cederé al chantaje para  liberar a mis prisioneros. [Root.PlotTarget.GetTitledFirstNameWithDynasty] permanecerá bajo mi custodia, como justo castigo por los crímenes que [Root.PlotTarget.GetSheHe] ha cometido. \n\nSaludos, \n [From.GetTitle  [From.GetFirstNameWithDynasty];;;;;;;;;x
EVTOPTArescue_prisoner.4;Then I declare war on that [GetRootFromInsult]!;Alors je déclare la guerre!;;;Es la guerra!;;;;;;;;;x
EVTOPTBrescue_prisoner.4;Maybe I should have discreetly rescued [Root.PlotTarget.GetHerHim];Peut-être devrais-je le(a) faire libérer discrètement.;;;Tal vez debería ser rescatado discretamente.;;;;;;;;;x
TOOLTIPrescue_prisoner.2;shall be sent a raven demanding [Root.PlotTarget.GetTitledFirstName]'s release;recevra un corbeau exigeant la libération de [Root.PlotTarget.GetTitledFirstName];;;Enviar un cuervo exigiendo que [Root.PlotTarget.GetTitledFirstName] sea liberado;;;;;;;;;x
EVTDESCrescue_prisoner.5;You've had word from from some informers in [Root.PlotTarget.Location.GetName] where [Root.PlotTarget.GetTitledFirstName] is being held captive. They say they've found the precise location of where [Root.PlotTarget.GetSheHe] is being held, and that soon there will be an opportunity to secretly send a small band of men to break [Root.PlotTarget.GetHerHim] out.;Vous avez eu des nouvelles de vos informateurs à [Root.PlotTarget.Location.GetName] où [Root.PlotTarget.GetTitledFirstName] est retenu captif(ve). Ils disent qu'ils ont localisé l'endroit précis où [Root.PlotTarget.GetSheHe] est enfermé et qu'il y aura bientôt une opportunité d'envoyer une petite bande d'hommes pour le(a) libérer.;;;Tienes noticias de tus espías en [Root.PlotTarget.Location.GetName] donde [Root.PlotTarget.GetTitledFirstName] está cautivo. Dicen que han localizado el lugar preciso donde [Root.PlotTarget.GetSheHe] está encerrado y que hay una oportunidad de enviar una pequeña banda de hombres apra liberarlo.;;;;;;;;;x
EVTOPTArescue_prisoner.5;My co-conspirators have people who can do this;Mes complices ont des gens qui peuvent le faire.;;;Mis cómplices pueden lograrlo.;;;;;;;;;x
EVTTOOLTIPrescue_prisoner.10;The prison break is attempted...;La tentative d'évasion va avoir lieu…;;;La tentativa de evasión tendrá lugar.;;;;;;;;;x
EVTOPTBrescue_prisoner.5;I'll have to hire the right men;Je vais devoir engager les bons hommes.;;;Contrataré a los mejores hombres.;;;;;;;;;x
EVTOPTCrescue_prisoner.5;I have just the right gang in my employ already;J'ai déjà une bande à mon service qui sera parfaite pour cette mission.;;;Tengo una banda a mi servicio perfecta para esta misión.;;;;;;;;;x
EVTOPTDrescue_prisoner.5;I will wait for a better opportunity;Je vais attendre une meilleure opportunité.;;;Esperaré una mejor ocasión.;;;;;;;;;x
EVTDESCrescue_prisoner.6;You've had word from from some informers about the captive you are conspiring to see set free. They say they've found the precise location of where they are being held, and that soon there will be an opportunity to secretly send a small band of men to break them out. The right men will need to be hired for this dangerous task.;Grâce à vos informateurs, vous avez eu des nouvelles du(e la) captif(ve) que vous cherchez à libérer. Ils disent qu'ils ont localisé l'endroit précis de sa détention et qu'il va bientôt uy avoir une opportunité d'envoyer secrètement une petite bande d'hommes pour le(a) libérer. Il va falloir engager les bons hommes pour mener à bien cette mission.;;;Gracias a tus informantes, tienes noticias del prisionero que quieres liberar. Dicen que han localizado el Iugar preciso en el que está preso. Hay una posibilidad de enviar una pequeña banda para liberalo. Tendrás que contratar buenos hombres para lograrlo.;;;;;;;;;x
EVTDESCrescue_prisoner.7;Agents working on the behalf of [From.GetTitledFirstName] have sent word that [From.GetSheHe] has found the perfect opportunity to covertly break [Root.PlotTarget.GetTitledFirstName] out of prison in [Root.PlotTarget.Location.GetName]. [From.GetSheHeCap] says [From.GetSheHe] needs gold to hire the right men for this dangerous task.;Un agent travaillant pour [From.GetTitledFirstName] l'a informé qu'[From.GetSheHe] avait trouvé une opportunité parfaite pour faire libérer [Root.PlotTarget.GetTitledFirstName] des prisons de [Root.PlotTarget.Location.GetName]. [From.GetSheHeCap] dit qu'[From.GetSheHe] a besoin d'or pour engager les bonnes personnes pour mener à bien cette dangereuse mission.;;;Un agente de [From.GetTitledFirstName] te ha informado que [From.GetSheHe] ha encontrado una oportunidad perfecta para liberar a [Root.PlotTarget.GetTitledFirstName] de la prisión de [Root.PlotTarget.Location.GetName]. [From.GetSheHeCap] dice que [From.GetSheHe] necesita oro para contratar a las personas más preparadas para esta misión tan peligrosa.;;;;;;;;;x
EVTOPTArescue_prisoner.7;Fine, make sure you hire the best;Bien, soyez certain d'engager les bonnes personnes.;;;Bien, asegúrate de contratar a los mejores.;;;;;;;;;x
EVTDESCrescue_prisoner.8;Word has come back from [From.GetTitledFirstName], [From.GetSheHe] has agreed to provide gold to hire a gang to try and break [From.PlotTarget.GetTitledFirstName] out of prison. [From.GetSheHeCap] bids this is done with the utmost care and secrecy.;Des nouvelles de [From.GetTitledFirstName], [From.GetSheHe] a accepté de donner de l'or pour engager une bande pour tenter de libérer [From.PlotTarget.GetTitledFirstName]. [From.GetSheHeCap] espère que ce sera fait avec la plus extrême prudence et dans le plus grand secret. ;;;Noticias de [From.GetTitledFirstName], [From.GetSheHe] ha aceptado dar el oro necesario para contratar una banda capaz de liberar a [From.PlotTarget.GetTitledFirstName]. [From.GetSheHeCap] espero que se actúe con extrema prudencia y cautela.;;;;;;;;;x
EVTDESCrescue_prisoner.9;Word has come back from [From.GetTitledFirstName], [From.GetSheHe] declined to provide gold to hire a gang of men, saying there must be cheaper ways to achieve this plot.;Des nouvelles de [From.GetTitledFirstName], [From.GetSheHe] a refusé de donner de l'or pour engager une bande et pense qu'il doit sûrement existé un moyen moins onéreux pour parvenir à nos fins.;;;Noticias de [From.GetTitledFirstName], [From.GetSheHe] ha rechazado dar el oro necesario para contratar una banda, piensa que existirán formas más baratas de lograr el objetivo.;;;;;;;;;x
EVTDESCrescue_prisoner.10;You were prepared for another dreary night alone in your cell, when you heard muffled shouts and noises coming from outside your cell door. After what seems like hours, a group of men burst through the door...;Vous vous prépariez à une autre horrible nuit dans cette cellule lorsque vous avez entendu du bruit de l'autre côté de la porte. Après ce qui vous a semblé des heures, un groupe d'hommes pénètrent dans votre cellule…;;;Te preparabas para otra horrible noche en tu celda cuando escuchaste ruido al otro lado de la puerta. Tras lo que te parecieron horas, un grupo de hombres entra en la celda...;;;;;;;;;x
EVTOPTArescue_prisoner.10;I do not recognise these men...;Je ne reconnais pas ces hommes…;;;No conozco a estas personas...;;;;;;;;;x
EVTOPTBrescue_prisoner.10;Oh, they are just my jailors...;Oh, il s'agit seulement de mes geôliers…;;;Oh, se trata de mis caportes...;;;;;;;;;x
EVTDESCrescue_prisoner.11;We have come to rescue you [Root.PrimaryTitle.GetFOA]', their leader says. 'We were sent by [FromFrom.GetTitledFirstName], please follow us now!'. The band of men takes you through a secret way out of the castle, and eventually, after many days of clandestine travelling, to freedom.;"""Nous sommes venu pour vous sauver [Root.PrimaryTitle.GetFOA]"", dit leur chef. ""Nous sommes envoyé par [FromFrom.GetTitledFirstName], suivez-nous s'il vous plaît !"". La bande vous conduit à l'extérieur du château par un passage secret et, après de nombreux jours de clandestinité, à la liberté.";;;"""Hemos venido a salvaros [Root.PrimaryTitle.GetFOA]"", dijo su jefe. ""Nos envía [From.GetTitledFirstName], síganos, debemos darnos prisa"". La banda te conduce al exterior del castillo por un pasaje secreto y, tras incontables días de clandestinidad, eres libre...";;;;;;;;;x
EVTOPTArescue_prisoner.11;Free at last!;Enfin libre !;;;Al fin libre!;;;;;;;;;x
EVTDESCrescue_prisoner.1199;One of you jailors has brought word from the cells, he says your captive [FromFrom.GetTitledFirstNameWithDynasty] was covertly set free during the night by a small band of men. In their desperate escape from the castle one of them was captured, and after questioning revealed they were in the employ of [From.GetTitledFirstNameWithDynasty]!;L'un de vos geôliers vous apporte des nouvelles de vos cachots. Il dit que votre captif(ve) [FromFrom.GetTitledFirstNameWithDynasty] a été libéré(e) durant la nuit par une petite bande d'hommes. Lors de leur fuite désespérée du château, l'un d'entre eux a été capturé, et après avoir été questionné, a révélé qu'il était au service de [From.GetTitledFirstNameWithDynasty]!;;;El jefe de mazmorras dice que tu prisionero [FromFrom.GetTitledFirstNameWithDynasty] ha sido liberado esta noche por una pequeña banda de hombres. En su huida desesperada del castillo uno de ellos fue capturado y después de ser torturado ha revelado que está al servicio de [From.GetTitledFirstNameWithDynasty]!;;;;;;;;;x
EVTDESCrescue_prisoner.1199B;One of you guards has brought word from the slave quarters, he says your slave [FromFrom.GetTitledFirstNameWithDynasty] was covertly set free during the night by a small band of men. In their desperate escape from the castle one of them was captured, and after questioning revealed they were in the employ of [From.GetTitledFirstNameWithDynasty]!;L'un de vos gardes vous apporte des nouvelles des quartiers pour les esclaves. Il dit que votre esclave [FromFrom.GetTitledFirstNameWithDynasty] a été libéré(e) durant la nuit par une petite bande d'hommes. Lors de leur fuite désespérée du château, l'un d'entre eux a été capturé, et après avoir été questionné, a révélé qu'il était au service de [From.GetTitledFirstNameWithDynasty]!;;;Uno de tus guardias dice que tu esclavo [FromFrom.GetTitledFirstNameWithDynasty] ha sido liberado esta noche por un pequeño grupo de de hombres. En su huida desesperada del castillo uno de ellos fue capturado y después de ser torturado ha revelado que está al servicio de [From.GetTitledFirstNameWithDynasty]!;;;;;;;;;x
EVTDESCrescue_prisoner.1199C;One of you guards has brought word from the cells, he says your concubine [FromFrom.GetTitledFirstNameWithDynasty] was covertly set free during the night by a small band of men. In their desperate escape from the castle one of them was captured, and after questioning revealed they were in the employ of [From.GetTitledFirstNameWithDynasty]!;L'un de vos gardes vous apporte des nouvelles de vos cachots. Il dit que votre concubine [FromFrom.GetTitledFirstNameWithDynasty] a été libéré(e) durant la nuit par une petite bande d'hommes. Lors de leur fuite désespérée du château, l'un d'entre eux a été capturé, et après avoir été questionné, a révélé qu'il était au service de [From.GetTitledFirstNameWithDynasty]!;;;Uno de tus guardias dice que tu concubina [FromFrom.GetTitledFirstNameWithDynasty] ha sido liberada esta noche por un pequeño grupo de de hombres. En su huida desesperada del castillo uno de ellos fue capturado y después de ser torturado ha revelado que está al servicio de [From.GetTitledFirstNameWithDynasty]!;;;;;;;;;x
EVTOPTArescue_prisoner.1199;Incompetent fools!;Idiots incompétents !;;;Idiotas incompetentes!;;;;;;;;;x
EVTDESCrescue_prisoner.13;Your jailors enter your cell covered in blood, behind them you notice many dead bodies. It appears a band of armed men have tried to break you out, but only one remains alive. Later, when presented to [Root.Host.GetTitledFirstName] in chains, you are told this man revealed under intense questioning that they were sent by [FromFrom.GetTitledFirstNameWithDynasty].;Vos geôliers entrent dans votre cellule, couverts de sang. Derrière eux vous apercevez de nombreux cadavres. Il semble qu'une bande d'hommes armés a tenté de vous faire libérer mais seul l'un d'entre eux a survécu. Plus tard, après avoir été amené enchaîné devant  [Root.Host.GetTitledFirstName], on vous annonce que l'homme a révélé sous la torture qu'ils avaient été envoyés par [FromFrom.GetTitledFirstNameWithDynasty].;;;Tus captores entran en tu celda cubiertos de sangre. Tras ellos hay numerosos cadáveres. Parece que una banda de hombres armados ha intentado liberarte, aunque solo uno ha sobrevivido. Más tarde, tras encadenarte y ser llevado ante [Root.Host.GetTitledFirstName], te dicen que ha revelado bajo tortura que han sido enviados por [From.GetTitledFirstNameWithDynasty].;;;;;;;;;x
EVTOPTArescue_prisoner.13;Will [Root.Host.GetTitledFirstName] punish me for [From.GetHerHis] actions?;Est-ce que [Root.Host.GetTitledFirstName] va me punir pour cette initative ?;;;[Root.Host.GetTitledFirstName] me castigará por esto?;;;;;;;;;x
EVTDESCrescue_prisoner.1399;Your jailors seek your audience, and they are all covered in blood, and with them they have your captive [From.GetTitledFirstNameWithDynasty] in chains. They say a band of armed men secretly broke into the cells to try and set [From.GetHerHim] free. All but one were slain by the guards, and this last one revealed under questioning that they were sent by [FromFromFrom.GetTitledFirstNameWithDynasty]!;Vos geôliers, couverts de sang, vous demandent audience. Ils ont amené avec eux votre captif(ve) [From.GetTitledFirstNameWithDynasty] qui est enchaîné(e). Ils disent qu'une bande d'hommes armés ont tenté de le(a) libérer. Tous furent tués, à l'exception d'un seul qui a révélé, sous la torture, qu'ils étaient envoyés par [FromFrom.GetTitledFirstNameWithDynasty]!;;;Tus guardias, cubiertos de sangre, te piden audiencia. Llevan a tu prisionero [From.GetTitledFirstNameWithDynasty] encadenado. Dicen que un grupo de hombres armados intentó liberarlo. Todos fueron masacrados, excepto uno que ha revelado que fueron enviados por [FromFrom.GetTitledFirstNameWithDynasty]!;;;;;;;;;x
EVTDESCrescue_prisoner.1399B;Your guards seek your audience, and they are all covered in blood, and with them they have your slave [From.GetTitledFirstNameWithDynasty] in chains. They say a band of armed men secretly broke into the slave quarters to try and set [From.GetHerHim] free. All but one were slain by the guards, and this last one revealed under questioning that they were sent by [FromFromFrom.GetTitledFirstNameWithDynasty]!;Vos geôliers, couverts de sang, vous demandent audience. Ils ont amené avec eux votre esclave [From.GetTitledFirstNameWithDynasty] qui est enchaîné(e). Ils disent qu'une bande d'hommes armés ont tenté de le(a) libérer. Tous furent tués, à l'exception d'un seul qui a révélé, sous la torture, qu'ils étaient envoyés par [FromFrom.GetTitledFirstNameWithDynasty]!;;;Tus guardias, cubiertos de sangre, te piden audiencia. Llevan a tu esclavo [From.GetTitledFirstNameWithDynasty] encadenado. Dicen que un grupo de hombres armados intentó liberarlo. Todos fueron masacrados, excepto uno que ha revelado que fueron enviados por [FromFrom.GetTitledFirstNameWithDynasty]!;;;;;;;;;x
EVTDESCrescue_prisoner.1399C;Your guards seek your audience, and they are all covered in blood, and with them they have your concubine [From.GetTitledFirstNameWithDynasty] in chains. They say a band of armed men secretly broke into the castle to try and set [From.GetHerHim] free. All but one were slain by the guards, and this last one revealed under questioning that they were sent by [FromFromFrom.GetTitledFirstNameWithDynasty]!;Vos geôliers, couverts de sang, vous demandent audience. Ils ont amené avec eux votre concubine [From.GetTitledFirstNameWithDynasty] qui est enchaînée. Ils disent qu'une bande d'hommes armés ont tenté de la libérer. Tous furent tués, à l'exception d'un seul qui a révélé, sous la torture, qu'ils étaient envoyés par [FromFrom.GetTitledFirstNameWithDynasty]!;;;Tus guardias, cubiertos de sangre, te piden audiencia. Llevan a tu concubina [From.GetTitledFirstNameWithDynasty] encadenada. Dicen que un grupo de hombres armados intentó liberarlo. Todos fueron masacrados, excepto uno que ha revelado que fueron enviados por [FromFrom.GetTitledFirstNameWithDynasty]!;;;;;;;;;x
EVTOPTArescue_prisoner.1399;Take the captive back to [From.GetHerHis] quarters, it is not [From.GetHerHis] fault;Renvoyez le(a) captif(ve) à sa cellule, ce n'est pas sa faute.;;;Devolved al prisionero a su celda, esto no es culpa suya.;;;;;;;;;x
EVTOPTBrescue_prisoner.1399;Put [From.GetHerHim] in a secure cell in the dungeon;Enfermez-le(a) dans un cachot plus sûr sous le donjon. ;;;Encerradlo en una celda más segura.;;;;;;;;;x
EVTOPTCrescue_prisoner.1399;To the oubliette with [From.GetHerHim]! Make sure [From.GetSheHe] can't be found!;Aux oubliettes avec son comparse ! Assurez-vous qu'on ne le(a) retrouve pas !;;;A la mazmorra con él. Aseguraos que nadie lo encuentra.;;;;;;;;;x
EVTOPTDrescue_prisoner.1399;Question the prisoner closely, make [From.GetHerHim] wish the didn't happen;"""Questionnez"" donc le prisonnier, faîtes lui regretter ce qui s'est passé...";;;"""Interrogad"" al prisionero. Hacedle lamentar lo que ha ocurrido...";;;;;;;;;x
EVTDESCrescue_prisoner.14;Your jailors enter your cell covered in blood, behind them you notice many dead bodies. It appears a band of armed men have tried to break you out, but all have been slaughtered by your guards. The angry jailors proceed to take you in chains to another cell in [Root.Host.GetTitledFirstName]'s dungeon.;Vos geôliers entrent dans votre cellule, couverts de sang. Derrière eux vous apercevez de nombreux cadavres. Il semble qu'une bande d'hommes armés a tenté de vous faire libérer mais ils ont tous été tués par vos gardes. Passablement en colère, les geôliers vous enchaînent et vous jettent dans un cachot du donjon de [Root.Host.GetTitledFirstName].;;;Tus captores entran en tu celda cubiertos de sangre. Tras ellos hay numerosos cadáveres. Parece que un grupo de hombres armados ha intentado liberarte pero la guardia acabó con todos ellos. Visiblemente enfadados los guardias te encierran en una mazmorra inhumana.;;;;;;;;;x
EVTOPTArescue_prisoner.14;If only these men had won though;Si seulement ces hommes l'avaient emporté…;;;Si estos hombres hubieran conseguido salir victoriosos...;;;;;;;;;x
EVTDESCrescue_prisoner.1499;Your jailors seek your audience, and they are all covered in blood, and with them they have your captive [From.GetTitledFirstNameWithDynasty] in chains. They say a band of armed men secretly broke into the cells to try and set [From.GetHerHim] free, but all were slain before they could get to the cell. Clearly someone employed them to do this.;Vos geôliers, couverts de sang, vous demandent audience. Ils ont amené avec eux votre captif(ve) [From.GetTitledFirstNameWithDynasty] qui est enchaîné(e). Ils disent qu'une bande d'hommes armés ont tenté de le(a) libérer. Ils ont tous été tués avant de pouvoir pénétrer dans la cellule. Ils étaient clairement au service de quelqu'un.;;;Tus guardias, cubiertos de sangre, te piden audiencia. Llevan a tu prisionero [From.GetTitledFirstNameWithDynasty] encadenado. Dicen que un grupo de hombres intentó liberarlo. Todos fueron masacrados. Claramente alguien los contrató para que lo hicieran.;;;;;;;;;x
EVTDESCrescue_prisoner.1499B;Your guards seek your audience, and they are all covered in blood, and with them they have your slave [From.GetTitledFirstNameWithDynasty] in chains. They say a band of armed men secretly broke into the slave quarters to try and set [From.GetHerHim] free, but all were slain before they could get to the cell. Clearly someone employed them to do this.;Vos geôliers, couverts de sang, vous demandent audience. Ils ont amené avec eux votre esclave [From.GetTitledFirstNameWithDynasty] qui est enchaîné(e). Ils disent qu'une bande d'hommes armés ont tenté de le(a) libérer. Ils ont tous été tués avant de pouvoir pénétrer dans les quartiers des esclaves. Ils étaient clairement au service de quelqu'un.;;;Tus guardias, cubiertos de sangre, te piden audiencia. Llevan a tu esclavo [From.GetTitledFirstNameWithDynasty] encadenado. Dicen que un grupo de hombres intentó liberarlo. Todos fueron masacrados. Claramente alguien los contrató para que lo hicieran.;;;;;;;;;x
EVTDESCrescue_prisoner.1499C;Your guards seek your audience, and they are all covered in blood, and with them they have your concubine [From.GetTitledFirstNameWithDynasty] in chains. They say a band of armed men secretly broke into the castle to try and set [From.GetHerHim] free, but all were slain before they could get to [From.GetHerHis] quarters. Clearly someone employed them to do this.;Vos geôliers, couverts de sang, vous demandent audience. Ils ont amené avec eux votre concubine [From.GetTitledFirstNameWithDynasty] qui est enchaînée. Ils disent qu'une bande d'hommes armés ont tenté de la libérer. Ils ont tous été tués avant de pouvoir pénétrer dans ses quartiers. Ils étaient clairement au service de quelqu'un.;;;Tus guardias, cubiertos de sangre, te piden audiencia. Llevan a tu concubina [From.GetTitledFirstNameWithDynasty] encadenada. Dicen que un grupo de hombres intentó liberarla. Todos fueron masacrados. Claramente alguien los contrató para que lo hicieran.;;;;;;;;;x
EVTOPTArescue_prisoner.1499;Yes, well take [From.GetHerHim] back to [From.GetHerHis] quarters;Oui, ramenez le(a) dans ses quartiers.;;;Sí, devolvedlo a su celda.;;;;;;;;;x
EVTOPTBrescue_prisoner.1499;Have [From.GetHerHim] locked in a secure cell in the dungeon;Enfermez-le(a) dans un cahot plus sûr sous le donjon. ;;;Encerradlo en una celda más segura.;;;;;;;;;x
EVTOPTCrescue_prisoner.1499;They wont find [From.GetHerHim] in my deepest and darkest cells!;Ils ne le(a) trouveront pas dans mon cachot le plus profond et sombre !;;;No lo encontrarán en la mazmorra más profunda y sombría.;;;;;;;;;x
EVTDESCrescue_prisoner.15;Agents working on the behalf of [From.GetTitledFirstName] have sent word that [From.GetSheHe] has found the perfect opportunity to covertly break [Root.PlotTarget.GetTitledFirstName] out of prison in [Root.PlotTarget.Location.GetName]. [From.GetSheHeCap] says [From.GetSheHe] has just the right men to take on this dangerous task.;Un agent travaillant pour [From.GetTitledFirstName] l'a informé qu'[From.GetSheHe] a avait trouvé une opportunité parfaite pour faire libérer [Root.PlotTarget.GetTitledFirstName] des prisons de [Root.PlotTarget.Location.GetName]. [From.GetSheHeCap] dit qu'[From.GetSheHe] a justement les hommes qu'il faut pour mener une aussi dangereuse mission.;;;Un agente de [From.GetTitledFirstName] te ha informado que [From.GetSheHe] ha encontrado una oportunidad perfecta para liberar a [Root.PlotTarget.GetTitledFirstName] de la prisión de [Root.PlotTarget.Location.GetName]. [From.GetSheHeCap] dice que [From.GetSheHe] tiene a los hombres indicados para esta misión tan peligrosa.;;;;;;;;;x
EVTOPTArescue_prisoner.15;This is good, bid them do this quickly;Une bonne chose, qu'ils fassent vite.;;;Muy bien, que lo hagan rápido.;;;;;;;;;x
EVTDESCrescue_prisoner.16;[From.GetTitledFirstName] has given [From.GetHerHis] approval of your plan, and bids that your men set [From.PlotTarget.GetTitledFirstName] free as quickly as possible.;[From.GetTitledFirstName] a approuvé votre plan et demande que vos hommes libèrent [From.PlotTarget.GetTitledFirstName] au plus vite.;;;[From.GetTitledFirstName] ha aprobado tu plan y pide que tus hombres liberen a [From.PlotTarget.GetTitledFirstName] lo más pronto posible.;;;;;;;;;x
