job_chancellor;Justiciar;Justicier;;;Justicia Mayor;;;;;;;;;x
EVTDESC61227;[From.GetTitledFirstName] has bested in you single combat, and now claims the regency. [From.GetSheHeCap] has allowed you to be set free , probably because [From.GetSheHe] feels you pose no threat now.;[From.GetTitledFirstName] vous a vaincu en combat singulier et s'est proclamé(e) régent(e). [From.GetSheHeCap] vous a autorisé à repartir libre, sûrement parce qu'[From.GetSheHe] pense que vous ne constituez plus une menace pour son autorité. ;;;[From.GetTitledFirstName] te ha vencido en combate singular y se ha proclamado regente. [From.GetSheHeCap] te ha dejado marchar libre, porque [From.GetSheHe] piensa que ya no constituyes una amenaza para su autoridad.;;;;;;;;;x
EVTDESC38181;[FromFrom.GetFirstName] has suffered an horrific injury. [FromFrom.GetSheHeCap] has gained the Maimed trait.;[FromFrom.GetFirstName] a souffert d'une terrible blessure. [FromFrom.GetSheHeCap] a gagné le trait mutilé.;;;[FromFrom.GetFirstName] ha resultado terriblemente herido. [FromFrom.GetSheHeCap] ha ganado el rasgo mutilado.;;;;;;;;;x
EVTDESC38281;I have suffered an horrific injury. I've gained the Maimed trait.;J'ai souffert d'une terrible blessure. J'ai gagné le trait mutilé.;;;He sido terriblemente herido. He ganado el rasgo mutilado.;;;;;;;;;x
CHURCH_NAME;The $RELIGION$ Faith;La foi $RELIGION$;Der $RELIGION$-Glauben;;La Fe $RELIGION$;;;;;;;;;x
HEAD_NOT_PENTARCH_DESC;$REL_HEAD$ does not currently hold §Y$TITLE$§!;$REL_HEAD$ ne détient pas pour l'instant §Y$TITLE$§!;$REL_HEAD$ regiert derzeit nicht §Y$TITLE$§!;;$REL_HEAD$ no posee actualmente §Y$TITLE$§!;;;;;;;;;x
PENTARCH_DESC;There is currently no $RELIGION$ High Priest of §Y$TITLE$§!;Il n'y a pour l'instant aucun Haut Prêtre de $RELIGION$ à §Y$TITLE$§!;Derzeit gibt es keinen $RELIGION$en Hohepriester von §Y$TITLE$§!;;Actualmente no hay un obispo de $RELIGION$ en §Y$TITLE$§!;;;;;;;;;x
REL_PENTARCHS;High Priests;Hauts Prêtres;Hohepriester;;Sumo sacerdotes;;;;;;;;;x
REL_PENTARCHS_DESC;The $RELIGION$ Faith does not have a single religious leader like the Faith of the Seven. Instead the most influential priest of a kingdom or empire is also considered the religious leader of that realm. Their authority as High Priests over their respective ancient sees is widely recognized within the $RELIGION$ Faith.;La foi de $RELIGION$ n'a pas un seul chef comme dans la religion des Sept. A la place, le prêtre le plus influent du royaume ou de l'empire est considéré comme le dirigeant religieux. L'autorité de ces Hauts Prêtres provient de leurs anciennes et prestigieuses circonscriptions religieuses et est reconnue au sein de la religion de $RELIGION$.;Die Pentarchen waren die ursprünglichen fünf Patriarchen der christlichen Kirche. Ihre Autorität als autokephale Patriarchen in ihren jeweiligen alten Bischofssitzen wird in der orthodoxen Kirche noch immer anerkannt. Alle fünf orthodoxen Pentarche müssen;;La fe de $RELIGION$ no tiene solo un líder como la fe de los Siete. En su lugar, el sacerdote más influyente del Reino o el Imperio es considerado el dirigente religioso. La autoridad de estos Sumos Sacerdotes provienen de antiguas y prestigiosas circunscripciones religiosas y se reconoce en el seno de $RELIGION$.;;;;;;;;;x
REL_PENTARCHS_NON_ORTHODOX_DESC;The $RELIGION$ Faith does not have a single religious leader like the Faith of the Seven. Instead the most influential priest of a kingdom or empire is also considered the religious leader of that realm. Their authority as High Priests over their respective ancient sees is widely recognized within the $RELIGION$ Faith.;La foi de $RELIGION$ n'a pas un seul chef comme dans la religion des Sept. A la place, le prêtre le plus influent du royaume ou de l'empire est considéré comme le dirigeant religieux. L'autorité de ces Hauts Prêtres provient de leurs anciennes et prestigieuses circonscriptions religieuses et est reconnue au sein de la religion de $RELIGION$.;Die Pentarchie waren die fünf Patriarchate der frühchristlichen Kirche. Ihre Authorität innerhalb ihrer Stammsitze ist innerhalb der $RELIGION$en Kirche noch immer anerkannt.;;La fe de $RELIGION$ no tiene solo un líder como la fe de los Siete. En su lugar, el sacerdote más influyente del Reino o el Imperio es considerado el dirigente religioso. La autoridad de estos Sumos Sacerdotes provienen de antiguas y prestigiosas circunscripciones religiosas y se reconoce en el seno de $RELIGION$.;;;;;;;;;x
AUTOCEPHALOUS_REL_HEAD_TITLE;High Priest;Haut Prêtre;Hohepriester;;Sumo Sacerdote;;;;;;;;;x
AUTOCEPHALOUS_PATRIARCHS;High Priests;Hauts Prêtres;Hohepriester;;Sumos Sacerdotes;;;;;;;;;x
AUTOCEPHALY_IRO;§YAdditional High Priests§!;§YHauts Prêtres supplémentaires§!;§YZusätzliche Hohepriester§!;;§YSumos Sacerdotes adicionaless§! ;;;;;;;;;x
AUTOCEPHALY_DRO;The $RELIGION$ Faith does not have a single religious leader like the Faith of the Seven. Instead the most influential priest of a kingdom or empire is also considered the religious leader of that realm. Their authority as High Priests over their respective ancient sees is widely recognized within the $RELIGION$ Faith.;La foi de $RELIGION$ n'a pas un seul chef comme dans la religion des Sept. A la place, le prêtre le plus influent du royaume ou de l'empire est considéré comme le dirigeant religieux. L'autorité de ces Hauts Prêtres provient de leurs anciennes et prestigieuses circonscriptions religieuses et est reconnue au sein de la religion de $RELIGION$.;Neben den fünf ursprünglichen Patriarchen - der Pentarchie - haben auch alle anderen $RELIGION$en Königreiche und Kaiserreiche ihre eigenen autonomen Patriarchen. Der Hofkaplan eines solchen Reichs ist gleichzeitig auch der Patriarch des Reiches. Er wird grundsätzlich tun, was sein Lehnsherr von ihm verlangt, aber nur der $REL_HEAD_TITLE$ kann die Legitimation für eine Invasion gewähren. Jeder eigenständige Patriarch kontrolliert Exkommunikationen innerhalb seiner Jurisdiktion.;;La fe de $RELIGION$ no tiene solo un líder como la fe de los Siete. En su lugar, el sacerdote más influyente del Reino o el Imperio es considerado el dirigente religioso. La autoridad de estos Sumos Sacerdotes provienen de antiguas y prestigiosas circunscripciones religiosas y se reconoce en el seno de $RELIGION$.;;;;;;;;;x
PATRIARCHATE_TITLE;Fiery See of $TITLE$;Lieu ardent de $TITLE$;;;Lugar ardiente de $TITLE$;;;;;;;;;x
devious_plotter;Devious Plotter;Comploteur sournois;;;Conspirador retorcido;;;;;;;;;x
LOADING_MAP_SPRITES;Loading Map-Sprites...;Chargement des sprites de carte…;Karten-Sprites werden geladen ...;Wczytywanie Map-Sprites...;Cargando gráficos animados del mapa...;Caricamento Sprites mappa in corso...;Egységek betöltése…;;;;;;;x
LOADING_GUI_DEF;Loading GUI Definitions...;Chargement GUI…;GUI-Definitionen werden geladen ...;Wczytywanie definicji interfejsu graficznego...;Cargando definiciones de la interfaz...;Caricamento definizioni GUI in corso...;GUI betöltése…;;;;;;;x
LOADING_DATABASES;Loading Databases...;Chargement Data…;Datenbanken werden geladen ...;Wczytywanie baz danych...;Cargando bases de datos...;Caricamento database in corso...;Adatbázis betöltése…;;;;;;;x
INIT_MAP_LOGIC;Initialising Map Logic...;Initialisation Maplogic…;Kartenlogik wird initialisiert ...;Uruchamianie Maplogic...;Iniciando mapa lógico...;Inizializzazione Maplogic in corso...;Pályaútvonalak töltése…;;;;;;;x
CREATING_CHKSUM;GRRM's Touch;Touche de GRRM;Checksumme wird erstell t...;Tworzenie sumy kontrolnej...;Creando tabla de verificación...;Creazione checksum in corso...;Ellenõrzõ összeg létrehozása…;;;;;;;x
LOADING_HISTORY;Opening the History of the Great Families of Westeros;Ouverture de l'Histoire des Grandes Familles de Westeros;Geschichtsdateien werden geladen ...;Wczytywanie plików historycznych...;Cargando archivos históricos...;Caricamento file storia in corso...;Történelmi fájlok betöltése…;;;;;;;x
LOADING_SOUNDS;Bringing a minstrel;Arrivé d'un ménestrel;Sounddateien werden geladen ...;Wczytywanie dŸwiêków...;Cargando sonidos...;Caricamento suoni in corso...;Hangok betöltése…;;;;;;;x
PROC_FLAGS;Raising the Banners;Elévation des bannières;Flaggen werden verarbeitet ...;Przetwarzanie flag...;Procesando banderas...;Elaborazione flag in corso...;Zászlók feldolgozása…;;;;;;;x
LOAD_FLAGS;Charge!;Chargez !;Flaggen werden geladen ...;Wczytywanie flag...;Cargando banderas...;Caricamento flag in corso...;Zászlók betöltése…;;;;;;;x
LOAD_GFX;Painting;En train de peindre;Grafiken werden geladen ...;Wczytywanie grafiki...;Cargando gráficos...;Caricamento grafica in corso...;Grafikák betöltése…;;;;;;;x
CREATING_THE_WORLD;Creating Westeros;Création de Westeros;Die Welt wird erstellt ...;Tworzenie œwiata...;Creando el mundo...;Creazione mondo in corso...;Világ létrehozása…;;;;;;;x
CREATING_TREES;Not Creating Essos;Non création d'Essos;Création des arbres...;Wald wird erstellt ...;No creando Ulthos...;Creando árboles...;Creazione alberi in corso...;Fák létrehozása…;;;;;;x
CREATING_BORDERS;Creating Borders...;Création des frontières;Grenzen werden erstellt ...;Tworzenie granic...;Creando fronteras...;Creazione confini in corso...;Országhatárok létrehozása…;;;;;;;x
CREATING_RIVERS;Cry me a River;Pleurer des rivières;Wasser wird erstellt...;Tworzenie rzek...;Creando ríos...;Creazione fiumi in corso...;Folyók létrehozása…;;;;;;;x
MAP_PROPERLY_INIT;Release the Kraken;Lâchez le Kraken;Karte korrekt initialisiert ...;Mapa uruchomiona prawid³owo...;Mapa iniciado correctamente...;Mappa inizializzata correttamente...;A pálya betöltve…;;;;;;;x
#CREATING_PROVINCE;Creating Province #;Création de province #;Erstellung der Provinz #;Tworzenie prowincji;Creando provincia... ;Creazione provincia # in corso...;Provincia létrehozása…;;;;;;;x
CREATING_TEXTS;Maesters are writing;Les mestres écrivent;Texte werden erstellt ...;Tworzenie tekstów...;Creando textos...;Creazione testi in corso...;Szövegek létrehozása…;;;;;;;x
LOAD_EVENTS;Inviting you to a wedding;Vous invite à un mariage;Ereignisse werden geladen ...;Wczytywanie zdarzeñ...;Cargando sucesos...;Caricamento eventi in corso...;Esemének betöltése…;;;;;;;x
ADAPTING_HISTORY;Have Faith in Joffrey;Ayez confiance en Joffrey;Geschichte wird angepasst ...;Przystosowywanie historii...;Adaptando la historia...;Adattamento storia in corso...;Történelmi fájlok betöltése…;;;;;;;x
LOAD_CITY;Sacking King's Landing;Ravage Port-Réal;Stadt wird geladen ...;Wczytywanie miasta...;Cargando ciudades...;Caricamento città in corso...;Pálya betöltése…;;;;;;;x
CALC_PATHS;1...2...3..;1...2...3…;Pfade werden berechnet ...;Obliczanie œcie¿ek...;Calculando rutas...;Calcolo percorsi in corso...;Útvonalak kiszámítása…;;;;;;;x
LOAD_GFX_PDXMAP_SHADERS;Loading Map(Creating Shaders)...;Chargement de la carte (Création des ombres)...;Karte wird geladen (Shader-Erstellung) ...;;Cargando mapa(Creando shaders)...;;;;;;;;;x
LOAD_GFX_PDXMAP_TERRAIN;Loading Map(Creating Terrain)...;Chargement de la carte (Création du terrain)...;Karte wird geladen (Gelände-Erstellung) ...;;Cargando mapa(Creando terreno)...;;;;;;;;;x
LOAD_GFX_PDXMAP_BORDERS;Loading Map(Creating Borders)...;Chargement de la carte (Création des frontières)...;Karte wird geladen (Grenzen-Erstellung) ...;;Cargando mapa(Creando bordes)...;;;;;;;;;x
LOAD_GFX_PDXMAP_TEXTURES;Loading Map(Creating Textures)...;Chargement de la carte (Création des textures)...;Karte wird geladen (Texturen-Erstellung) ...;;Cargando mapa(Creando texturas)...;;;;;;;;;x
LOAD_GFX_PDXMAP_TREES;Loading Map(Creating Trees)...;Chargement de la carte (Création des arbres)...;Karte wird geladen (Baum-Erstellung) ...;;Cargando mapa(Creando árboles)...;;;;;;;;;x
LOAD_GFX_PDXMAP_RIVERS;Loading Map(Creating Rivers)...;Chargement de la carte (Création des rivières)...;Karte wird geladen (Fluss-Erstellung) ...;;Cargando mapa(Creando ríos)...;;;;;;;;;x
LOAD_GFX_PDXMAP_STATIC_OBJECTS;Loading Map(Creating objects)...;Chargement de la carte (Création des objets)...;Karte wird geladen (Objekt-Erstellung) ...;;Cargando mapa (Creando objetos)...;;;;;;;;;x
LOAD_INIT;Initialising Mod...;Initialisation du mod...;Spiel wird initialisiert ...;;Inicializando Mod...;;;;;;;;;x
EVTDESC38001;A representative from the Iron Bank of Braavos has arrived at court, asking me to honour the debts of my dear late [From.GetRootRelation]...;Un représentant de la Banque de Fer de Braavos est arrivé à la cour, il me demande d'honorer les dettes de mon(a) regretté(e) [From.GetRootRelation]...;;;Un representante del banco de hierro de Braavos ha llegado a la corte, me pide que honre las deudas de mi añorado [From.GetRootRelation]...;;;;;;;;;x
EVTDESC38001B;A representative from the bank has arrived at court, asking me to honour the debts of my dear late [From.GetRootRelation]...;Un représentant de la Banque de Fer de Braavos est arrivé à la cour, il me demande d'honorer les dettes de mon(a) regretté(e) [From.GetRootRelation]...;;;Un representante del banco de hierro de Braavos ha llegado a la corte, me pide que honre las deudas de mi añorado [From.GetRootRelation]...;;;;;;;;;x
EVTDESC38002;A representative from the Iron Bank of Braavos is here, reminding me of that loan I took...;Un représentant de la Banque de Fer de Braavos est ici, me rappelant le prêt que j'avais contracté auprès d'eux… ;;;Un representante del Banco de Hierro de Braavos está aquí, recordándome el préstamo que he contraído con ellos...;;;;;;;;;x
EVTDESC38002B;A representative from the bank is here, reminding me of that loan I took...;Un représentant de la Banque de Fer de Braavos est ici, me rappelant le prêt que j'avais contracté auprès d'eux… ;;;Un representante del Banco de Hierro de Braavos está aquí, recordándome el préstamo que he contraído con ellos...;;;;;;;;;x
BISHOP_LOYALTY_DESC;Septons are not obliged to pay any taxes - or provide levies - to their secular liege. They will pay the High Septon or their Liege Lord depending on who they like best.;Les septons ne sont pas tenus de payer des taxes ou de lever le ban pour leur suzerain séculier. Ils payeront ce qu'ils doivent au Grand Septon ou à leur suzerain en fonction de qui ils préfèrent. ;;;Los septones no están obligados a pagar impuestos o reclutar levas para su señor secular. Ellos pagan lo que deben al Gran Septón o a su Señor, dependiendo de a quién prefieran.;;;;;;;;;x
castle_appreciate_desc;The genius of your Master of Laws has made the people in the Castle appreciate you more;Le génie et le talent de votre maître des lois a améliorer la perception que le peuple a de vous. ;;;El genio y el talento de tu consejero ha mejorado la percepción que la gente tiene de ti .;;;;;;;;;x
maimed_death;from a severe maiming;d'une grave mutilation;;;por una grave mutilación;;;;;;;;;x
crippled_death;from crippling injuries;d'une blessure qui conduit à être estropié;;;por una lesión incapacitante;;;;;;;;;x
JOIN_ATTACKER_WARS_EFFECT;Will join [GetTitledName] in [GetPossPronoun] offensive wars \n;Rejoindre [GetTitledName] dans sa guerre offensive \n;Wird sich [GetTitledName] in [GetPossPronoun] offensiven Kriegen anschließen \n;;Se unirá a [GetTitledName] en [GetPossPronoun] guerra ofensiva\n;;;;;;;;;x
JOIN_DEFENDER_WARS_EFFECT;Will join [GetTitledName] in [GetPossPronoun] defensive wars \n;Rejoindre [GetTitledName] dans sa guerre défensive \n;Wird sich [GetTitledName] in [GetPossPronoun] defensiven Kriegen anschließen \n;;Se unirá a [GetTitledName] en [GetPossPronoun] guerra defensiva\n;;;;;;;;;x
commission_runestone;Commission a Sepulcher;Commander un sépulcre;Gebt einen Runenstein in Auftrag;;Encargar un sepulcro;;;;;;;;;x
commission_runestone_desc;Commission a sepulcher to house a statue in the memory of a dead parent, others will look more favorably on you for a time.;Commander un sépulcre afin d’honorer la mémoire d’un parent défunt, avec une statue à son effigie. Les autres vous seront davantage favorables pendant une certaine période.;Gebt einen Runenstein in Auftrag, um eure Taten aufzuzeichnen oder ein verstorbenes Elternteil zu ehren. Dies kann nur einmal im Leben getan werden, aber andere werden Euch für eine Weile wohlwollend begegnen.;;Encargar un sepulcro para albergar una estatua en memoria de un pariente muerto. Los demás te verán más favorablemente por un tiempo.;;;;;;;;;x
raised_runestone;Raised a Sepulcher;Eriger un sépulcre;;;Erigió un sepulcro;;;;;;;;;x
runestone_carved;The craftsmen start the process of carving and painting the sepulcher.;Les sculpteurs ont commencé à sculpter et à peindre le tombeau.;Die Handwerker beginnen mit dem Prozess der Herstellung und Bemalung des Runensteins.;;Los escultores comienzan el proceso de tallado y pintura del sepulcro.;;;;;;;;;x
runestone_traits;You will raise a sepulcher in honor of your own person.;Vous érigerez un sépulcre à votre honneur.;Ihr werdet einen Runenstein zu eigenen Ehren errichten.;;Erigirás un sepulcro en tu honor.;;;;;;;;;x
EVTDESC_TOG_500;You have decided to commission and raise a grand sepulcher for future generations to gaze upon. What should be carved into it?;Vous avez décidé de commander et d’ériger un grand sépulcre que les futures générations pourront admirer. Que souhaitez-vous qu’on y grave ?;Ihr habt Euch entschlossen, einen großen Runenstein in Auftrag zu geben, der von zukünftigen Generationen betrachtet werden kann. Was soll in den Runenstein graviert werden?;;Has decidido encargar y erigir un gran sepulcro para que lo contemplen las generaciones futuras. ¿Qué debería tallarse en ella?;;;;;;;;;x
EVTOPTA_TOG_500;Let it speak of me.;Qu’elle parle de moi.;Lasst ihn von mir sprechen.;;Que hable de mí.;;;;;;;;;x
EVTOPTB_TOG_500;It shall stand in memory of [Root.Father.GetTitledFirstName], my departed father.;Elle sera érigée à la mémoire de [Root.Father.GetTitledFirstName], mon défunt père.;Er soll zu Ehren meines verstorbenen Vaters [Root.Father.GetTitledFirstName] errichtet werden.;;Será erigido en memoria de [Root.Father.GetTitledFirstName], mi difunto padre.;;;;;;;;;x
EVTOPTC_TOG_500;It shall stand in memory of [Root.Mother.GetTitledFirstName], my beloved mother.;Elle sera érigée à la mémoire de [Root.Mother.GetTitledFirstName], ma défunte mère.;Er soll zu Ehren meiner geliebten Mutter [Root.Mother.GetTitledFirstName] errichtet werden.;;Será erigido en memoria de [Root.Mother.GetTitledFirstName], mi querida madre.;;;;;;;;;x
EVTDESC_TOG_501;The artisans who will carve and paint the sepulcher are asking for instructions. Which of your qualities should it speak of?;Les artisans qui tailleront et peindront le tombeau demandent des instructions. Lesquelles de vos aptitudes seront exposées ?;Die Künstler, die den Runenstein bearbeiten und gravieren werden, bitten um Anweisungen. Von welcher Eurer Qualitäten wollt ihr berichten?;;Los escultores que tallarán y pintarán la piedra rúnica piden instrucciones. ¿De qué cualidad debería hablar?;;;;;;;;;x
EVTOPTA_TOG_501;Oh, I don't know. Make something up.;Oh, je ne sais pas. Improvisez.;Oh, ich weiß nicht. Lasst euch was einfallen.;;Oh, no lo sé. Inventad algo.;;;;;;;;;x
EVTOPTB_TOG_501;I know exactly what the stone should say...;Je sais précisément ce qu’on pourra lire sur la pierre…;Ich weiß ganz genau, was der Runenstein sagen soll…;;Sé exactamente lo que pondrá en la piedra...;;;;;;;;;x
EVTOPTC_TOG_501;It schall shpeak of mead, schpirits, *hic* and other ssusch wondersch.;Elle devra parler d’hydromel, de schpiritueux, *hic* et d’autres mmerveilles de la schorte.;Er scholl vonn Mmet, Geischtern *hicks* und anderen scholschen Wundern berrschichten.;;Debe habbblar de aguamielll, licccores, * hip * y otrasss maravillasss.;;;;;;;;;x
EVTOPTD_TOG_501;It must share my beauty with the world.;Elle doit exposer ma beauté au reste du monde.;Er soll meine Schönheit mit der Welt teilen.;;Debe compartir mi belleza con el mundo.;;;;;;;;;x
EVTOPTE_TOG_501;Let it show what a giant I was despite my stature.;Elle montrera que, malgré mon gabarit, j’étais un géant. ;Lasst ihn verkünden, was für ein Gigant ich war, wenn man mal von meiner Statur absieht.;;Que muestre lo gigante que soy a pesar de mi estatura.;;;;;;;;;x
EVTOPTF_TOG_501;My wisdom must be preserved.;Ma sagesse doit être conservée. ;Meine Weisheit muss für die Nachwelt festgehalten werden.;;Mi sabiduría debe ser preservada.;;;;;;;;;x
EVTOPTI_TOG_501;Uhm... you decide...;Euh … à vous de voir…;Ähm... Ihr entscheidet…;;Uhm... decide tú...;;;;;;;;;x
EVTOPTJ_TOG_501;The inscription must say that I had the strength of ten men!;L'inscription dira que je possédais la force de dix hommes !;Die Runen sollen davon berichten, dass ich die Stärke von zehn Mann hatte!;;¡La inscripción debe decir que tenía la fuerza de diez hombres!;;;;;;;;;x
EVTOPTK_TOG_501;My great knowledge of the world.;Ma grande connaissance du monde. ;Mein gewaltiges Wissen um diese Welt.;;Mi gran conocimiento del mundo.;;;;;;;;;x
EVTOPTL_TOG_501;I care not what you write, but it must show my screaming enemies!;Je ne me soucie guère de ce que vous y écrirez, tant qu’elle illustre mes ennemis empalés !;Mir gleich was dort steht, er soll meine aufgespießten Gegner zeigen!;;No importa lo que escribas, pero ¡debe mostrar mis enemigos empalados!;;;;;;;;;x
EVTOPTM_TOG_501;It should speak of summer fields, moonlit nights and...;Elle parlera de champs d’été, de nuits de pleine lune et…;Er sollte von sommerlichen Feldern und mondbeschienenen Nächten berichten und…;;Debe hablar de los campos de verano, las noches iluminadas por la luna y...;;;;;;;;;x
EVTOPTN_TOG_501;Just carve in my image and make sure it is well-endowed.;Gravez seulement mon image et assurez-vous que ça me mette en valeur.;Graviert mein Abbild in den Stein und stellt sicher, dass die Ausstattung stimmt.;;Sólo talla mi imagen y asegúrate de que está bien dotada.;;;;;;;;;x
EVTOPTO_TOG_501;Carve in all of my favorite recipes.;Gravez toutes mes recettes préférées.;Graviert meine Lieblingsrezepte hinein.;;Tallar todas mis recetas favoritas.;;;;;;;;;x
EVTOPTP_TOG_501;Let it speak of sharing.;Qu'elle parle de partage.;Es soll vom Teilen berichten.;;Que hable de compartir.;;;;;;;;;x
EVTOPTQ_TOG_501;It should mention the importance of being kind to others.;Elle pourra faire mention de l’importance d’être bon envers les autres.;Es sollte erwähnt werden wie wichtig es ist, zu anderen freundlich zu sein. ;;Debería mencionar la importancia de ser amable con los demás.;;;;;;;;;x
EVTOPTR_TOG_501;You will mention my greatness, the epic deeds I have performed and the...;Vous y mentionnerez ma grandeur, toutes mes épopées et…;Ihr werdet meine Großartigkeit erwähnen, meine epischen Taten und auch…;;Hará mención a mi grandeza, la epopeya que he realizado y los...;;;;;;;;;x
EVTOPTS_TOG_501;Oh, there is not much to say...;Oh, il n'y a pas beaucoup à dire…;Ach, da gibt es nicht viel zu sagen…;;Oh, no hay mucho que decir...;;;;;;;;;x
EVTOPTT_TOG_501;It will say that I feared nothing.;Elle dira que je n'avais peur de rien.;Man wird sagen, ich hatte vor nichts Angst.;;Dirá que no tengo miedo de nadie.;;;;;;;;;x
EVTOPTU_TOG_501;I wish to be known for my fairness in all things.;Je souhaite être reconnu pour mon équité en toutes choses.;Ich möchte für meine Gerechtigkeit in allen Belangen berühmt sein.;;Deseo ser conocido por mi justicia en todas las cosas.;;;;;;;;;x
EVTOPTV_TOG_501;My strong bonds to the Gods.;Mes liens solides avec les Dieux.;Meine starken Bindungen zu Odin.;;Mis fuertes lazos con los Dioses.;;;;;;;;;x
EVTOPTX_TOG_501;My harsh but necessary actions.;Mes actions rudes mais nécessaires.;Meine brutalen aber notwendigen Taten.;;Mis acciones duras pero necesarias.;;;;;;;;;x
EVTOPTY_TOG_501;The demon within me must be heard.;Le démon en moi doit être entendu.;Der Dämon in mir muss gehört werden.;;El demonio dentro de mí debe ser escuchado.;;;;;;;;;x
EVTNAME_TOG_510;In memory of [Root.Father.GetFirstName];En mémoire de [Root.Father.GetFirstName];In Erinnerung an [Root.Father.GetFirstName];;En memoria de [Root.Father.GetFirstName];;;;;;;;;x
EVTDESC_TOG_510;The sepulcher you commissioned has been finished and raised on the spot you chose for it. You examine the inscription:\n\nThis tomb was built by [Root.GetTitle] [Root.GetFirstName] in memory of [Root.Father.GetFirstName] of House [Root.Father.GetOnlyDynastyName] of House [Root.Father.GetOnlyDynastyName], [Root.GetHerHis] father and [Root.Father.Father.GetFirstName]'s son. He lived a good life and died peacefully in bed. Ever will stand this memorial.\n\nYou leave the tomb, content in the knowledge that many centuries from now, when its paint has long since faded, scholars will be studying these inscriptions in an effort to glean the wisdom of their words.;La sépulture que vous avez commandée est terminée et a été érigée à l’endroit que vous aviez choisi. Vous examinez les inscriptions :\n\n'Cette tombe a été érigée par [Root.GetFirstName] à la mémoire de [Root.Father.GetFirstName], son père et fils de [Root.Father.Father.GetFirstName]. Il a vécu une bonne vie et est décédé paisiblement dans son sommeil. À jamais se dressera ce monument commémoratif.'\n\Vous quittez la pierre avec la satisfaction de savoir que, dans bon nombre de siècles, quand sa peinture se sera depuis longtemps atténuée, des érudits étudieront ces inscriptions pour essayer de retrouver la sagesse de ses mots.;Der von Euch in Auftrag gegebene Runenstein wurde fertiggestellt und an der Stelle errichtet, die Ihr ausgewählt hattet. Ihr untersucht die Runen:\n\n'Dieser Stein wurde von [Root.GetFirstName] zu Ehren von [Root.Father.GetFirstName], [Root.GetHerHis] Vater und [Root.Father.Father.GetFirstName]s Sohn errichtet. Er lebte ein gutes Leben und verstarb friedlich in seinem Bett. Sein Andenken wird immer gewahrt werden. '\n\nIhr verlasst den Ort, zufrieden in dem Wissen, dass noch in vielen Generationen, wenn die Farbe des Steins bereits verblasst sein wird, Gelehrte die eingravierten Runen in dem Bemühen studieren werden, die Weisheit aus ihnen herauszubekommen.;;El sepulcro que encargaste se ha terminado y alzado en el lugar que elegiste para él. Examinas las inscripciones:\n\nEsta piedra fue alzada por [Root.GetFirstName] en memoria de [Root.Father.GetFirstName], padre de [Root.GetHerHis] e hijo de [Root.Father.Father.GetFirstName]. Vivió una buena vida y murió tranquilamente en la cama. Que este memorial dure para siempre.\n\nTe alejas del sepulcro, sabiendo que dentro de muchos siglos, cuando su pintura haya desaparecido mucho tiempo atrás, los eruditos estarán estudiando estas inscripciones en un esfuerzo por recoger la sabiduría de sus palabras.;;;;;;;;;x
EVTDESC_TOG_511;The sepulcher you commissioned has been finished and raised on the spot you chose for it. You examine the inscription:\n\nThis tomb was built by [Root.GetTitle] [Root.GetFirstName] in memory of [Root.Father.GetFirstName] of House [Root.Father.GetOnlyDynastyName], [Root.GetHerHis] father and [Root.Father.Father.GetFirstName]'s son. He died bravely in battle against his foes, axe firmly in hand. Ever will stand this memorial.\n\nYou leave the tomb, content in the knowledge that many centuries from now, when its paint has long since faded, scholars will be studying these inscriptions in an effort to glean the wisdom of their words.;La sépulture que vous avez commandée est terminée et a été érigée à l’endroit que vous aviez choisi. Vous examinez les inscriptions :\n\n'Cette tombe a été érigée par [Root.GetFirstName] à la mémoire de [Root.Father.GetFirstName], son père et fils de [Root.Father.Father.GetFirstName]. Il mourut bravement sur le champ de bataille contre ses ennemis, l'arme à la main. À jamais se dressera ce monument commémoratif.'\n\Vous quittez la pierre avec la satisfaction de savoir que, dans bon nombre de siècles, quand sa peinture se sera depuis longtemps atténuée, des érudits étudieront ces inscriptions de cette rune pour essayer de retrouver la sagesse de ses mots. ;Der von Euch in Auftrag gegebene Runenstein wurde fertiggestellt und an der Stelle errichtet, die Ihr ausgewählt hattet. Ihr untersucht die Runen:\n\n'Dieser Stein wurde von [Root.GetFirstName] zu Ehren von [Root.Father.GetFirstName], [Root.GetHerHis] Vater und [Root.Father.Father.GetFirstName]s Sohn errichtet. Er starb tapfer im Kampf gegen seine Feinde, die Axt fest im Griff. Sein Andenken wird immer gewahrt werden. '\n\nIhr verlasst den Ort, zufrieden in dem Wissen, dass noch in vielen Generationen, wenn die Farbe des Steins bereits verblasst sein wird, Gelehrte die eingravierten Runen in dem Bemühen studieren werden, die Weisheit aus ihnen herauszubekommen.;;El sepulcro que encargaste se ha terminado y alzado en el lugar que elegiste para él. Examinas las inscripciones:\n\nEste sepulcro fue alzado por [Root.GetFirstName] en memoria de [Root.Father.GetFirstName], [Root.GetHerHis] padre e hijo de [Root.Father.Father.GetFirstName]. Murió valientemente en batalla contra sus enemigos con el hacha en la mano. Que este memorial dure para siempre.\n\nTe alejas del sepulcro, sabiendo que dentro de muchos siglos, cuando su pintura haya desaparecido mucho tiempo atrás, los eruditos estarán estudiando estas inscripciones en un esfuerzo por recoger la sabiduría de sus palabras.;;;;;;;;;x
