revoke_dragon_named;Revoke [Root.GetFirstName]'s dragon rider status;Renvoyer [Root.GetFirstName] pour perdre son status de chevaucheur de dragon.;;;;;;;;;;;;x
steal_dragon_egg;Confiscate Dragon Egg;Voler un œuf de dragon;;;;;;;;;;;;x
steal_dragon_egg_desc;Take a Dragon egg from [Root.GetFirstName].;Voler un œuf de dragon à [Root.GetFirstName].;;;;;;;;;;;;x
steal_dragon_egg_named;Take an egg from [Root.GetFirstName];Voler œuf de dragon sur [Root.GetFirstName];;;;;;;;;;;;x
gift_dragon;Gift a Dragon;Donner un Dragon;;;;;;;;;;;;x
gift_dragon_desc;You have a dragon, perhaps one of your kith or kin would fair better with it, assuming the laws allow it.;Vous avez un dragon, peut etre qu'un membre de votre cour ou un ami souhaiterait l'avoir;;;;;;;;;;;;x
teach_dragon;Teach About Dragons;Parler des dragons;;;;;;;;;;;;x
teach_dragon_desc;You can teach [Root.GetFirstName] all you know about Dragons.;Vous pouvez apprendre la légende des dragons à [Root.GetFirstName].;;;;;;;;;;;;x
EVTDESCdragon_tamers.1;[FromFrom.GetFirstName] has entered your Den, intent on stealing you away.;[FromFrom.GetFirstName] est entré et à tenter de vous voler ! A LA GARDE !;;;;;;;;;;;;x
EVTOPTAdragon_tamers.1;Rawr!!;Brule !;;;;;;;;;;;;x
EVTDESCdragon_tamers.2;You've opted to gift a dragon to [From.GetFirstName], which one?;Vous avez choisi de donner un dragon à [From.GetFirstName], lequel ?;;;;;;;;;;;;x
EVTOPTAdragon_tamers.2;[From.GetFirstName] would get along with this one.;[From.GetFirstName] celui-ci.;;;;;;;;;;;;x
EVTOPTBdragon_tamers.2;This one suits [From.GetFirstName].;Il fera l'affaire : [From.GetFirstName].;;;;;;;;;;;;x
EVTOPTCdragon_tamers.2;This one and [From.GetFirstName] would mesh.;Celui-ci sera parfait [From.GetFirstName].;;;;;;;;;;;;x
EVTOPTDdragon_tamers.2;Actually, nevermind.;En réfléchissant, aucun.;;;;;;;;;;;;x
EVTDESCdragon_tamers.3;You demand [From.GetFirstName] surrender [From.GetHerHis] dragon egg to you.;;;;;;;;;;;;;x
EVTOPTAdragon_tamers.3;And [From.GetSheHe] complies...;Très bien.;;;;;;;;;;;;x
EVTDESCdragon_tamers.31;[From.GetFirstName] has handed over [From.GetHerHis] egg.;[From.GetFirstName] arrache des mains de [From.GetHerHis] l'œuf de dragon.;;;;;;;;;;;;x
EVTOPTAdragon_tamers.31;Kill [From.GetHerHim].;Tuez [From.GetHerHim].;;;;;;;;;;;;x
EVTOPTBdragon_tamers.31;Release [From.GetHerHim].;Relacher [From.GetHerHim].;;;;;;;;;;;;x
EVTDESCdragon_tamers.4;You sit your [GetFromRelation] [From.GetFirstName] down and teach [From.GetHerHim] all you know about dragons and the secrets to bonding with them. You pray this information will serve your interests in the future.;;;x
EVTOPTBdragon_tamers.4;"Such is the way of the dragon..."

EVTDESCdragon_tamers.6;Spending time with your dragon, you have grown to appreciate the beauty and intelligence of the beast. She responds to your emotions, and at times, you feel like you and your dragon are one...;;;x
EVTOPTBdragon_tamers.6;You are my true friend.;;;

EVTDESCbuild_mech.13;Today you declare that House [From.GetOnlyDynastyName] may ascend as a dragon riding family, proving they are capable of taming and riding them. Families with this priviledge cannot have it revoked...;;;x
EVTOPTbuild_mech.13;Glory To The House [From.GetOnlyDynastyName]!;;;X
