#CODE;ENGLISH;FRENCH;GERMAN;;SPANISH;;;;;;;;;x
EVTDESC200003;I found the strange book collecting dust in a forgotten corner of the castle library. It took me several weeks of intense study before its mystery revealed itself to me. The gibberish parts was encoded and after many hours trying to decipher I managed to break it and construct a key to make it easier for me to read. Its mystery is still not solved...;J'ai trouvé ce livre poussiéreux dans un coin perdu de la bibliothèque du château. Il m'a fallu plusieurs semaines d'intenses études avant que je puisse percer son mystère. Les parties pleines de charabia étaient en réalité codées. Après maintes heures et tentatives pour les déchiffrer, j'ai réussi à comprendre le code et à fabriquer une clé me permettant de lire plus facilement. Son mystère n'est toujours pas résolu.... ;Ich fand das fremde Buch, das Staub an einer vergessenen Ecke der Schlossbibliothek sammelt. Ich brauchte mehrere Wochen der intensiven Studie, bevor sein Mysterium sich zu mir offenbarte. Die Kauderwelsch-Teile wurden verschlüsselt und nach vielen Stunden versuchend zu entziffern ich schaffte, es zu brechen und einen Schlüssel zu bauen, es leichter für mich zu machen, zu lesen. Sein Mysterium wird noch immer nicht gelöst...;I found the strange book collecting dust in a forgotten corner of the castle library. It took me several weeks of intense study before its mystery revealed itself to me. The gibberish parts was encoded and after many hours trying to decipher I managed to break it and construct a key to make it easier for me to read. Its mystery is still not solved...;Encontré este libro en un remanso polvoriento de la biblioteca del castillo. Me llevó varias semanas de intenso estudio antes de que pudiera percibir su misterio. Las partes que parecían un galimatías eran en realidad un código. Después de muchas horas eintentos para descifrarlo, me las arreglé para entender el código y producir una clave para leer más fácilmente. Su misterio sigue sin resolverse...;;;;;;;;;x
EVTOPTA200003;I'm a mystic;Je suis un(e) mystique;Ich bin ein Mystiker;I'm a mystic;Soy un místico.;;;;;;;;;x
EVTDESC200004;My regular excursions into the dungeon have only served to whet my appetite. I have sent for a skilled torturer who will teach me more about the arts of pain.;Mes visites régulières dans le cachot n'ont servi qu'à aiguiser mon appétit. J'ai fait chercher un bourreau talentueux qui m'en apprendra plus sur l'art de la douleur. ;Meine regelmäßigen Ausflüge in den Kerker haben nur meinem Verlangen nach mehr gedient. Ich habe nach einem Fachpeiniger geschickt, der mich mehr über die Künste des Schmerzes lehren wird.;;Mis visitas regulares a la cárcel sólo me sirven para abrirme el apetito. Yo busco un verdugo con talento que me enseñe más sobre el arte de dolor.;;;;;;;;;x
EVTOPTA200004;I'm an impaler;Je suis un empaleur;Ich bin ein Pfähler;;Soy un empalador.;;;;;;;;;x
EVTDESC200005;My garden is the apple of my eye, my pride and joy. I distrust my gardener and would spend every hour of the day in my garden if I could.;Mon jardin est la prunelle de mes yeux, ma fierté et ma joie. Je me méfie de mon jardinier et passerais ma vie dans mon jardin si je pouvais.;Mein Garten ist wie mein Augapfel, mein Stolz und meine Heiterkeit. Ich misstraue meinem Gärtner und würde jede Stunde des Tages in meinem Garten verbringen, wenn ich könnte.;;Mi jardín es la niña de mis ojos, mi orgullo y alegría. Desconfío de mi jardinero y pasaría la vida en mi jardín si pudiera.;;;;;;;;;x
EVTOPTA200005;I'm a gardener;Je suis un jardinier;Ich bin ein Gärtner;;Soy un jardinero.;;;;;;;;;x
EVTDESC200006;My modest attempts to write poetry were never meant to be published in any way, but wherever I go, bards and minstrels are reciting or singing my poems.;Mes modestes tentatives pour écrire de la poésie n'ont jamais été faites pour être publiées, mais où que j'aille, bardes et menestrels récitent mes poèmes. ;Meine bescheidenen Versuche, Gedichte zu schreiben, waren nie dazu gedacht veröffentlicht zu werden, aber wohin auch immer ich gehe, rezitieren Barden und Minnesänger meine Gedichte;;Mis modestos intentos de escribir poesía no estaban destinados a ser publicados, pero donde quiera que voy, bardos y juglares recitan mis poemas.;;;;;;;;;x
EVTOPTA200006;I'm a poet;Je suis un poète;Ich bin ein Poet;;Soy un poeta.;;;;;;;;;x
EVTDESC200007;After a long time of contemplation and soul-searching it feels as if I could bear to live in complete celibacy for the rest of my life.;Après un long moment de contemplation et d'auto-introspection, il semble que je puisse vivre dans un célibat total jusqu'à la fin de mes jours.;Nach einer langen Zeit des Nachdenkens und der Gewissenserforschung fühlt es sich, als ob ich die Last des Zölibat den Rest meines Lebens ertragen könnte.;;Después de un largo tiempo de contemplación y de introspección, parece que puedo vivir en el celibato completo para el resto de mis días;;;;;;;;;x
EVTOPTA200007;I'm celibate;Je suis célibataire;Ich lebe im Zölibat.;;Soy un célibe.;;;;;;;;;x
EVTDESC200008;This lifestyle of utmost pleasure and joyous life suits me perfectly. This can be nothing but heaven.;Ce mode de vie plein de plaisirs extrêmes et de joie de vivre me convient parfaitement. Cela doit être le paradis.;Dieser Lebensstil aud purem Vergnügens und freudigen Lebens passt mir vollkommen. Das kann nur der Himmel sein.;;Este estilo de vida lleno de extremo placer y la alegría de la vida me conviene perfectamente. Esto debe ser el paraíso.;;;;;;;;;x
EVTOPTA200008;I'm a hedonist;Je suis un hédoniste;Ich bin ein Hedonist;;Soy un hedonista.;;;;;;;;;x
EVTDESC200009;The duel was close fought, but in the end I was victorious over my opponent. As I basked in the admiration of my peers, I knew that I had to do this again.;Le duel fut un combat serré et acharné, mais à la fin je parvins à triompher de mon adversaire. Après m'être enivré de l'admiration de mes pairs, j'ai su que je ce ne serait pas le dernier.;Das Duell war knapp erkämpft, aber schließlich war ich über meinen Gegner siegreich. Als ich mich in der Bewunderung unter meine Gleichen sonnte, wusste ich, dass ich das wieder tun musste.;The duel was close fought, but in the end I was victorious over my opponent. As I basked in the admiration of my peers, I knew that I had to do this again.;El duelo fue un combate feroz, pero al final me las arreglé para vencer a mi oponente. Después de emborracharme de admiración de mis amigos, yo sabía que no iba a ser la última.;;;;;;;;;x
EVTOPTA200009;I'm a duelist;Je suis un duelliste;Ich bin ein Duellant;I'm a duelist;Soy un duelista.;;;;;;;;;x
EVTOPTD50002;Off with [From.GetPossPronoun] head!;Qu'on lui coupe la tête !;Ab mit [From.GetPossPronoun]em Kopf !;Off with [From.GetPossPronoun] head!;Que le corten la cabeza!;;;;;;;;;x
EVTDESC50000;My friends have come up with a daring plan to break me out of prison. Do I dare to make the attempt?;Mes amis sont venus avec un plan audacieux pour me sortir de prison. Oserais-je le mettre en pratique ? ;Meine Freunde haben einen mutigen Plan ersonnen, mich aus dem Gefängnis zu befreien. Wage ich, den Versuch ?;;Mis amigos han venido con un atrevido plan para sacarme de la cárcel. Me atreveré a aplicarlo?;;;;;;;;;x
EVTOPTA50000;It's too risky;C'est trop riqué. ;Es ist zu Riskant;;Es demasiado arriesgado.;;;;;;;;;x
EVTOPTB50000;Freedom is worth any risk;La liberté vaut bien de prendre des risques.;Freiheit ist jedes Risiko wert !;;La libertad merece cualquier riesgo.;;;;;;;;;x
EVTDESC4300;This year's summer fair was a great success! The merchants and traders drawn to [Root.Capital.GetName] have revitalized the province's economy.;La foire estivale de cette année a été un grand succès ! Les marchands et commerçants venus à [Root.Capital.GetName] ont revitalisé l'économie de la province.;This year's summer fair was a great success! The merchants and traders drawn to [Root.Capital.GetName] have revitalized the province's economy.;;La feria de verano de este año fue un gran éxito! Los mercaderes y los comerciantes llegados a [Root.Capital.GetName] han revitalizado la economía de la provincia.;;;;;;;;;x
EVTOPTA4300;Ok;D'accord;Einverstanden;Ok;Ok;;;;;;;;;x
EVTTOOLTIP452;I will go to [This.GetFirstName]'s chamber;Je vais me rendre dans la chambre de [This.GetFirstName].;Ich werde zu [This.GetFirstName]s Kammer gehen;;Iré a los aposentos de [This.GetFirstName];;;;;;;;;x
EVTDESC454;[From.GetFirstName] has spurned my subtle advances.;[From.GetFirstName] a repoussé mes subtiles avances.;[From.GetFirstName] hat meine subtilen Annäherungen verschmäht.;;[From.GetFirstName] ha rechazado mis sutiles insinuaciones.;;;;;;;;;x
EVTOPTA454;How could [From.GetSheHe] resist my charms?;Comment peut-[From.GetSheHe] resister à mes charmes ?;How could [From.GetSheHe] resist my charms?;;Cómo puede resistirse a mis encantos?;;;;;;;;;x
EVTDESC453;I went to [From.GetFirstName]'s chamber and gave [From.GetHerHim] a good tumble!;Je me suis introduit dans la chambre de [From.GetFirstName] et l'ai culbuté(e) !;I went to [From.GetFirstName]'s chamber and gave [From.GetHerHim] a good tumble!;;Entré en la habitación de [From.GetFirstName] y le dí un buen revolcón!;;;;;;;;;x
EVTDESC190074;This was not a Just act!;Ce n'était pas un acte juste !;This was not a Just act!;;No ha sido un acto justo!;;;;;;;;;x
EVTOPTA190074;Oh well;Oh, bien.;Oh well;;Oh, bien.;;;;;;;;;x
EVTDESC190075;This was not an Honest act!;Ce n'était pas un acte honnête!;This was not an Honest act!;;No ha sido un acto honesto!;;;;;;;;;x
EVTOPTA190075;Oh well;Oh, bien.;Oh well;;Oh, bien.;;;;;;;;;x
EVTDESC190076;This was not a Kind act!;Ce n'était pas un acte bon!;This was not a Kind act!;;No ha sido un buen acto!;;;;;;;;;x
EVTOPTA190076;Oh well;Oh, bien.;Oh well;;Oh, bien.;;;;;;;;;x
commit_suicide;Commit suicide;Se suicider;;;Suicidarse;;;;;;;;;x
commit_suicide_desc;I'm despaired, off with my life !;Je suis desespéré, adieu monde cruel ! ;;;Estoy desesperado, adiós mundo cruel!;;;;;;;;;x
IMPRISON_INTERACTION_1;\n\nUsing this option will increase your §Ytyranny§! by §R10§! for a courtier or §R20§! for a landed vassal (excluding known deserters and owned slaves).\n\nYour §Yfear§! will increase by §R5§! for a landed vassal.;Cette option augmentera votre tyrannie de §R10§! pour un courtisan ou §R20§! pour un vassal (sauf déserteurs avérés et esclaves).;Using this option will increase your tyranny by §R10§! for a courtier or §R20§! for a landed vassal.;;Esta opción aumentará tu tiranía §R10§! para un cortesano o §R20§! para un vasallo.;;;;;;;;;x
EXECUTE_IMPRISONED_INTERACTION_1;Using this option will increase your tyranny by §R5§! for a courtier or §R10§! for a landed vassal (excluding owned slaves).;Cette option augmentera votre tyrannie de §R5§! pour un courtisan ou de §R10§! pour un vassal (sauf les esclaves).;Using this option will increase your tyranny by §R5§! for a courtier or §R10§! for a landed vassal.;;Esta opción aumentará tu tiranía §R5§! para un cortesano o §R10§! para un vasallo.;;;;;;;;;x
opinion_refused_convert;Refused to Convert;Refuser de se convertir.;Bekehrung Verweigert;;Rechazó convertirse;;;;;;;;;x
opinion_converted;Convert;Se convertir;Bekehrte;;Convertido;;;;;;;;;x
REVOKE_TITLE_INTERACTION_2C;Thanks to the crown laws in the §Y$CROWN_TITLE$§!, our vassals cannot object.;Grâce aux lois de la couronne de §Y$CROWN_TITLE$§!, vos vasaux ne peuvent refuser.;Dank der Krone-Gesetze in §Y$CROWN_TITLE$ §!, können unsere Vasallen nicht protestieren.;;Gracias a las leyes de la corona de §Y$CROWN_TITLE$§!, tus vasallos no pueden negarse.;;;;;;;;;x
player_no_ambition;Lack of Ambition;Manque d'ambition;Fehlender Ehrgeiz;;Falta de ambición;;;;;;;;;x
player_no_ambition_desc;Lack of Ambition;Manque d'ambition;Fehlender Ehrgeiz;;Falta de ambición;;;;;;;;;x
tp_school_3;Large Cathedral School;Grande école septonale;Große Domschule;;Gran escuela septonal;;;;;;;;;x
holy_war_desc;§Y$CLAIMANT$§! can use this Casus Belli to seize all titles held by the infidel, §Y$TARGET$§!, within the de jure §Y$TITLE$§!. Deus Vult!;Le(La) §Y$CLAIMANT$§! peut utiliser ce casus belli pour s’emparer de tous les titres que possède l’infidèle §Y$TARGET$§! au sein du(de la) §Y$TITLE$§! de jure. Les dieux le veulent ainsi !;§Y$CLAIMANT$§! kann diesen Kriegsgrund zur Konfiszierung aller Titel benutzen, die das ungläubige Ziel, §Y$TARGET$§!, unter dem de jure-Titel §Y$TITLE$§! bekleidet. Deus Vult!;;§Y$CLAIMANT$§! puede usar este Casus Belli para apoderarse de todos los títulos que posee el infiel, §Y$TARGET$§!, dentro del §Y$TITLE$§! de jure. ¡Los Dioses así lo quieren!;;;;;;;;;x
TECH_DEM_INC_K_E;§G+0.5§! demesne size for Kings & Emperors;§G+0.5§! surface de terres pour les rois et empereurs;§G+0.5§! Größe des Grundbesitzes für Könige und Kaiser;;§G+0.5§! tamaño de heredad para Reyes y Emperadores;;;;;;;;;x
TECH_DEM_INC_D;§G+0.5§! demesne size for High Lords;§G+0.5§! surface de terres pour les grand lords;§G+0.5§! Größe des Grundbesitzes für Herzöge;;§G+0.5§! tamaño de heredad para Grandes Señores;;;;;;;;;x
TECH_DEM_INC_C;§G+0.5§! demesne size for Lords;§G+0.5§! surface de terres pour les lords;§G+0.5§! Größe des Grundbesitzes für Grafen;;§G+0.5§! tamaño de heredad para Señores;;;;;;;;;x
TECH_DEM_INC_B;§G+0.5§! demesne size for Sers;§G+0.5§! surface de terres pour les chevaliers fieffés;§G+0.5§! Größe des Grundbesitzes für Barone;;§G+0.5§! tamaño de heredad para Señores menores;;;;;;;;;x
RULER_JOINS_ENEMY_WAR_LOG;§Y$WHO$§! has joined §Y$ENEMY$§! in the §Y$WAR$§!;§Y$ENEMY$! a rejoint §Y$WHO$! dans la §Y$WAR$! !;§Y$ENEMY$§! schließt sich §Y$WHO$§! im §Y$WAR$§! an;;§Y$ENEMY$§! se ha unido a §Y$WHO$§! en la §Y$WAR$§!;;;;;;;;;x
CB_NAME_TRIBAL_INVASION;Invasion of [Title.GetName];Invasion de [Title.GetName];Invasion von [Title.GetName];;Invasión de [Title.GetName];;;;;;;;;x
WAR_NAME_TRIBAL_INVASION;$ORDER$$FIRST_ADJ$ Invasion of $OTHER_TITLE$;$ORDER$ invasion $FIRST_ADJ$ du(de la) $OTHER_TITLE$;$ORDER$$FIRST_ADJ$e Invasion von $OTHER_TITLE$;;$ORDER$ Invasión $FIRST_ADJ$ de $OTHER_TITLE$;;;;;;;;;x
tribal_invasion_desc;Tribes do not bother with just causes - might makes right!;Les clans n'ont que faire des causes justes, ils règnent par la force !;Stämme kümmern gerechte Sachen nicht - es gilt das Recht des Stärkeren!;;Los clanes no pierden el tiempo con causas justas, reinan por la fuerza!;;;;;;;;;x
RELEASE_FROM_PRISON_INTERACTION_1;This will increase their opinion of you by §G50§!.;L’opinion qu’ils ont de vous augmentera de §G50§!.;Dadurch erhöht sich ihre Meinung über Sie um §G50§!.;;La opinión que tienen de ti aumentará en §G50§!.;;;;;;;;;x
HAS_LANDED_TITLE;Holds the title of $TITLE$;Tient le titre de $TITLE$ ;Ist $RULERTITLE$ von $TITLE$;;Es $RULERTITLE$ de $TITLE$;;;;;;;;;x
EVTNOCOUNCILREQUESTS;Do not bring such petitions before me ever again!;Ne me présentez plus jamais pareilles pétitions !;Bringen Sie solche Bitten niemals wieder vor!;Do not bring such petitions before me ever again!;No me traigas esas peticiones nunca más!;Do not bring such petitions before me ever again!;Do not bring such petitions before me ever again!;Do not bring such petitions before me ever again!;Do not bring such petitions before me ever again!;;;;;x
ISNT_CLOSE_RELATIVE;Not a close relative of;N’est pas apparenté(e) à;Kein naher Verwandter von;;No es un pariente cercano de;;;;;;;;;x
THE_TORAH;The Torah;La Torah;Die Torah;;La Torá;;;;;;;;;x
depose_liege_desc;§Y$CLAIMANT$§! can attempt to depose §Y$TARGET$§!.;§Y$CLAIMANT$§! peut tenter de renverser §Y$TARGET$§!.;§Y$CLAIMANT$§! kann versuchen, §Y$TARGET$§! abzusetzen.;;§Y$CLAIMANT$§! puede intentar deponer a §Y$TARGET$§!.;;;;;;;;;x
summer_fair_0;Hold a Summer Fair;Organiser un festival d’été;Sommerfest abhalten;;Celebrar una feria de verano;;;;;;;;;x
summer_fair_0_desc;The Summer Fair brings merchants, peddlers and all sorts of entertainment to your province.;Le festival d’été est l’occasion d’attirer marchands, colporteurs et autres divertissements dans votre province.;Das Sommerfest bringt Kaufleute, fahrende Händler und allerlei Unterhalter in Eure Provinz.;;La feria de verano atrae a mercaderes, vendedores ambulantes y todo tipo de entretenimiento a tu provincia.;;;;;;;;;x
feast_0;Hold a Feast;Organiser un banquet;Gelage abhalten;;Celebrar un banquete;;;;;;;;;x
feast_0_desc;Hold the biggest feast ever seen in the Kingdom!;Organiser le plus grand banquet du royaume !;Veranstaltet das größte Gelage, das das Königreich je gesehen hat!;;¡Celebra el banquete más grande jamás visto en el reino!;;;;;;;;;x
hold_grand_hunt_0;Go on a Grand Hunt;Participer à une grande partie de chasse;Auf eine Hofjagd gehen;;Organizar una partida de caza;;;;;;;;;x
hold_grand_hunt_0_desc;Go on a Grand Hunt with the best hunters in our domains!;Participer à une grande partie de chasse avec les meilleurs chasseurs de nos domaines !;Mit den besten Jägern unserer Domänen auf eine Hofjagd gehen!;;¡Ve a una gran cacería con los mejores cazadores de nuestros dominios!;;;;;;;;;x
summer_fair_1;Hold a Summer Fair;Organiser un festival d’été;Sommerfest abhalten;;Celebrar una feria de verano;;;;;;;;;x
summer_fair_1_desc;The Summer Fair brings merchants, peddlers and all sorts of entertainment to your province.;Le festival d’été est l’occasion d’attirer marchands, colporteurs et autres divertissements dans votre province.;Das Sommerfest bringt Kaufleute, fahrende Händler und allerlei Unterhalter in Eure Provinz.;;La feria de verano atrae a mercaderes, vendedores ambulantes y todo tipo de entretenimiento a tu provincia.;;;;;;;;;x
feast_1;Hold a Feast;Organiser un banquet;Gelage abhalten;;Celebrar un banquete;;;;;;;;;x
feast_1_desc;Hold the biggest feast ever seen in the Kingdom!;Organiser le plus grand banquet du royaume !;Veranstaltet das größte Gelage, das das Königreich je gesehen hat!;;¡Celebra el banquete más grande jamás visto en el reino!;;;;;;;;;x
hold_grand_hunt_1;Go on a Grand Hunt;Participer à une grande partie de chasse;Auf eine Hofjagd gehen;;Organizar una partida de caza;;;;;;;;;x
hold_grand_hunt_1_desc;Go on a Grand Hunt with the best hunters in our domains!;Participer à une grande partie de chasse avec les meilleurs chasseurs de nos domaines !;Mit den besten Jägern unserer Domänen auf eine Hofjagd gehen!;;¡Ve a una gran cacería con los mejores cazadores de nuestros dominios!;;;;;;;;;x
summer_fair_2;Hold a Summer Fair;Organiser un festival d’été;Sommerfest abhalten;;Celebrar una feria de verano;;;;;;;;;x
summer_fair_2_desc;The Summer Fair brings merchants, peddlers and all sorts of entertainment to your province.;Le festival d’été est l’occasion d’attirer marchands, colporteurs et autres divertissements dans votre province.;Das Sommerfest bringt Kaufleute, fahrende Händler und allerlei Unterhalter in Eure Provinz.;;La feria de verano atrae a mercaderes, vendedores ambulantes y todo tipo de entretenimiento a tu provincia.;;;;;;;;;x
feast_2;Hold a Feast;Organiser un banquet;Gelage abhalten;;Celebrar un banquete;;;;;;;;;x
feast_2_desc;Hold the biggest feast ever seen in the Kingdom!;Organiser le plus grand banquet du royaume !;Veranstaltet das größte Gelage, das das Königreich je gesehen hat!;;¡Celebra el banquete más grande jamás visto en el reino!;;;;;;;;;x
hold_grand_hunt_2;Go on a Grand Hunt;Participer à une grande partie de chasse;Auf eine Hofjagd gehen;;Organizar una partida de caza;;;;;;;;;x
hold_grand_hunt_2_desc;Go on a Grand Hunt with the best hunters in our domains!;Participer à une grande partie de chasse avec les meilleurs chasseurs de nos domaines !;Mit den besten Jägern unserer Domänen auf eine Hofjagd gehen!;;¡Ve a una gran cacería con los mejores cazadores de nuestros dominios!;;;;;;;;;x
succ_turkish_succession;Open;Ouvert;Offen;;Abierto;;;;;;;;;x
succ_gavelkind_desc;The titles of the ruler are divided among his children, with the oldest getting the primary title. If the ruler has no children who can inherit, the law defaults to Primogeniture. You get no Prestige penalty for having unlanded sons, and can have a §Y33%§! larger demesne. Gavelkind is a very popular law with everyone except the oldest child.;Les titres du souverain sont répartis entre ses enfants, l’aîné héritant du titre principal. Si le souverain n’a pas d’enfants, la loi basée sur la primogéniture s’applique. Vous ne subissez aucune pénalité de prestige lorsque vous avez des fils sans terres, et pouvez posséder un domaine §Y33%§! plus grand. Cette loi est très appréciée de tous, sauf de l’aîné des enfants.;Die Titel des Herrschers werden unter seinen Kindern verteilt, wobei das älteste Kind den Primärtitel erhält. Hat der Herrscher keine Kinder, die seine Nachfolge antreten können, gilt das Ältestenrecht. Ihr erleidet durch landlose Söhne keine Prestigeverluste, und Eure Domäne kann um §Y33%§! größer sein. Außer beim ältesten Kind ist Gavelkind ein bei jedermann sehr beliebtes Gesetz.;;Los títulos del gobernante se dividen entre sus hijos, siendo el mayor el que obtiene el título principal. Si el gobernante no tiene hijos que puedan heredar, la ley remite por defecto a la primogenitura. No pierdes prestigio por tener hijos sin tierras y tu heredad puede ser un §Y33%§! mayor. La sucesión a partes iguales es una ley muy aceptada por todos salvo por el hijo mayor.;;;;;;;;;x
holding_epic_tournament;Hosting an Epic Tournament;Accueillir un grand tournoi;Veranstaltet ein episches Turnier;;Acoger un gran torneo;;;;;;;;;x
holding_grand_hunt;Hosting a Grand Hunt;Accueillir une grande chasse;Eine große Jagd veranstalten;Hosting a Grand Hunt;Acoger una gran caza;Hosting a Grand Hunt;Hosting a Grand Hunt;Hosting a Grand Hunt;Hosting a Grand Hunt;;;;;x
holding_large_feast;Holding a Large Feast;Accueillir un banquet;Ein großes Fest geben;;Celebrar un gran banquete;;;;;;;;;x
civil_war;Civil War;Guerre civile;Bürgerkrieg;Civil War;Guerra Civil;;;;;;;;;x
wrong_religion_group_capital;Heathen Capital;Capitale de ceux qui n'ont pas la vraie foi;Heiden Hochburg;Heathen Capital;Capital pagana;Heathen Capital;;;;;;;;x
wrong_religion_group_capital_desc;Reigning in a province that does not follow the true faith makes adminstration of your territories difficult.;Régner dans une province qui ne suit pas la vraie foi rend difficile l'administration de vos territoires.;Das Regieren in einer Provinz, die dem wahren Glauben nicht folgt, macht adminstration Ihrer Territorien schwierig.;Reigning in a province that does not follow the true faith makes adminstration of your territories difficult.;Reinar en una provincia que no sigue la fe verdadera hace dificil la administración de tus territorios.;Reigning in a province that does not follow the true faith makes adminstration of your territories difficult.;;;;;;;;x
wrong_religion_capital;Heretic Capital;Capitale de ceux qui n'ont pas la vraie foi;Ketzer Hauptstadt;Heretic Capital;Capital hereje;Heretic Capital;;;;;;;;x
wrong_religion_capital_desc;Reigning in a province that does not follow the true faith makes adminstration of your territories difficult.;Régner dans une province qui ne suit pas la vraie foi rend difficile l'administration de vos territoires.;Das Regieren in einer Provinz, die dem wahren Glauben nicht folgt, macht adminstration Ihrer Territorien schwierig.;Reigning in a province that does not follow the true faith makes adminstration of your territories difficult.;Reinar en una provincia que no sigue la fe verdadera hace dificil la administración de tus territorios.;;;;;;;;;x
vassal_ruler;Local Levies;Levées de troupes locales;Lokale Aushebungen;Local Levies;Levas locales;;;;;;;;;x
vassal_ruler_desc;Our relatively low rank gives us better control over our local vassals, who will supply us with more troops.;Notre rang relativement modeste nous octroie un meilleur contrôle sur nos vassaux locaux, qui vont nous fournir plus de troupes. ;Unser relativ niedriger Stand gibt uns eine bessere Kontrolle über unsere lokalen Vasallen, die uns mit mehr Truppen versorgen werden.;Our relatively low rank gives us better control over our local vassals, who will supply us with more troops.;Nuestro rango relativamente modesto nos otorga un mejor control sobre nuestros vasallos locales, que nos proporcionarán más tropas;;;;;;;;;x
defensive_war;Defensive War;Guerre défensive;Verteidigungskrieg ;Defensive War;Guerra defensiva;;;;;;;;;x
defensive_war_desc;As we are fighting a defensive war, our vassals are obligated to provide us with more troops than they otherwise would.;Comme nous nous battons dans une guerre défensive, nos vassaux sont obligés de nous fournir d'avantage de troupes qu'à l'accoutumé. ;Da wir mit einem Verteidigungskrieg kämpfen, werden unsere Vasallen verpflichtet, uns mit mehr Truppen zu versorgen, als sie sonst würden.;As we are fighting a defensive war, our vassals are obligated to provide us with more troops than they otherwise would.;Como combatimos en una guerra defensiva, nuestros vasallos están obligados a proporcionarnos más tropas que de costumbre.;;;;;;;;;x
opinion_outraged;Outraged;Outragé;Empört;Outraged;Ultrajado;;;;;;;;;x
opinion_won_holy_war;Won Holy War;Guerre sainte gagnée;Gewonnener Heiliger Krieg;Won Holy War;Guerra santa ganada;;;;;;;;;x
opinion_job_security_concerns;Council Job Change;Changement de poste au conseil;Ratsjob-Änderung;Council Job Change;Cambio de puesto en el Consejo;;;;;;;;;x
