#CODE;ENGLISH;FRENCH;GERMAN;;SPANISH;;;;;;;;;x
wikid;On a Quest Overseas;Dans une quête outre-mer;;;En una búsqueda en el extranjero;;;;;;;;;x
EVTOPTBwikid.1;Get out of here old man;Qu'il prenne ses cartes et déguerpisse !;;;!Sal de aquí viejo!;;;;;;;;;x
EVTOPTCwikid.1;I will die in real life;Je vais mourir pour de vrai;;;Voy a morir de verdad;;;;;;;;;x
EVTTITLEwikid.2;The Beginning of a Story;Le début d'une histoire;;;El comienzo de una historia;;;;;;;;;x
EVTDESCwikid.2;Before you stands an old haggard man in his fifties, maybe sixties. He doesn't look Westerosi, nor does he look like a beggar. Intrigued you asked him about the map. The old man gave a smile [Root.Religion.GetRandomGodName] would be afraid of, '[Root.PrimaryTitle.GetFOA], it has come to my attention that you are looking for a way to acquire a valyrian steeel weapon. As it happens, I have a map in my possession that may help you with your....ambition. But before we continue, may I ask for an alcoholic refreshment?' Your [Root.GetMyLordSpiritualName], obviously annoyed, quickly asks 'Why do you need alcohol?'. The old man looks a bit down at his feet, waits a few seconds and refocuses back on you. 'Well, my lords, because no great story ever started with someone eating a salad.' ;Devant vous se tient un vieil homme au visage marqué par le temps. Il ne semble pas venir de Westeros ni être un mendiant. Intrigué, vous lui posez des questions à propos de la carte. Le vieil homme vous répond par un sourire à faire faire à [Root.Religion.GetRandomGodName]. '[Root.PrimaryTitle.GetFOA], il est venu à mes oreilles que vous cherchiez à acquérir une épée en acier valyrien. J'ai justement en ma possession une carte qui pourrait vous aider dans vos... ambitions. Mais avant tout chose, puis-je vous demander un verre d'alcool ?' Votre  [Root.GetMyLordSpiritualName], qui ne semble guère apprécier le personnage, s'empresse de lui demander pourquoi veut-il un verre d'alcool. 'Eh bien, m'sires, mon vieux gosier est sec comme le désert rouge. Et aucune grande histoire n'a jamais commencé par un homme mangeant une feuille de salade...';;;Frente a usted se encuentra un anciano con una cara marcada por el tiempo. Él no parece ser de Poniente, ni se ve como un mendigo. Intrigado, le preguntas sobre el mapa. El viejo sonrió y dice temeroso que [Root.Religion.GetRandomGodName] le da miedo.'[Root.PrimaryTitle.GetFOA], me ha llamado la atención que estás buscando la forma de adquirir un arma de acero valyrio. Da la casualidad, de que tengo un mapa en mi posesión que puede ayudarte con tu ambición. Pero antes de continuar, ¿puedo pedir un trago? El [Root.GetMyLordSpiritualName], obviamente molesto, rápidamente pregunta '¿Por qué necesita un trago?'. El anciano se mira un poco sus pies, espera unos segundos y vuelve a enfocarse en ti. 'Bueno, mis señores, porque ninguna gran historia comenzó con alguien comiendo una ensalada..;;;;;;;;;x
EVTDESCwikid.2B;Before you stands an old haggard man in his fifties, maybe sixties. He doesn't look [Root.Culture.GetGroupName], nor does he look like a beggar. Intrigued you asked him about the map. The old man gave a smile [Root.Religion.GetRandomGodName] would be afraid of, '[Root.PrimaryTitle.GetFOA], it has come to my attention that you are looking for a way to acquire a valyrian steeel weapon. As it happens, I have a map in my possession that may help you with your....ambition. But before we continue, may I ask for an alcoholic refreshment?' Your [Root.GetMyLordSpiritualName], obviously annoyed, quickly asks 'Why do you need alcohol?'. The old man looks a bit down at his feet, waits a few seconds and refocuses back on you. 'Well, my lords, because no great story ever started with someone eating a salad.' ;Devant vous se tient un vieil homme au visage marqué par le temps. Il ne semble pas être [Root.Culture.GetGroupName] ni être un mendiant. Intrigué, vous lui posez des questions à propos de la carte. Le vieil homme vous répond par un sourire à faire faire à [Root.Religion.GetRandomGodName]. '[Root.PrimaryTitle.GetFOA], il est venu à mes oreilles que vous cherchiez à acquérir une épée en acier valyrien. J'ai justement en ma possession une carte qui pourrait vous aider dans vos... ambitions. Mais avant tout chose, puis-je vous demander un verre d'alcool ?' Votre  [Root.GetMyLordSpiritualName], qui ne semble guère apprécier le personnage, s'empresse de lui demander pourquoi veut-il un verre d'alcool. 'Eh bien, m'sires, mon vieux gosier est sec comme le désert rouge. Et aucune grande histoire n'a jamais commencé par un homme mangeant une feuille de salade...';;;Frente a usted se encuentra un anciano con una cara marcada por el tiempo. Él no parece ser de [Root.Culture.GetGroupName], ni se ve como un mendigo. Intrigado, le preguntas sobre el mapa. El viejo sonrió y dice temeroso que [Root.Religion.GetRandomGodName] le da miedo.'[Root.PrimaryTitle.GetFOA], me ha llamado la atención que estás buscando la forma de adquirir un arma de acero valyrio. Da la casualidad, de que tengo un mapa en mi posesión que puede ayudarte con tu ambición. Pero antes de continuar, ¿puedo pedir un trago? El [Root.GetMyLordSpiritualName], obviamente molesto, rápidamente pregunta '¿Por qué necesita un trago?'. El anciano se mira un poco sus pies, espera unos segundos y vuelve a enfocarse en ti. 'Bueno, mis señores, porque ninguna gran historia comenzó con alguien comiendo una ensalada..;;;;;;;;;x
EVTDESCwikid.2C;Before you stands an old haggard man in his fifties, maybe sixties. He appears to be of valyrian descent, and does not look like a beggar. Intrigued you asked him about the map. The old man gave a smile [Root.Religion.GetRandomGodName] would be afraid of, '[Root.PrimaryTitle.GetFOA], it has come to my attention that you are looking for a way to acquire a valyrian steeel weapon. As it happens, I have a map in my possession that may help you with your....ambition. But before we continue, may I ask for an alcoholic refreshment?' Your [Root.GetMyLordSpiritualName], obviously annoyed, quickly asks 'Why do you need alcohol?'. The old man looks a bit down at his feet, waits a few seconds and refocuses back on you. 'Well, my lords, because no great story ever started with someone eating a salad.' ;Devant vous se tient un vieil homme au visage marqué par le temps. Il ne semble être un descendent valyrien ni être un mendiant. Intrigué, vous lui posez des questions à propos de la carte. Le vieil homme vous répond par un sourire à faire faire à [Root.Religion.GetRandomGodName]. '[Root.PrimaryTitle.GetFOA], il est venu à mes oreilles que vous cherchiez à acquérir une épée en acier valyrien. J'ai justement en ma possession une carte qui pourrait vous aider dans vos... ambitions. Mais avant tout chose, puis-je vous demander un verre d'alcool ?' Votre  [Root.GetMyLordSpiritualName], qui ne semble guère apprécier le personnage, s'empresse de lui demander pourquoi veut-il un verre d'alcool. 'Eh bien, m'sires, mon vieux gosier est sec comme le désert rouge. Et aucune grande histoire n'a jamais commencé par un homme mangeant une feuille de salade...';;;Frente a usted se encuentra un anciano con una cara marcada por el tiempo. Él parece ser un decesdiente de Valyria y, no se ve como un mendigo. Intrigado, le preguntas sobre el mapa. El viejo sonrió y dice temeroso que [Root.Religion.GetRandomGodName] le da miedo.'[Root.PrimaryTitle.GetFOA], me ha llamado la atención que estás buscando la forma de adquirir un arma de acero valyrio. Da la casualidad, de que tengo un mapa en mi posesión que puede ayudarte con tu ambición. Pero antes de continuar, ¿puedo pedir un trago? El [Root.GetMyLordSpiritualName], obviamente molesto, rápidamente pregunta '¿Por qué necesita un trago?'. El anciano se mira un poco sus pies, espera unos segundos y vuelve a enfocarse en ti. 'Bueno, mis señores, porque ninguna gran historia comenzó con alguien comiendo una ensalada..;;;;;;;;;x
EVTOPTAwikid.2;You had my curiosity, but now you have my full attention!;Vous aviez ma curiosité. Maintenant, vous avez mon attention.;;;Conseguiste mi curiosidad, ¡Pero ahora tienes toda mi atención!;;;;;;;;;x
EVTOPTBwikid.2;Be gone you beggar! Off with you!;Va-t'en pouilleux ! J'en ai assez de toi !;;;¡Fuera, mendigo estoy cansado de ti!;;;;;;;;;x
EVTTITLEwikid.3;To quest or not to quest;Partir en quête ou ne pas partir en quête.;;;No parti en una busqueda;;;;;;;;;x
EVTDESCwikid.3;The old man tells you he is certain about the location of the valyrian steel you seek. He points to it on the map and appears convinced. No doubt the journey there will be long, arduous and very dangerous, put purchasing this map and following it could yield great reward.;Le vieil homme affirme être certain de l'endroit où se trouve l'épée en acier valyrien. Il indique un endroit sur la carte et semble convaincu. Pas de doute que le voyage sera long, ardu et dangereux. Mais acheter cette carte et suivre ses indications peuvent conduire à une grande récompense.;;;El anciano te dice que está seguro de la ubicación del acero valyrio que buscas. Lo señala en el mapa y parece convencido. Sin duda el viaje allí será largo, arduo y muy peligroso, con la compra de este mapa podria emprender un viaje del que podria conseguir una gran recompensa.;;;;;;;;;x
EVTOPTAwikid.3;I am ready and prepared to undertake this.;Je suis prêt à m'en emparer.;;;Estoy listo y preparado para el viaje.;;;;;;;;;x
TOOLTIPwikid.4;You purchase the map, and prepare for the journey;Vous achetez la carte et vous préparez votre voyage;;;Usted compra el mapa y se prepara para el viaje;;;;;;;;;x
EVTOPTBwikid.3;I'm not interested.;Je ne suis pas intéressé.;;;No estoy interesado.;;;;;;;;;x
EVTTITLEwikid.4;The Fellowship of House [Root.GetOnlyDynastyName];La compagnie de la maison [Root.GetOnlyDynastyName].;;;La compañía de la Casa [Root.GetOnlyDynastyName].;;;;;;;;;x
EVTDESCwikid.4;Whilst preparing for the journey, your [Root.GetMyLordSpiritualName] suggests you should take someone with you on this journey. '[Root.PrimaryTitle.GetFOA], I have assembled a group of people who are at the top of their respective fields, and would be suitable to accompany you on your quest.';En préparant votre voyage, votre [Root.GetMyLordSpiritualName] vous conseille d'emmener quelqu'un avec vous pour ce voyage. '[Root.PrimaryTitle.GetFOA], j'ai rassemblé un groupe de personnes qui excellent dans leur domaine respectif.';;;Mientras se prepara el viaje, su [Root.GetMyLordSpiritualName] sugiere que debe llevar a alguien con usted en este viaje. '[Root.PrimaryTitle.GetFOA], ha reunido un grupo de personas que sobresalen en sus respectivos campos.;;;;;;;;;x
EVTOPTAwikid.4;The great warrior;Le guerrier fort;;;El gran guerrero;;;;;;;;;x
EVTOPTBwikid.4;The sailor and navigator;Le marin doublé d'un navigateur;;;El marinero y el navegador;;;;;;;;;x
EVTOPTCwikid.4;The comely healer;Une dame versée dans les arts de la guérison;;;Una dama versada en las artes curativas;;;;;;;;;x
EVTOPTDwikid.4;The old man shall come with me;Le vieil homme devrait venir avec moi;;;El viejo vendrá conmigo;;;;;;;;;x
EVTTITLEwikid.5;Preparations for the Journey;Préparatifs pour le voyage.;;;Preparándose para el viaje;;;;;;;;;x
EVTDESCwikid.5;A ship will be required to travel across the leagues of sea to our destination, and through the dangers that will no doubt arise. Therefore it is time to go down to the docks to choose a vessel.;Un navire est nécessaire pour voyager à travers les mers jusqu'à votre destination, et au travers des dangers qui ne manqueront pas d'arriver. Il est temps de se rendre au port et de choisir un vaisseau.;;;Se requerirá que un barco viaje a través de los mares del mar hasta nuestro destino y a través de los peligros que sin duda surgirán. Por lo tanto, es hora de bajar a los muelles para elegir un buque.;;;;;;;;;x
EVTOPTAwikid.5;A small transport ship will do;Un petit bateau de transport suffira;;;Un pequeño barco de transporte servirá;;;;;;;;;x
EVTOPTBwikid.5;I will hire a sturdy cargo ship;Je vais louer une solide coque;;;Contrataré un barco de carga robusto;;;;;;;;;x
EVTOPTCwikid.5;Build me a large warship!;Construisez-moi un grand navire de guerre !;;;¡Constrúyeme un gran barco de guerra!;;;;;;;;;x
EVTOPTDwikid.5;Have my [Root.GetShipName], prepared and provisioned!;Que '[Root.GetTitledFirstName]', mon navire amiral, soit prêt à appareiller !;;;¡Tengo mi [Root.GetShipName], preparado y aprovisionado!;;;;;;;;;x
TOOLTIPoneyearconstruction;This powerful warship will take one year to build;Ce puissant navire de guerre va prendre une année à construire.;;;Este poderoso buque de guerra tardará un año en construirse.;;;;;;;;;x
EVTTITLEwikid.6;The Departed;Le Voyageur;;;Ya Partimos;;;;;;;;;x
EVTDESCwikid.6;The ship is docked fully loaded and crewed ready to depart on our quest. [wikid_companion.GetFirstName] is alongside you on the bridge as you give the command to cast off.;Le navire est chargé et l'équipage est prêt au départ pour votre quête. [wikid_companion.GetFirstName] est à vos côtés sur le pont lorsque vous donner l'ordre de larguer les amarres.;;;El barco está cargado y la tripulación está lista para partir hacia tu búsqueda. [wikid_companion.GetFirstName] está a tu lado en el puente cuando das la orden de lanzar los amarres.;;;;;;;;;x
EVTOPTBwikid.6;You make a joke about naval life;Vous faites une blague sur la vie de marin.;;;Usted hace una broma sobre la vida de un marinero.;;;;;;;;;x
EVTTITLEwikid.7;It's not a pirates life for me;Ce n'est pas une vie de pirate pour moi.;;;a vida de pirata no es para mí;;;;;;;;;x
EVTDESCwikid.7;After many weeks sailing the seas, you are growing bored. Perhaps something can be done with [wikid_companion.GetFirstName] to pass the time?;Après plusieurs semaines en mer, la vie sur un bateau est ennuyeuse, vous devriez faire quelque chose avec [wikid_companion.GetFirstName] pour passer le temps.;;;Después de varias semanas en el mar, la vida en un barco es aburrida, debes hacer algo con [wikid_companion.GetFirstName] para pasar el tiempo.;;;;;;;;;x
EVTOPTAwikid.7;I will visit [wikid_companion.GetHerHis] cabin tonight;Je visiterai sa cabine, cette nuit.;;;Voy a visitar la cabina de [wikid_companion.GetHerHis] esta noche;;;;;;;;;x
EVTOPTBwikid.7;We shall play cyvasse;Nous devrions jouer au cyvosse.;;;Jugaremos a Sitrang.;;;;;;;;;x
EVTOPTCwikid.7;We should have a duel;Nous devrions organiser un duel.;;;Deberíamos tener un duelo.;;;;;;;;;x
EVTOPTDwikid.7;I will read a book;Je vais lire un livre.;;;Leeré un libro.;;;;;;;;;x
EVTOPTEwikid.7;I will amuse myself;Je vais trouver de quoi me distraire.;;;Encontraré algo para distraerme.;;;;;;;;;x
TOOLTIPwikid.8;You pay a visit to [wikid_companion.GetFirstName]...;Vous rendez visite à [wikid_companion.GetFirstName]…;;;Usted visita a [wikid_companion.GetFirstName]..;;;;;;;;;x
TOOLTIPwikid.11;You have a game of cyvasse with [wikid_companion.GetFirstName];Vous jouez au cyvosse avec [wikid_companion.GetFirstName];;;Juegas a Sitrang con [wikid_companion.GetFirstName];;;;;;;;;x
TOOLTIPwikid.18;You and [wikid_companion.GetFirstName] have a training duel;Vous vous entraînez au duel avec [wikid_companion.GetFirstName];;;Usted y [wikid_companion.GetFirstName] tienen un duelo de entrenamiento;;;;;;;;;x
EVTDESCwikid.8;AI - Lady desc;AI - Description de la Dame;;;AI - Descripción de la Dama;;;;;;;;;x
EVTOPTAwikid.8;AI - Lady says yes;AI - La Dame dit oui;;;AI - La mujer dice que si;;;;;;;;;x
EVTOPTBwikid.8;AI - Lady says no;AI - La dame dit non;;;AI - La mujer dice que no;;;;;;;;;x
EVTDESCwikid.9;At the onset of night, you crept into [wikid_companion.GetFirstName]'s cabin. You enjoyed eachothers company for hours.;Au milieu de la nuit, vous vous faufilez dans sa cabine. Vous profitez l'un de l'autre pendant des heures.;;;Al inicio de la noche, estás en la cabina de [wikid_companion.GetFirstName]. En medio de la noche, te escabulles en su cama. Disfrutas el uno al otro durante horas.;;;;;;;;;x
EVTOPTAwikid.9;What a pleasant young [wikid_companion.GetLadLass];Quelle plaisant(e) jeune homme/femme;;;Qué joven tan agradable [wikid_companion.GetLadLass];;;;;;;;;x
EVTDESCwikid.10;Come dusk, you crept into [wikid_companion.GetFirstName]'s cabin. [wikid_companion.GetSheHeCap] appeared to dislike it however.;Au crépuscule, vous vous faufilez dans la cabine de [wikid_companion.GetFirstName]. [wikid_companion.GetSheHeCap] semble ne pas avoir apprécié ce moment.;;;Al anochecer, te arrastraste a la cabina de [wikid_companion.GetFirstName]. [wikid_companion.GetSheHeCap] sin embargo pareció no gustarle.;;;;;;;;;x
EVTOPTAwikid.10;That was most unfortunate;Voilà qui est malheureux.;;;Eso fue muy desafortunado;;;;;;;;;x
EVTDESCwikid.11;AI - I will pick a move;AI - Je vais déplacer une pièce;;;AI: voy a mover una pieza;;;;;;;;;x
EVTOPTZwikid.11;AI - I win;AI - Je gagne;;;AI - Yo gano;;;;;;;;;x
EVTOPTAwikid.11;AI - Dragon;AI - Dragon;;;AI - Dragón;;;;;;;;;x
EVTOPTBwikid.11;AI - Archer;AI - Archer;;;AI - Arquero;;;;;;;;;x
EVTOPTCwikid.11;AI - Swordsman;AI - Lancier;;;AI - Lancero;;;;;;;;;x
EVTOPTDwikid.11;AI - Rabble;AI - Piétaille;;;AI - Pueblo llano;;;;;;;;;x
EVTDESCwikid.12;You and [wikid_companion.GetFirstName] are playing cyvasse on the boat, [wikid_companion.GetSheHe] attacks with [wikid_companion.GetHerHis] dragon.;Vous et [wikid_companion.GetFirstName] jouez au cyvosse sur le bateau, [wikid_companion.GetSheHe] attaque avec son dragon.;;;Tú y [wikid_companion.GetFirstName] están jugando a Sitrang en el barco, [wikid_companion.GetSheHe] ataca con su Dragón.;;;;;;;;;x
EVTOPTZwikid.12;A foolish move, your pieces are in position and you slay [wikid_companion.GetHerHis] King.;Un mouvement stupide, vos pièces sont en position et font tomber son roi. ;;;Un movimiento tonto, tus piezas están en posición y matas a su Rey.;;;;;;;;;x
EVTOPTAwikid.12;You attack with your Archer;Vous attaquez avec votre archer.;;;Atacas con tu Arquero;;;;;;;;;x
EVTOPTBwikid.12;You attack with your Swordsman;Vous attaquez avec votre lancier.;;;Atacas con tu Lancero;;;;;;;;;x
EVTOPTCwikid.12;You attack with your Rabble;Vous attaquez avec la piétaille.;;;Atacas con tu Pueblo llano;;;;;;;;;x
EVTOPTDwikid.12;You attack with your King;Vous attaquez avec votre roi.;;;Atacas con tu Rey;;;;;;;;;x
EVTDESCwikid.13;You and [wikid_companion.GetFirstName] are playing cyvasse on the boat, [wikid_companion.GetSheHe] attacks with [wikid_companion.GetHerHis] archer.;Vous et [wikid_companion.GetFirstName] jouez au cyvosse sur le bateau, [wikid_companion.GetSheHe] attaque avec son archer.;;;Tú y [wikid_companion.GetFirstName] están jugando a Sitrang en el barco, [wikid_companion.GetSheHe] ataca con su Arquero.;;;;;;;;;x
EVTOPTZwikid.13;A foolish move, your pieces are in position and you slay [wikid_companion.GetHerHis] King.;Un mouvement stupide, vos pièces sont en position et font tomber son roi. ;;;Un movimiento tonto, tus piezas están en posición y matas a su Rey.;;;;;;;;;x
EVTOPTAwikid.13;You attack with your Archer;Vous attaquez avec votre archer.;;;Atacas con tu Arquero;;;;;;;;;x
EVTOPTBwikid.13;You attack with your Swordsman;Vous attaquez avec votre lancier.;;;Atacas con tu Lancero;;;;;;;;;x
EVTOPTCwikid.13;You attack with your Rabble;Vous attaquez avec la piétaille.;;;Atacas con tu Pueblo llano;;;;;;;;;x
EVTOPTDwikid.13;You attack with your King;Vous attaquez avec votre roi.;;;Atacas con tu Rey;;;;;;;;;x
EVTDESCwikid.14;You and [wikid_companion.GetFirstName] are playing cyvasse on the boat, [wikid_companion.GetSheHe] attacks with [wikid_companion.GetHerHis] swordsmen.;Vous et [wikid_companion.GetFirstName] jouez au cyvosse sur le bateau, [wikid_companion.GetSheHe] attaque avec ses lanciers.;;;Tú y [wikid_companion.GetFirstName] están jugando a Sitrang en el barco, [wikid_companion.GetSheHe] ataca con su Lancero.;;;;;;;;;x
EVTOPTZwikid.14;A foolish move, your pieces are in position and you slay [wikid_companion.GetHerHis] King.;Un mouvement stupide, vos pièces sont en position et font tomber son roi. ;;;Un movimiento tonto, tus piezas están en posición y matas su Rey.;;;;;;;;;x
EVTOPTAwikid.14;You attack with your Archer;Vous attaquez avec votre archer.;;;Atacas con tu Arquero;;;;;;;;;x
EVTOPTBwikid.14;You attack with your Swordsman;Vous attaquez avec votre lancier.;;;Atacas con tu Lancero;;;;;;;;;x
EVTOPTCwikid.14;You attack with your Rabble;Vous attaquez avec votre piétaille.;;;Atacas con tu Pueblo llano;;;;;;;;;x
EVTOPTDwikid.14;You attack with your King;Vous attaquez avec votre roi.;;;Atacas con tu Rey;;;;;;;;;x
EVTDESCwikid.15;You and [wikid_companion.GetFirstName] are playing cyvasse on the boat, [wikid_companion.GetSheHe] attacks with [wikid_companion.GetHerHis] rabble.;Vous et [wikid_companion.GetFirstName] jouez au cyvosse sur le bateau, [wikid_companion.GetSheHe] attaque avec la piétaille.;;;Tú y [wikid_companion.GetFirstName] están jugando a Sitrang en el barco, [wikid_companion.GetSheHe] ataca con su Pueblo llano.;;;;;;;;;x
EVTOPTZwikid.15;A foolish move, your pieces are in position and you slay [wikid_companion.GetHerHis] King.;Un mouvement stupide, vos pièces sont en position et font tomber son roi. ;;;Un movimiento tonto, tus piezas están en posición y matas su Rey.;;;;;;;;;x
EVTOPTAwikid.15;You attack with your Archer;Vous attaquez avec votre archer.;;;Atacas con tu Arquero;;;;;;;;;x
EVTOPTBwikid.15;You attack with your Swordsman;Vous attaquez avec votre lancier.;;;Atacas con tu Lancero;;;;;;;;;x
EVTOPTCwikid.15;You attack with your Rabble;Vous attaquez avec la piétaille.;;;Atacas con tu Pueblo llano;;;;;;;;;x
EVTOPTDwikid.15;You attack with your King;Vous attaquez avec votre roi.;;;Atacas con tu Rey;;;;;;;;;x
EVTDESCwikid.16;Your mastery of tactics and combat has secured you a victory on the cyvasse table.;Votre maîtrise des tactiques de combat et de la stratégie vous a apporté la victoire sur la table de cyvosse.;;;Tu dominio de las tácticas y el combate te ha asegurado la victoria en la mesa de Sitrang.;;;;;;;;;x
EVTOPTAwikid.16;I am victorious!;Je suis victorieux !;;;¡Salgo victorioso!;;;;;;;;;x
EVTDESCwikid.17;[wikid_companion.GetFirstName]'s mastery of tactics and strategy has secured [wikid_companion.GetHerHim] a victory on the cyvasse table.;La maîtrise de [wikid_companion.GetFirstName] des tactiques de combat et de la stratégie lui a apporté la victoire sur la table de cyvosse.;;;El dominio de tácticas y estrategia de [wikid_companion.GetFirstName] ha asegurado su victoria en la tabla de Sitrang.;;;;;;;;;x
EVTOPTAwikid.17;I don't like childrens games anyway;Je n'aime pas jeux de gamins, de toute façon.;;;No me gustan los juegos de niños de todos modos;;;;;;;;;x
EVTDESCwikid.18;AI - Having a duel ;AI - Battons-nous en duel ;;;AI - Tengamos un duelo.;;;;;;;;;x
EVTOPTAwikid.18;AI- Fight;AI- En garde !;;;AI- En guardia.;;;;;;;;;x
EVTDESCwikid.180;Me and [wikid_companion.GetFirstName] had a fierce training duel on the deck of the ship, with many of the crew stopping to spectate. [wikid_companion.GetFirstName] defeated me in this fight.;[wikid_companion.GetFirstName] et moi nous nous sommes défiés en duel sur le pont du bateau. L'équipage a arrêté son travail pour nous regarder. Il semble que ma maîtrise des armes soit inférieure à la sienne car j'ai été défait.;;;Yo y [wikid_companion.GetFirstName] tuvimos un feroz duelo de entrenamiento en la cubierta del barco, y muchos de los tripulantes se detuvieron para observar. [wikid_companion.GetFirstName] me derrotó en esta pelea.;;;;;;;;;x
EVTOPTAwikid.180;I will learn from this;J'ai appris de cette défaite.;;;Aprenderé de esto.;;;;;;;;;x
EVTDESCwikid.181;Me and [wikid_companion.GetFirstName] had a fierce training duel on the deck of the ship, with many of the crew stopping to spectate. [wikid_companion.GetFirstName] was tough, but I managed to overcome [wikid_companion.GetHerHim].;[wikid_companion.GetFirstName] et moi nous nous sommes défié en duel sur le pont du bateau. L'équipage a arrêté son travail pour nous regarder. [wikid_companion.GetFirstName] est habile mais j'ai gagné.;;;Yo y [wikid_companion.GetFirstName] tuvimos un feroz duelo de entrenamiento en la cubierta del barco, y muchos de los tripulantes se detuvieron para observar. [wikid_companion.GetFirstName] fue difícil, pero logré superar a [wikid_companion.GetHerHim].;;;;;;;;;x
EVTOPTAwikid.181;Practice makes perfect;L'entrainement aide à se perfectionner.;;;;;;;;;;;;x
EVTDESCwikid.182;Me and [wikid_companion.GetFirstName] had a fierce training duel on the deck of the ship, with many of the crew stopping to spectate. The duel was tough, and eventually ended in a draw.;[wikid_companion.GetFirstName] et moi nous nous sommes défié en duel sur le pont du bateau. L'équipage a arrêté son travail pour nous regarder. [wikid_companion.GetFirstName] est habile mais j'ai gagné.;;;Yo y [wikid_companion.GetFirstName] tuvimos un feroz duelo de entrenamiento en la cubierta del barco, y muchos de los tripulantes se detuvieron para observar. [wikid_companion.GetFirstName] fue difícil, pero logré superar a [wikid_companion.GetHerHim].;;;;;;;;;x
EVTOPTAwikid.182;That was good practice;L'entrainement aide à se perfectionner.;;;;;;;;;;;;x
EVTDESCwikid.19;I have a selection of books stowed on the ship to read...;J'ai apporté avec moi quelques livres…;;;Tengo una selección de libros guardados en el barco para leer...;;;;;;;;;x
EVTOPTAwikid.19;The Lusty Tyroshian Maid;La Femme de Chambre Tyroshi;;;La doncella Tyroshi;;;;;;;;;x
EVTOPTBwikid.19;Naval Signals and Etiquette;Signes Nautiques et Etiquette;;;Señales Navales y Etiqueta;;;;;;;;;x
EVTOPTCwikid.19;Valyrian For Dummies;Le Haut Valyrien Pour Les Nuls;;;Dummies de Valyria;;;;;;;;;x
