title_knight;Knight;Chevalier;Knight;Knight;Caballero;;;;;;;;;x
EVTDESCknight.11B;Your [From.GetRootRelation] [From.GetFirstName] has proven [From.GetHerHim]self to be a fine warrior. Although it goes against tradition, you have [From.GetHerHim] kneel before you, and proceed to tap [From.GetHerHis] shoulders with your sword.\n\n'[From.GetFirstNameoftheHouse], in the name of the Warrior I charge you to be brave. In the name of the Father I charge you to be just. In the name of the Mother I charge you to defend the young and innocent. In the name of the Maid I charge you to protect all women. In the name of the Seven I charge you to be just and honorable.';Votre [From.GetRootRelation] [From.GetFirstName] a prouvé qu'elle était une bon guerrière. Bien que ce ne soit pas la tradition vous l'avez fait mettre à genoux devant vous avant de lui frapper l'épaule du plat de votre épée.\n\n'[From.GetFirstName] de la maison [From.GetOnlyDynastyName],  au nom du Guerrier, je te demande d'être brave. Au nom du Père, je te demande d'être juste. Au nom de la Mère, je te charge de défendre le faible et l'innocent. Au nom de la Jouvencelle, je te charge de protéger toute femme. Au nom des Sept, je te charge d'être juste et honorable.';;;Tu [From.GetRootRelation] [From.GetFirstName] ha demostrado ser una buena guerrera. Aunque vaya en contra de las tradiciones, haces que se arrodille ante ti, y procedes a posar tu espada en sus hombros.\n\n'[From.GetFirstName] de la Casa [From.GetOnlyDynastyName], en el nombre del Guerrero te pido que seas valiente. En el nombre del Padre te pido que seas justa. En el nombre de la Madre te pido que defiendas al débil y al inocente. En el nombre de la Doncella te pido que protejas a las mujeres. En el nombre de los Siete te pido que seas  justa y honorable.';;;;;;;;;x
EVTOPTAknight.11B;Rise Lady [From.GetFirstName];Relevez-vous lady [From.GetFirstName];;;Alzaos Doña [From.GetFirstName];;;;;;;;;x
EVTDESCknight.11C;Your [From.GetRootRelation] [From.GetFirstName] has proven [From.GetHerHim]self to be a fine warrior. You have [From.GetHerHim] kneel before you, and proceed to tap [From.GetHerHis] shoulders with your sword.\n\n'[From.GetFirstName] of [From.Liege.Capital.GetName], in the name of the Warrior I charge you to be brave. In the name of the Father I charge you to be just. In the name of the Mother I charge you to defend the young and innocent. In the name of the Maid I charge you to protect all women. In the name of the Seven I charge you to be just and honorable.';Votre [From.GetRootRelation] [From.GetFirstName] a prouvé qu'il était un bon guerrier. Il est à genoux devant vous et vous lui frappez l'épaule du plat de votre épée.\n\n'[From.GetFirstName] de [From.Liege.Capital.GetName],  au nom du Guerrier, je te demande d'être brave. Au nom du Père, je te demande d'être juste. Au nom de la Mère, je te charge de défendre le faible et l'innocent. Au nom de la Jouvencelle, je te charge de protéger toute femme. Au nom des Sept, je te charge d'être juste et honorable.';;;Tu [From.GetRootRelation] [From.GetFirstName] ha demostrado ser un buen guerrero. Haces que se arrodille ante ti, y procedes a posar tu espada en sus hombros.\n\n'[From.GetFirstName] de la Casa [From.GetOnlyDynastyName], en nombre del Guerrero, te pido que seas valiente. En nombre del Padre, te pido que seas justo. En nombre de la Madre, te pido que defiendas al débil y al inocente. En nombre de la Doncella, te pido que protejas a las mujeres. En nombre de los Siete, te pido que seas justo y honorable.';;;;;;;;;x
EVTDESCknight.11D;Your [From.GetRootRelation] [From.GetFirstName] has proven [From.GetHerHim]self to be a fine warrior. Although it goes against tradition, you have [From.GetHerHim] kneel before you, and proceed to tap [From.GetHerHis] shoulders with your sword.\n\n'[From.GetFirstName] of [From.Liege.Capital.GetName], in the name of the Warrior I charge you to be brave. In the name of the Father I charge you to be just. In the name of the Mother I charge you to defend the young and innocent. In the name of the Maid I charge you to protect all women. In the name of the Seven I charge you to be just and honorable.';Votre [From.GetRootRelation] [From.GetFirstName] a prouvé qu'elle était une bon guerrière. Bien que ce ne soit pas la tradition vous l'avez fait mettre à genoux devant vous avant de lui frapper l'épaule du plat de votre épée.\n\n'[From.GetFirstName] de [From.Liege.Capital.GetName],  au nom du Guerrier, je te demande d'être brave. Au nom du Père, je te demande d'être juste. Au nom de la Mère, je te charge de défendre le faible et l'innocent. Au nom de la Jouvencelle, je te charge de protéger toute femme. Au nom des Sept, je te charge d'être juste et honorable.';;;Tu [From.GetRootRelation] [From.GetFirstName] ha demostrado ser una buena guerrera. Aunque vaya en contra de las tradiciones, haces que se arrodille ante ti, y procedes a posar tu espada en sus hombros.\n\n'[From.GetFirstName] de la Casa [From.GetOnlyDynastyName], en el nombre del Guerrero te pido que seas valiente. En el nombre del Padre te pido que seas justa. En el nombre de la Madre te pido que defiendas al débil y al inocente. En el nombre de la Doncella te pido que protejas a las mujeres. En el nombre de los Siete te pido que seas  justa y honorable.';;;;;;;;;x
EVTTITLEknight.12;Knighthood;Chevalerie;;;Caballería;;;;;;;;;x
EVTDESCknight.12;Your [FromFrom.GetRootRelation] [FromFrom.GetTitle] [FromFrom.GetFirstNameWithDynasty] has decided you are worthy of knighthood. You kneel before your [FromFrom.GetRootRelation] and [FromFrom.GetSheHe] proceeds to tap your shoulders with [FromFrom.GetHerHis] sword.\n\n'[Root.GetFirstNameoftheHouse], in the name of the Warrior I charge you to be brave. In the name of the Father I charge you to be just. In the name of the Mother I charge you to defend the young and innocent. In the name of the Maid I charge you to protect all women. In the name of the Seven I charge you to be just and honorable.';Votre [FromFrom.GetRootRelation] [FromFrom.GetTitle] [FromFrom.GetFirstNameWithDynasty] vous a jugé digne de la chevalerie. Vous vous agenouillez devant votre [FromFrom.GetRootRelation] et [FromFrom.GetSheHe] frappe votre épaule du plat de son épée:\n\n'[Root.GetFirstName] de la maison [Root.GetOnlyDynastyName], au nom du Guerrier, je te demande d'être brave. Au nom du Père, je te demande d'être juste. Au nom de la Mère, je te charge de défendre le faible et l'innocent. Au nom de la Jouvencelle, je te charge de protéger toute femme. Au nom des Sept, je te charge d'être juste et honorable.';;;Tu [FromFrom.GetRootRelation] [FromFrom.GetTitle] [FromFrom.GetFirstNameWithDynasty] ha decidido que eres digno de ser un Caballero. Te arrodillas ante tu [FromFrom.GetRootRelation] y este procede a posar su espada en tus hombros.\n\n'[From.GetFirstName] de la Casa [From.GetOnlyDynastyName],  en nombre del Guerrero, te pido que seas valiente. En nombre del Padre, te pido que seas justo. En nombre de la Madre, te pido que defiendas al débil y al inocente. En nombre de la Doncella, te pido que protejas a las mujeres. En nombre de los Siete, te pido que seas justo y honorable.';;;;;;;;;x
EVTOPTAknight.12;Thank you [FromFrom.PrimaryTitle.GetFOA];Merci [FromFrom.PrimaryTitle.GetFOA];;;Gracias [FromFrom.PrimaryTitle.GetFOA];;;;;;;;;x
EVTDESCknight.13;Your daughter has proven herself to be a fine warrior, the equal of any knight of the Kingsguard. Though it goes against tradition, perhaps we should haveficially recognize her skill.;Votre fille a prouvé qu'elle était une excellente guerrière, l'égal de n'importe quel chevalier de la Garde Royale. Même si cela va à l'encontre de la tradition, peut-être devriez-vous reconnaître officiellement ses talents.;;;Tu hija ha demostrado ser una buena guerrera, igual que cualquier Caballero de la Guardia Real. A pesar de que esto va en contra de todas las tradiciones, quizás deberíamos considerar nombrarla Caballero.;;;;;;;;;x
EVTDESCknight.15;After a brief inquiry, you found a septon willing to Knight you... for a modest donation.;Après une brève recherche, vous avez trouvé un septon acceptant de vous oindre… contre une modeste donation.;;;Después de algunas preguntas, encuentras un septón dispuesto a ungirte como Caballero... por un modesta donación.;;;;;;;;;x
EVTDESCknight.16;My guardian took me as his squire!;Mon tuteur m'a pris à son service comme écuyer !;;;Mi tutor me ha tomado como su escudero!;;;;;;;;;x
title_ser;Ser;Ser;Ser;;Don;Ser;;;;;;;;x
title_lady;Lady;Lady;Lady;;Doña;Lady;;;;;;;;x
EVTDESCknight.17;Andal legend is full of great knights, but not all knights are true, and not all true knights are born of the nobility. A knight is a holy warrior of the Seven, and thus, only the faithful may take up the role. You have been anointed a knight and are thus permitted to bear the title 'Ser.';Les légendes Andales sont pleines de grands chevaliers, mais tous les chevaliers ne le sont pas vraiment et tous ne sont pas nés nobles. Un chevalier est un saint guerrier des Sept, et seul un fidèle peut endosser ce rôle. Vous avez été oint chevalier et vous avez désormais le droit de porter le titre 'Ser'.;;;Las leyendas ándalas están repletas de grandes caballeros, pero no todos los caballeros lo son realmente y no todos nacen nobles. Un caballero es un santo guerrero de los Siete y sólo los fieles pueden asumir ese papel. Has sido ungido caballero y tienes el derecho de usar el título de 'Don';;;;;x,;;;;x
take_ward_squire;Take on as a Squire;Prendre un écuyer;;;Tomar un escudero;;;;;;;;;x
take_ward_squire_desc;Take your ward [Root.GetTitledFirstName] on as a squire.;Mon pupille va devenir mon écuyer;;;Mi pupilo será mi escudero;;;;;;;;;x
take_ward_squire_named;Take on [Root.GetTitledFirstName] as a Squire;[Root.GetTitledFirstName] va devenir écuyer;;;Tomar a [Root.GetTitledFirstName] como escudero;;;;;;;;x;
EVTDESCknight.19;Your squire [From.GetFirstNameWithDynasty] has finally become a man grown, [From.GetHerHis] training under your guardianship coming to an end. As a Knight you can choose to knight young [From.GetFirstName], that is if you deem [From.GetHerHim] worthy...;Votre écuyer [From.GetFirstNameWithDynasty] est finalement devenu un homme fait, sa formation et son entraînement, sous votre responsabilité, arrivent à leur fin. En tant que chevalier vous pouvez adouber le jeune [From.GetFirstName], si vous l'en jugez digne bien entendu...;;;Tu escudero [From.GetFirstNameWithDynasty] se ha convertido en un hombre hecho, su formación y su entrenamiento, bajo tu responsabilidad, han llegado a su fin. Como caballero que sois podéis armar caballero al joven [From.GetFirstName] si lo estimas digno de ello.;;;;;;;;;x
OPTAknight.19;Yes, [From.GetSheHe] has earned it;Oui, [From.GetSheHe] l'a mérité;;;Sí, [From.GetSheHe] lo merece.;;;;;;;;;x
OPTBknight.19;[From.GetSheHeCap] is not ready;[From.GetSheHeCap] n'est pas prêt;;;[From.GetSheHeCap] no está preparado.;;;;;;;;;x
EVTDESCknight.20;Your training as a squire under the tutelage of [From.GetTitle] [From.GetFirstNameWithDynasty] is nearing it's end. You have learned how to care for and use weapons, armor, and horses as well as about Chivalry, and now [From.GetTitle] [From.GetFirstName] deems you worthy to be proclaimed a Knight.;Votre formation et votre entraînement en tant qu'écuyer de [From.GetTitle] [From.GetFirstNameWithDynasty] arrivent à leur fin. Vous avez appris à vous servir d'une arme, à entretenir une armure, à vous occuper des chevaux et on vous a inculqué les valeurs de la chevalerie. [From.GetTitle] [From.GetFirstName] vous a jugé digne de devenir chevalier. ;;;Tu educación y entrenamiento como escudero de  [From.GetTitle] [From.GetFirstNameWithDynasty] han llegado a su fin. Has aprendido a usar un arma, a mantener una armadura, a ocuparte de los caballos y te han inculcado los valores de la caballería. [From.GetTitle] [From.GetFirstName] te ha juzgado digno de ser caballero.;;;;;;;;;x
OPTAknight.20;I will be brave and true;Je serai brave et honnête.;;;Seré valiente y honesto.;;;;;;;;;x
OPTBknight.20;No, [Root.Religion.GetRandomGodName] would frown upon it;Non, [Root.Religion.GetRandomGodName] désapprouverai(en)t;;;No, [Root.Religion.GetRandomGodName] lo desaprobaría.;;;;;;;;;x
opinion_knighted_me;Knighted Me;M'a adoubé;;;Me ungió Caballero;;;;;;;;;x
title_knight_of_the_greenhand;Knight of the Order of the Green Hand;Chevalier de l'Ordre de la Main Verte;;;Caballero de la Orden de Manoverde;;;;;;;;;x
title_knight_of_the_greenhand_desc;The Order of the Green Hand was a chivlaric order established by the Gardener Kings of The Reach, and was the most prestigious order of it's kind. It's member knights included both great lords and tourney champions, invited into the order for their prowess, purity, honour and virtue.;L'Ordre de la Main Verte était le plus prestigieux ordre de chevalerie du Bief établi par les rois Jardiniers. Les plus grands lords et les plus grands champions de tournois, des hommes aussi purs, honorables et vertueux qu'habiles aux armes, avaient l'honneur d'en faire partie.;;;La Orden de Manoverde era una orden de caballería establecida por los Reyes Gardener del Dominio, y fue una de las órdenes mas prestigiosas de su clase. Entre sus miembros se incluían grandes señores y campeones de torneos, invitados a la orden por su habilidad, pureza, honor y virtud.;;;;;;;;;x
title_knight_of_the_greenhand_manderly;Knight of the Order of the Green Hand;Chevalier de l'Ordre de la Main Verte;;;Caballero de la Orden de Manoverde;;;;;;;;;x
title_knight_of_the_greenhand_manderly_desc;The Order of the Green Hand was a chivlaric order established by the Gardener Kings of The Reach, and was the most prestigious order of it's kind. It's member knights included both great lords and tourney champions, invited into the order for their prowess, purity, honour and virtue. Following their exile from The Reach decades ago, House Manderly still claims membership of the order.;L'Ordre de la Main Verte était le plus prestigieux ordre de chevalerie du Bief établi par les rois Jardiniers. Les plus grands lords et les plus grands champions de tournois, des hommes aussi purs, honorables et vertueux qu'habiles aux armes, avaient l'honneur d'en faire partie.;;;La Orden de Manoverde era una orden de caballería establecida por los Reyes Gardener del Dominio, y fue una de las órdenes mas prestigiosas de su clase. Entre sus miembros se incluían grandes señores y campeones de torneos, invitados a la orden por su habilidad, pureza, honor y virtud. Los caballeros de la Casa Manderly todavía afirman pertenecer a la Orden de Manoverde, ya que los Manderly fueron exiliados del Dominio antes de que los últimos miembros de la Orden de Manoverde murieran con el rey Mern IX Gardener en el Campo de Fuego durante la Guerra de la Conquista.;;;;;;;;;x
EVTDESCknight.30;Shall [From.GetTitle] [From.GetFirstNameWithDynasty] be inducted into the Order of The Green Hand? Knights of this order are usually considered to be the most honourable and pious in the realm.;[From.GetTitle] [From.GetFirstNameWithDynasty] devrait-il être invité à entrer dans l'Ordre de la Main Verte ? Les chevaliers de cet ordre sont souvent considérés comme les plus honorables et les plus pieux du royaume.;;;¿Debería admitir a [From.GetTitle] [From.GetFirstNameWithDynasty] en la Orden de Manoverde? Los Caballeros de esta orden son considerados como los más honorables y piadosos del Reino.;;;;;;;;;x
EVTOPTAknight.30;Yes, [From.GetSheHe] has proved [From.GetHerHim]self to be a true knight;Oui, [From.GetSheHe] a prouvé qu'[From.GetSheHe] était un vrai chevalier.;;;Si, [From.GetSheHe] ha probado ser un verdadero Caballero.;;;;;;;;;x
EVTOPTCknight.30;[From.GetSheHeCap] is a dubious knight, but shall be in the Order;[From.GetSheHeCap] est un chevalier des plus douteux, mais [From.GetSheHe] devrait faire partie de l'Ordre.;;;[From.GetSheHeCap] es un dudoso caballero, pero será admitido en la Orden;;;;;;;;;x
EVTOPTBknight.30;No, [From.GetSheHe] is not worthy;Non, [From.GetSheHe] n'est pas digne d'un tel honneur.;;;No, [From.GetSheHe] no es digno de tal honor.;;;;;;;;;x
opinion_knight_of_the_greenhand;Inducted Me Into Order of the Green Hand;M'a accueilli dans l'Ordre de la Main Verte;;;Me admitió en la Orden de Manoverde;;;;;;;;;x
EVTDESCknight.31;[Root.GetTitle] [Root.GetFirstName], in recognition of your honour and virtue, I hereby name you a Knight of the Order of the Green Hand.\n\nSigned\n[From.GetTitledFirstNameoftheHouse], the [From.GetRegnalOrdinal] of [From.GetHerHis] name, Lord of [From.Capital.GetName] and Sovereign of the Green Hand;[Root.GetTitle] [Root.GetFirstName], en reconnaissance de vos vertus et de votre honneur, je vous nomme par la présente chevalier de l'Ordre de la Main Verte.\n\nSigné\n[From.GetTitledFirstNameNoRegnal] de la maison [From.GetOnlyDynastyName] [From.GetRegnalOrdinal]de son nom, Sire de [From.Capital.GetName] et Maître de la Main Verte;;;[Root.GetTitle] [Root.GetFirstName], en reconocimiento de vuestro honor y virtud, tengo el honor de nombraros Caballero de la Orden de la Mano Verde.\n\nFirmado\n[From.GetTitledFirstName] de la Casa [From.GetOnlyDynastyName], Señor de [From.Capital.GetName] y Soberano de la Mano Verde;;;;;;;;;x
OPTAknight.31;Thank you [From.PrimaryTitle.GetFOA];Merci [From.PrimaryTitle.GetFOA];;;Gracias [From.PrimaryTitle.GetFOA];;;;;;;;;x
EVTDESCknight.32;[FromFrom.GetTitle] [FromFrom.GetFirstNameWithDynasty] has shown [FromFrom.GetHerHis] skill at arms by claiming victory in the Tourney of [From.Capital.GetName]. Perhaps [FromFrom.GetSheHe] should be honoured with an invitation to The Order of the Green Hand? That is if [FromFrom.GetSheHe] has shown enough virtue and piety.;[FromFrom.GetTitle] [FromFrom.GetFirstNameWithDynasty] a prouvé son habilité aux armes en remportant le tournoi de [From.Capital.GetName]. Peut-être serait-[FromFrom.GetSheHe] honoré d'une invitation à rejoindre l'Ordre de la Main Verte ? A la condition, tout de même, qu'[FromFrom.GetSheHe] possède les vertus et la piété nécessaires pour intégrer l'Ordre.;;;[FromFrom.GetTitle] [FromFrom.GetFirstNameWithDynasty] ha probado su habilidad con las armas ganando el Torneo de [From.Capital.GetName]. Quizás debería ser honrado con una invitación a la Orden de Manoverde? Esto es, por supuesto, si ha demostrado la suficientemente virtud y piedad.;;;;;;;;;x
EVTOPTAknight.32;Yes, [FromFrom.GetSheHe] has proved [FromFrom.GetHerHim]self to be a true knight;Oui, [FromFrom.GetSheHe] a prouvé qu'[FromFrom.GetSheHe] était un vrai chevalier.;;;Si, [From.GetSheHe] ha probado ser un verdadero Caballero.;;;;;;;;;x
EVTOPTBknight.32;No, [FromFrom.GetSheHe] is not worthy;Non, [FromFrom.GetSheHe] n'est pas digne d'un tel honneur.;;;No, [From.GetSheHe] no es digno de tal honor.;;;;;;;;;x
opinion_knight_of_the_greenhand_refused;Did Not Induct Me Into Order of the Green Hand;Ne m'a pas accueilli dans l'Ordre de la Main Verte;;;No me admitió en la Orden de Manoverde;;;;;;;;;x
