skin_decision;Flay [Root.GetTitledFirstName] Alive;Écorcher le prisonnier;;;Despellejar a [Root.GetTitledFirstName] vivo.;;;;;;;;;x;;;;
opinion_flayed_kin;Flayed My Kinsman Alive;A écorché vif un de mes parents;;;Desolló vivo a un pariente;;;;;;;;;x;;;;
opinion_flayed_lover;Flayed My Lover Alive;A écorché vif mon amant(e);;;Desolló viva a mi amante;;;;;;;;;x;;;;
opinion_flayed_friend;Flayed My Friend Alive;A écorché vif mon ami(e);;;Desolló vivo a mi amigo;;;;;;;;;x;;;;
opinion_flayed_child;Flayed Child Alive;A écorché vif un enfant;;;Desolló vivo a un niño;;;;;;;;;x;;;;
weirwood_decision;Sacrifice to Weirwood.;Sacrifier au barral.;;;Ejecutar a [Root.GetTitledFirstName] enfrente del Arciano.;;;;;;;;;x;;;;
weirwood_decision_desc;If we are to execute [Root.GetTitledFirstNameWithDynastyAndTitleNoRegnal], we should take him to the Weirwood and slit his throat in front of it as an offering to the Old Gods.;Si nous exécutons [Root.GetTitledFirstNameWithDynastyAndTitleNoRegnal], nous devrions l'amener devant le barral pour lui trancher la gorge. Ce sera une offrande aux Anciens Dieux.;;;Si vamos a ejecutar a [Root.GetTitledFirstNameWithDynastyAndTitleNoRegnal], deberíamos llevarlo enfrente del Arciano y cortarle el cuello delante de él como una ofrenda a los Antiguos Dioses.;;;;;;;;;x;;;;
EVTDESC50036;You have decreed [From.GetTitledFirstName] is to be sacrificed to the Old Gods, who will surely bless us. We dragged [From.GetHerHim] to the Weirwood Tree and slit his throat.;Vous avez décrété que [From.GetTitledFirstName] serait sacrifié aux Anciens Dieux pour obtenir leur bénédiction en retour. Nous l'avons mené devant le barral avant de lui couper la gorge.;;;Has decretado que [From.GetTitledFirstName] sea sacrificado a los Dioses Antiguos. Arrastras a [From.GetHerHim] al Arciano y le cortas la garganta.;;;;;;;;;x;;;;
EVTOPTA50036;It shall be done;Cela doit être fait.;;;Así se hará;;;;;;;;;x;;;;
EVTDESC50037;The followers of Old Gods can be brutal. [FromFrom.GetTitledFirstName], a godly man, has decreed you are to be sacrificed in front of a Weirwood Tree for the Old Gods.  You are dragged into the clearing kicking and screaming and forced to kneel in front of the great white tree with red leaves as your throat is slit.;Les fidèles des Anciens Dieux peuvent être brutaux. [FromFrom.GetTitledFirstName], un homme pieux, a décrété que vous deviez être sacrifié devant un barral des Anciens Dieux. Vous criez, vous vous débattez, mais on vous traîne de force avant de vous obliger à vous agenouiller devant le grand arbre blanc. Les yeux du barral vous scrutent alors qu'on vous ouvre la gorge.;;;Los fieles de los Antiguos dioses pueden ser brutales. [FromFrom.GetTitledFirstName], un hombre piadoso, ha decretado que debes ser sacrificado frente un Arciano de los Dioses Antiguos. Te arrastran hacia el árbol pateando y gritando y te obligan a arrodillarte delante del gran árbol blanco con hojas de color rojo, una vez allí notas como tu garganta se corta...;;;;;;;;;x;;;;
EVTOPTA50037;I have been sacrificed!;J'ai été sacrifié(e) !;;;He sido sacrificado!;;;;;;;;;x;;;;
crucified;Crucified;Crucifié(e);;;Crucificado;;;;;;;;;x;;;;
crucified_desc;This character was hung from the cross and left to die;Ce personnage a été cloué à une croix, puis on l'a laissé mourir.;;;Este personaje fue colgado en una cruz y dejado morir.;;;;;;;;;x;;;;
EVTDESC50054;The condemned prisoner [FromFrom.GetTitledFirstName] is brought outside where [FromFrom.GetSheHe] is lain on a cross. [FromFrom.GetSheHeCap] screams as your jailors nail [FromFrom.GetHerHim] to the wood and hang [FromFrom.GetHerHim] outside in the sun, where [FromFrom.GetSheHe] will die an agonising death.;Voulez-vous clouer votre prisonnier à une croix et le laisser plusieurs jours au soleil pour qu'il décède ?;;;Quieres dejar a tu prisionero en una cruz y dejarlo varios días al sol hasta que muera?;;;;;;;;;x;;;;
EVTOPTA50054;Yes, this will stand as a warning;Oui, voilà un bel avertissement.;;;Sí, servirá como advertencia;;;;;;;;;x;;;;
EVTOPTB50054;I shall give a merciful death;Je préfère lui donner une mort plus propre et rapide.;;;Prefiero darle una muerte limpia y rápida.;;;;;;;;;x;;;;
EVTDESC50055;Your gaoler comes in and puts a bag over your head before dragging you out into the sun, he removes the bag hangs you up onto a cross and before you know what is happening you feel pain in your hands and feet as nails are hammered into them. As you look up the man turns his back and walks away whilst you hang there in the sun.;Votre geôlier pénètre dans votre cellule, vous met un sac sur la tête puis vous tire dehors, sous le soleil. Il enlève le sac puis cloue vos mains et vos pieds sur une croix, la douleur est insupportable. La croix est rapidement dressée et l'homme s'en va, vous laissant là, torturé par les morsures du soleil.;;;Tu carcelero entra en tu celda, te pone una bolsa en la cabeza y te tira al suelo bajo el sol. Te quita la bolsa y te clava los pies y las manos a una cruz, el dolor es insoportable. Levanta la cruz y el hombre se aleja, dejándote allí colgado acompañado únicamente por el sol...;;;;;;;;;x;;;;
EVTOPTA50055;You aren't just going to leave me here... right?;Vous n'allez tout de même pas me laisser là comme ça ? Non ?...;;;No me irás a dejar de esta manera...no?;;;;;;;;;x;;;;
snu_snu;Snu Snu;Sexuellement torturé;;;Torturado sexualmente;;;;;;;;;x;;;;
snu_snu_desc;This character died by Snu Snu;Ce personnage est mort d'avoir été violé à mort;;;Este personaje murió por haber sido violado hasta la muerte.;;;;;;;;;x;;;;
EVTDESC50056;You have many of the women go to your prisoner [FromFrom.GetTitledFirstName] and engage in the sacred act of Snu Snu. A harsh punishment yet effective.;Voulez-vous que de nombreuses femmes rendent visites à votre prisonnier pour le violer jusqu'à ce que mort s'ensuive ? Une dure punition mais efficace.;;;Quieres que numerosas mujeres visiten al prisionero para violarlo hasta la muerte? Un duro castigo, pero eficaz.;;;;;;;;;x;;;;
EVTOPTA50056;None will withstand the Snu Snu!;Une mise à mort originale !;;;Nadie resiste ese ritmo.. ;;;;;;;;;x;;;;
EVTOPTB50056;He can have a merciful death...;Il peut avoir une meilleure mort…;;;Podría tener una mejor muerte.;;;;;;;;;x;;;;
EVTDESC50057;In the middle of the night many women enter your cell and declare thy will engage in Snu Snu with you, initially you are fearful until you discover what the act of Snu Snu entails... the night is full of activity but in the end of it…;"Au milieu de la nuit, de nombreuses femmes pénètrent dans votre cellule et annoncent qu'elles vont vous violer jusqu'à ce que mort s'ensuive. Au départ cela vous semble la meilleure des morts, mais après quelques heures ""d'activités""…";;;A medianoche, numerosas doncellas entran en tu celda mirándote fijamente y riéndose entre ellas. Al principio tienes miedo hasta que descubres lo que van a hacer contigo... Que esta noche no acabe nunca...;;;;;;;;;x;;;;
EVTOPTA50057;Your heart gives out... a lovely way to die...;Votre cœur finit par lâcher… Une belle mort diront certains.;;;Tu corazón dejó de funcionar...Una bella muerte dirán algunos.;;;;;;;;;x;;;;
burned_alive;Burned Alive;Brûlé(e) vif;;;Quemado vivo;;;;;;;;;x;;;;
burned_alive_desc;This character died by being burned alive, a painful way to die.;Ce personnage a été brûlé vif, une mort des plus douloureuses.;;;Este pernosaje ha sido quemado vivo, una de las muertes más dolorosas.;;;;;;;;;x;;;;
thrown_out_moon_door;Thrown out of the Moon Door;Jeté(e) par la porte de la Lune;;;Arrojado por la Puerta de la Luna;;;;;;;;;x;;;;
thrown_out_moon_door_desc;This character was executed by being thrown out of the Moon Door in the Eyrie, flying through the air and finally meeting their end at the ground.;"Ce personnage a été précipité dans le vide par la porte de la Lune aux Eyrié. Après avoir ""volé"", il s'est écrasé plusieurs centaines de mètres plus bas.";;;Este personaje fue arrojado vivo por la Puerta de la Luna del Nido de Águilas. ;;;;;;;;;x;;;;
black_goat_decision;Sacrifice to the Black Goat.;Sacrifier à la Chèvre Noire.;;;Sacrificio a la Cabra Negra.;;;;;;;;;x;;;;
black_goat_decision_desc;If we are to execute [Root.GetTitledFirstNameWithDynastyAndTitleNoRegnal], we should take him to the Temple and slit his throat in the autel as an offering to the Black Goat.;Si nous exécutons [Root.GetTitledFirstNameWithDynastyAndTitleNoRegnal], nous devrions l'emmener dans le temple et lui trancher la gorge sur l'autel pour l'offrir en sacrifice à la Chèvre Noir.;;;Si vamos a ejecutar a [Root.GetTitledFirstNameWithDynastyAndTitleNoRegnal], deberíamos llevarlo al Templo y degollarlo en el altar como una ofrenda a la Cabra Negra.;;;;;;;;;x;;;;
EVTDESC50038;You have decreed [From.GetTitledFirstName] is to be sacrificed to the Black Goat, who will surely bless us. We dragged [From.GetHerHim] to the altar and slit his throat.;Vous avez décidé que [From.GetTitledFirstName] serait sacrifié à la Chèvre Noire, qui nous bénira sûrement en retour. Nous l'avons emmené jusqu'à l'autel avant de lui trancher la gorge.;;;Has decretado que [From.GetTitledFirstName] sea sacrificado a la Cabra Negra, quien nos bendecirá por ello. Lo arrastramos al altar y lo degollamos.;;;;;;;;;x;;;;
EVTOPTA50038;It shall be done;Cela doit être fait.;;;Así se hará;;;;;;;;;x;;;;
EVTDESC50039;The Black Goat is a dark and terrible deity. [FromFrom.GetTitledFirstName], a pious man, has decreed your blood is to be spilled as a sacrifice to the Black Goat.  You are dragged into the temple and placed on the bloodstained altar where your throat is slit.;La Chèvre Noire est une sombre et terrible divinité. [FromFrom.GetTitledFirstName], un homme pieux, a décidé que votre sang serait versé en sacrifice à la Chèvre Noire. Vous êtes emmené jusqu'au temple et au sanglant autel où on vous tranche la gorge.;;;La Cabra Negra es una deidad oscura y terrible. [FromFrom.GetTitledFirstName], un hombre piadoso, ha decretado que tu sangre debe ser derramada como sacrificio a la Cabra Negra. Te arrastran hacia el templo y te colocan en un altar manchado de sangre donde te corta la garganta.;;;;;;;;;x;;;;
EVTOPTA50039;I have been sacrificed!;J'ai été sacrifié(e) !;;;He sido sacrificado!;;;;;;;;;x;;;;
hyrkoon_sacrifice_decision;Sacrifice to the Gods;Sacrifier aux Dieux;;;Sacrificio a los Dioses;;;;;;;;;x;;;;
hyrkoon_sacrifice_decision_desc;If we are to execute [Root.GetTitledFirstNameWithDynastyAndTitleNoRegnal], we should do so as an offering to the Gods.;Si nous voulons exécuter [Root.GetTitledFirstNameWithDynastyAndTitleNoRegnal], nous pourrions le faire en tant qu'offrande aux dieux.;;;Si vamos a ejecutar a [Root.GetTitledFirstNameWithDynastyAndTitleNoRegnal], deberíamos hacerlo como una ofrenda a los Dioses.;;;;;;;;;x;;;;
EVTDESC50058;[FromFrom.GetTitledFirstNameWithDynasty] is brought before you for [FromFrom.GetHerHis] execution, and you proceed to strangle [FromFrom.GetHerHim] to death with your bare hands.;[From.GetTitledFirstNameWithDynasty] est amené devant vous pour être exécuté, peut-être devriez-vous l'étrangler de vos propres mains ? ;;;[From.GetTitledFirstNameWithDynasty] es traído ante ti para su ejecución, tal vez debería estrangularlo con mis propias manos?;;;;;;;;;x;;;;
EVTDESC50058B;[FromFrom.GetTitledFirstNameWithDynasty] is brought before you for [FromFrom.GetHerHis] execution. [FromFrom.GetHerHisCap] mother [FromFrom.Mother.GetTitledFirstName] is here as well, so that you can make her watch as you strangle her [FromFrom.GetSonDaughter] to death with your bare hands.;[From.GetTitledFirstNameWithDynasty] est amené devant vous pour être exécuté, peut-être devriez-vous également faire venir sa mère [From.Mother.GetTitledFirstName], pour qu'elle puisse vous regarder l'étrangler ?;;;[From.GetTitledFirstNameWithDynasty] es traído ante ti para su ejecución. Tal vez debería traer a su madre [From.Mother.GetTitledFirstName] para que observe como estrangulo a su hijo con mis propias manos?;;;;;;;;;x;;;;
EVTDESC50058C;[FromFrom.GetTitledFirstNameWithDynasty] is brought before you for [FromFrom.GetHerHis] execution. [FromFrom.GetHerHisCap] father [FromFrom.Father.GetTitledFirstName] is here as well, so that you can make her watch as you strangle his [FromFrom.GetSonDaughter] to death with your bare hands.;[From.GetTitledFirstNameWithDynasty] est amené devant vous pour être exécuté, peut-être devriez-vous également faire venir son père [From.Father.GetTitledFirstName] pour qu'il puisse vous regarder l'étrangler ?;;;[From.GetTitledFirstNameWithDynasty] es traído ante ti para su ejecución. Tal vez debería traer a su padre [From.Father.GetTitledFirstName] para que pueda ver como estrangulo a su hijo con mis propias manos?;;;;;;;;;x;;;;
EVTDESC50058D;[FromFrom.GetTitledFirstNameWithDynasty] is brought before you for [FromFrom.GetHerHis] execution. [FromFrom.GetHerHisCap] children are here as well, so that you can make them watch as you strangle their [FromFrom.GetFatherMother] to death with your bare hands.;[From.GetTitledFirstNameWithDynasty] est amené devant vous pour être exécuté, peut-être devriez-vous également faire venir ses enfants pour qu'ils puissent vous regarder l'étrangler ?;;;[From.GetTitledFirstNameWithDynasty] es traído ante ti para su ejecución. Tal vez debería traer a sus hijos para que me vean estrangular a su padre con mis propias manos?;;;;;;;;;x;;;;
EVTDESC50058E;[FromFrom.GetTitledFirstNameWithDynasty] is brought before you for [FromFrom.GetHerHis] execution. [FromFrom.GetHerHisCap] mother [FromFrom.Mother.GetTitledFirstName] is here as well and, although she cannot see, you make her listen as you strangle her [FromFrom.GetSonDaughter] to death with your bare hands.;[From.GetTitledFirstNameWithDynasty] est amené devant vous pour être exécuté, peut-être devriez-vous également faire venir sa mère [From.Mother.GetTitledFirstName], pour qu'elle puisse vous regarder l'étrangler ?;;;[From.GetTitledFirstNameWithDynasty] es traído ante ti para su ejecución. Tal vez debería traer a su madre [From.Mother.GetTitledFirstName] para que observe como estrangulo a su hijo con mis propias manos?;;;;;;;;;x;;;;
EVTDESC50058F;[FromFrom.GetTitledFirstNameWithDynasty] is brought before you for [FromFrom.GetHerHis] execution. [FromFrom.GetHerHisCap] father [FromFrom.Father.GetTitledFirstName] is here as well and, although he cannot see, you make him listen as you strangle his [FromFrom.GetSonDaughter] to death with your bare hands.;[From.GetTitledFirstNameWithDynasty] est amené devant vous pour être exécuté, peut-être devriez-vous également faire venir sa mère [From.Mother.GetTitledFirstName], pour qu'elle puisse vous regarder l'étrangler ?;;;[From.GetTitledFirstNameWithDynasty] es traído ante ti para su ejecución. Tal vez debería traer a su madre [From.Mother.GetTitledFirstName] para que observe como estrangulo a su hijo con mis propias manos?;;;;;;;;;x;;;;
EVTOPTA50058;Yes, I shall squeeze the life from [FromFrom.GetHerHim]!;Oui, je vais lui prendre la vie !;;;Sí, estrujaré su vida!;;;;;;;;;x;;;;
EVTOPTB50058;That is a barbaric notion;Voilà qui est bien barbare.;;;Esa es una idea bárbara;;;;;;;;;x;;;;
EVTDESC50059;[From.GetTitledFirstNameWithDynasty] has had your [FromFrom.GetRootRelation] [FromFrom.GetTitledFirstName] executed. You are made to watch as [From.GetSheHe] strangles poor [FromFrom.GetFirstName] to death with [From.GetHerHis] bare hands.;[From.GetTitledFirstNameWithDynasty] a fait exécuter votre [FromFrom.GetRootRelation] [FromFrom.GetTitledFirstName]. On vous a forcé à regarder tandis qu'[From.GetSheHe] étranglait le(a) pauvre [FromFrom.GetFirstName].;;;[From.GetTitledFirstNameWithDynasty] ha ejecutado a tu [FromFrom.GetRootRelation] [FromFrom.GetTitledFirstName]. Te hace ver como estrangula a [FromFrom.GetFirstName] con sus manos desnudas.;;;;;;;;;x;;;;
EVTOPTA50059;This is barbaric!;Quelle barbarie !;;;Esto es una barbarie!;;;;;;;;;x;;;;
death_eaten;Cannibalised;Mangé par des cannibales;;;Comido por caníbales;;;;;;;;;;;;x;
death_eaten_desc;This character was put to death and then eaten by his cannibal killers for their supper.;Ce personnage a été mis à mort puis mangé par ses assassins cannibales à leur souper.;;;Este personaje fue asesinado y luego comido por caníbales que hicieron de el su cena.;;;;;;;;;;;;x;
EVTDESCwildling.66;[FromFrom.GetTitledFirstNameWithDynasty] is ritually slain, and then roasted over a fire so [FromFrom.GetSheHe] can be eaten with your fellow clansmen!;Voulez-vous exécuter ce(tte) prisonnier(e), puis vous régaler de ses restes avec ceux de votre clan ?;;;[FromFrom.GetTitledFirstNameWithDynasty] es asesinado en un ritual, y luego asado sobre el fuego para poder ser comido con tus compañeros del clan!;;;;;;;;;;;;x;
EVTDESCwildling.66B;[FromFrom.GetTitledFirstNameWithDynasty] is ritually slain, and then you proceed to gorge on [FromFrom.GetherHis] remains! You will have enough raw meat to last many days!;Voulez-vous exécuter ce(tte) prisonnier(e), puis vous régaler de ses restes ?;;;[De From.GetTitledFirstNameWith Dynasty] es asesinado en un ritual, y luego procedes a atiborrarte! ¡Tendrás suficiente carne cruda para durar muchos días!;;;;;;;;;;;;x;
EVTOPTAwildling.66;A [FromFrom.Culture.GetName] will be delicious!;Oui, un [From.Culture.GetName] serait délicieux !;;;![FromFrom.Culture.GetName] será delicioso!;;;;;;;;;;;;x;
