#CODE;ENGLISH;FRENCH;GERMAN;;SPANISH;;;;;;;;;x
call_in_election_support;Call in Election Support;;;;Pedir Respaldo en la Elección;;;;;;;;;x
EVTDESCplot_event.310;[FromFrom.GetTitledFirstNameWithDynastyNoRegnal] has approached you with a request and reminds of the favour you owe [FromFrom.GetHerHim]. [FromFrom.GetSheHeCap] has learned of a plot against [FromFrom.GetHerHis] family, but needs your help as a councillor to find the plotter and their intentions.;;;;;;;;;;;;;x
EVTOPTAplot_event.310;I will see what I can find;;;;;;;;;;;;;x
TOOLTIPplot_event.310;You investigate the rumours of plotting against [FromFrom.GetTitledFirstNameWithDynastyNoRegnal];;;;;;;;;;;;;x
EVTDESCplot_event.311;My spies have reported that they are close to finding the plotter targetting [plot_target.GetTitledFirstNameWithDynastyNoRegnal], and will have a name to you by nightfall.;;;;;;;;;;;;;x
EVTOPTAplot_event.311;Excellent;;;;;;;;;;;;;x
TOOLTIPplot_event.311;The plotter is about to be revealed...;;;;;;;;;;;;;x
EVTDESCplot_event.312;The spies have been successful, and have identified the plotter as [From.GetTitledFirstNameWithDynastyNoRegnal], who is plotting to [From.GetPlot]!;;;;;;;;;;;;;x
EVTOPTAplot_event.312;I will inform [plot_target.GetTitledFirstNameWithDynastyNoRegnal];;;;;;;;;;;;;x
EVTDESCplot_event.313;[FromFrom.GetTitledFirstNameWithDynastyNoRegnal] had sent word that [FromFrom.GetSheHe] almost had the name of the plotter and would have it to you by the following morning. However, over the course of the evening [FromFrom.GetSheHe] reportedly suffered an unfortunate accident and perished.;;;;;;;;;;;;;x
EVTOPTAplot_event.313;This seems coincidental...;;;;;;;;;;;;;x
EVTDESCplot_event.314;The spies have been successful, and have identified the plotter as [From.GetTitledFirstNameWithDynastyNoRegnal], who is plotting to [From.GetPlot]! The curr even tried to have me murdered before I could pass on the information!;;;;;;;;;;;;;x
EVTOPTAplot_event.314;What a [GetRootFromInsult]!;;;;;;;;;;;;;x
EVTDESCplot_event.315;Despite sending my spies to investigate, I could not find any concrete information regarding the plot against [plot_target.GetTitledFirstNameWithDynastyNoRegnal].;;;;;;;;;;;;;x
EVTOPTAplot_event.315;I did my best;;;;;;;;;;;;;x
EVTDESCplot_event.316;[From.GetTitledFirstNameWithDynastyNoRegnal] says [From.GetSheHe] sent [From.GetHerHis] best spies to investigate, but could not find any concrete information regarding the rumoured plots against you.;;;;;;;;;;;;;x
EVTOPTAplot_event.316;Incompetent fool;;;;;;;;;;;;;x
EVTDESCplot_event.320;[FromFrom.GetTitledFirstNameWithDynastyNoRegnal] has approached you with a request and reminds of the favour you owe [FromFrom.GetHerHim]. [FromFrom.GetSheHeCap] is concerned about [FromFrom.GetHerHis] reputation for disregarding the rights of [FromFrom.GetHerHis] vassals, and is requesting you use your influence on the council to dispel these rumours.;;;;;;;;;;;;;x
EVTOPTAplot_event.320;I will do the best I can;;;;;;;;;;;;;x
TOOLTIPplot_event.320;You use your influence on the council to try and reduce [FromFrom.GetTitledFirstNameWithDynastyNoRegnal]'s tyranny;;;;;;;;;;;;;x
EVTDESCplot_event.321;I sent forth ravens to [FromFromFrom.GetTitledFirstNameWithDynastyNoRegnal]'s vassals to reassure them of [FromFrom.GetHerHis] good character, and brought up the issue with [Root.Liege.GetTitledFirstNameNoRegnal] who agreed to endorse the messages. As a result the reputation of [FromFromFrom.GetTitledFirstNameNoRegnal] has improved.;;;;;;;;;;;;;x
EVTOPTAplot_event.321;I trust [FromFromFrom.GetSheHe] is now satisfied;;;;;;;;;;;;;x
EVTDESCplot_event.322;[From.GetTitledFirstNameWithDynastyNoRegnal] sent forth ravens to your vassals to reassure them of your good character, and brought up the issue with [From.Liege.GetTitledFirstNameNoRegnal] who agreed to endorse the messages. As a result your reputation has improved.;;;;;;;;;;;;;x
EVTOPTAplot_event.322;Very good;;;;;;;;;;;;;x
EVTDESCplot_event.323;Despite my efforts I have not been able to improve [FromFromFrom.GetTitledFirstNameWithDynastyNoRegnal]'s reputation. My ravens were ignored, and the council took a dim view of my suggestion to issue a defence of [FromFromFrom.GetHerHis] character.;;;;;;;;;;;;;x
EVTOPTAplot_event.323;Perhaps try not being a tyrant?;;;;;;;;;;;;;x
EVTDESCplot_event.324;[From.GetSheHeCap] assures you [From.GetSheHe] made diligent efforts, but [From.GetTitledFirstNameWithDynastyNoRegnal] has not been able to improve your reputation. [From.GetHerHisCap] ravens were ignored, and the council took a dim view of [From.GetHerHis] suggestion to issue a defence of your character.;;;;;;;;;;;;;x
EVTOPTAplot_event.324;What a useless, [GetRootFromInsult];;;;;;;;;;;;;x
