#CODE;ENGLISH;FRENCH;GERMAN;;SPANISH;;;;;;;;;x
CHRONICLE_PLAYER_INHERITANCE_NEW_RELIGION;On [GetDateText], [From.GetTitledName] [From.GetDeathReason] at the age of [Root.GetAgeYears]. [From.GetSubjectPronounCap] was succeeded by [From.GetPossPronoun] [Root.Religion.GetName] [GetFromReverseRelation] [Root.GetFirstName].;Le [GetDateText], [From.GetTitledName] [From.GetDeathReason] à l’âge de [Root.GetAgeYears]. [From.GetSubjectPronounCap] eut comme successeur [From.GetPossPronoun] [GetFromReverseRelation] [Root.GetFirstName], de religion [Root.Religion.GetName] [Root.Religion.GetGroupName].;Am [GetDateText], [From.GetTitledName] [From.GetDeathReason]. Nachfolger wird [From.GetPossPronoun] [Root.Religion.GetName] [Root.Religion.GetGroupName] [GetFromReverseRelation] [Root.GetFirstName].;;El [GetDateText], [From.GetTitledName] [From.GetDeathReason] a la edad de [Root.GetAgeYears]. [From.GetSubjectPronounCap] fue sucedido por [From.GetPossPronoun] [GetFromReverseRelation] [Root.GetFirstName], de religión [Root.Religion.GetName] [Root.Religion.GetGroupName] [GetFromReverseRelation] [Root.GetFirstName].;;;;;;;;;x
CHRONICLE_JOINED_ALLY_IN_WAR;[Prev.GetTitledFirstNameNoRegnal] supported [From.GetTitledFirstNameWithDynasty] of [From.PrimaryTitle.GetName] in war against [From.GetHerHis] enemies.;[Prev.GetTitledFirstNameNoRegnal] a soutenu [From.GetTitledFirstNameWithDynasty] de [From.PrimaryTitle.GetName] dans la guerre contre ses ennemis.;[Prev.GetTitledName] unterstützte [From.GetTitledName] im Krieg gegen [From.GetHerHis] Feinde.;;[Prev.GetTitledFirstNameNoRegnal] apoyó a [From.GetTitledFirstNameWithDynasty] de [From.PrimaryTitle.GetName] en la guerra contra sus enemigos;;;;;;;;;x
CHRONICLE_JOINED_ALLY_IN_WAR_2;[From.GetTitledFirstNameNoRegnal] supported [Prev.GetTitledFirstNameWithDynasty] of [Prev.PrimaryTitle.GetName] in war against [Prev.GetHerHis] enemies.;[From.GetTitledFirstNameNoRegnal] a soutenu [Prev.GetTitledFirstNameWithDynasty] de [Prev.PrimaryTitle.GetName] dans la guerre contre ses ennemis.;[From.GetTitledName] unterstützte [Prev.GetTitledName] im Krieg gegen [Prev.GetHerHis] Feinde.;;[From.GetTitledFirstNameNoRegnal] apoyó a [Prev.GetTitledFirstNameWithDynasty] de [Prev.PrimaryTitle.GetName] en la guerra contra sus enemigos.;;;;;;;;;x
CHRONICLE_AZTECS_FIRST_CONTACT;Strangers in strange ships landed in the [FromFrom.Holder.PrimaryTitle.GetAdjective] province of [FromFrom.GetName], bringing rise to much worry and rumours across the lands.;Des étrangers à bord d'étranges navires ont accosté sur la propriété de [FromFromFrom.GetName], en la province de [FromFromFrom.Holder.PrimaryTitle.GetName], créant un vent d'inquiétude et de rumeurs qui souffle dans les terres.;Fremdlinge in fremdartigen Schiffen landeten in [FromFromFrom.Holder.PrimaryTitle.GetAdjective] in der Provinz [FromFromFrom.GetName], was im ganzen Land Anlass zu schlimmen Gerüchten und großer Sorge gibt.;;Unos desconocidos a bordo de extraños barcos han desembarcado en la provincia [FromFromFrom.Holder.PrimaryTitle.GetAdjective] de [FromFromFrom.GetName], lo que ha hecho aumentar las preocupaciones y rumores por todo el territorio.;;;;;;;;;x
CHRONICLE_AZTEC_INVASION;A terrible scourge was unleashed upon [FromFrom.Holder.PrimaryTitle.GetName] as the hordes of the Aztec Emperor arrived from beyond the sea to wreak havoc and destruction.;Un vent de terreur souffle sur [FromFromFrom.Holder.PrimaryTitle.GetName], alors que les hordes de l'Empereur aztèque arrivent de par les mers, apportant avec eux dévastation et destruction.;Eine schreckliche Plage brach über [FromFromFrom.Holder.PrimaryTitle.GetName] herein, als die Horden des Aztekenkaisers von jenseits des Meeres einfielen und Schrecken und Verwüstung verbreiteten. ;;Un terrible azote se ha desatado sobre [FromFromFrom.Holder.PrimaryTitle.GetName] cuando las hordas del Emperador Azteca llegaron de mar adentro para provocar caos y destrucción.;;;;;;;;;x
CHRONICLE_CREATED_TITLE;[Root.GetFirstNameWithDynasty] named [Root.GetHerHim]self [From.GetTitle] of [From.GetFullName], confirming [Root.GetHerHis] growing power with much ceremony and celebration.;[Root.GetDynName] [Root.GetOnlyDynastyName] s’est octroyé(e) le titre de [From.GetTitle] de [From.GetFullName], affirmant son pouvoir grandissant de façon éclatante.;[Root.GetDynName] schaffte den Titel [From.GetFullName] und bestätigte damit in einer großen festlichen Feier [Root.GetHerHis] gewachsene Macht.;;[Root.GetDynName] [Root.GetOnlyDynastyName] ha creado el título de [From.GetTitle] de [From.GetFullName], confirmando su gran poder de forma esplendorosa.;;;;;;;;;x
CHRONICLE_USURPED_TITLE;[Root.GetTitledFirstNameNoRegnal] usurped the [From.GetFullName] from [FromFrom.GetFirstNameWithDynasty].;[Root.GetTitledFirstNameNoRegnal] a usurpé le [From.GetFullName] de [FromFrom.GetFirstNameWithDynasty].;[Root.GetDynName] entriss [From.GetFullName] von [FromFrom.GetDynName].;;[Root.GetTitledFirstNameNoRegnal] ha usurpado el [From.GetFullName] de [FromFrom.GetFirstNameWithDynasty].;;;;;;;;;x
CHRONICLE_MARRIED_FATHER_IMPORTANT;[From.GetTitledFirstNameNoRegnal] was wed to [New.GetTitledFirstName] [New.GetOnlyDynastyName], [New.GetSonDaughter] of [New.Father.GetTitledName].;[From.GetTitledFirstNameNoRegnal] a épousé [New.GetTitledFirstName] [New.GetOnlyDynastyName], [New.GetSonDaughter] de [New.Father.GetTitledName].;[From.GetTitledName] hat [New.GetTitledFirstName], [New.GetSonDaughter] von [New.Vater.GetTitledName], geheiratet.;;[From.GetTitledFirstNameNoRegnal] ha contraído matrimonio con [New.GetTitledFirstName] [New.GetOnlyDynastyName], [New.GetSonDaughter] de [New.Father.GetTitledName].;;;;;;;;;x
CHRONICLE_MARRIED_MOTHER_IMPORTANT;[From.GetTitledFirstNameNoRegnal] was wed to [New.GetTitledFirstName] [New.GetOnlyDynastyName], [New.GetSonDaughter] of [New.Mother.GetTitledName].;From.GetTitledFirstNameNoRegnal] a épousé [New.GetTitledFirstName] [New.GetOnlyDynastyName], [New.GetSonDaughter] de [New.Mother.GetTitledName].;[From.GetTitledName] hat [New.GetTitledFirstName], [New.GetSonDaughter] von [New.Mother.GetTitledName], geheiratet.;;[From.GetTitledFirstNameNoRegnal] ha contraído matrimonio con [New.GetTitledFirstName] [New.GetOnlyDynastyName], [New.GetSonDaughter] de [New.Mother.GetTitledName].;;;;;;;;;x
CHRONICLE_MARRIED_NO_PARENT;[From.GetTitledFirstNameNoRegnal] was wed to [New.GetTitledFirstName] [New.GetOnlyDynastyName].;[From.GetTitledFirstNameNoRegnal] a épousé [New.GetTitledFirstName] [New.GetOnlyDynastyName].;[From.GetTitledName] hat [New.GetTitledFirstName] geheiratet.;;[From.GetTitledFirstNameNoRegnal] ha contraído matrimonio con [New.GetTitledFirstName] [New.GetOnlyDynastyName].;;;;;;;;;x
CHRONICLE_PLAYER_IMPRISONED;[Root.GetTitledFirstNameNoRegnal] was imprisoned in a dungeon in [From.Capital.GetName] by [From.GetTitledName].;[Root.GetTitledFirstNameNoRegnal] a été emprisonné dans les cachots de [From.Capital.GetName] par [From.GetTitledName].;[Root.GetTitledName] wurde von [From.GetTitledName] in [From.Capital.GetName] in den Kerker geworfen.;;[Root.GetTitledFirstNameNoRegnal] fue encarcelado en una mazmorra en [From.Capital.GetName] por [From.GetTitledName].;;;;;;;;;x
CHRONICLE_LIEGE_IMPRISONED;[This.GetTitledFirstNameNoRegnal]'s liege, [Root.GetTitledFirstNameWithDynastyNoRegnal], was imprisoned in a dungeon in [From.Capital.GetName] by [From.GetTitledName].;[Root.GetTitledFirstNameWithDynastyNoRegnal], suzerain(e) de [This.GetTitledFirstNameNoRegnal], a été emprisonné(e) dans les cachots de [From.Capital.GetName] par [From.GetTitledName].;[Root.GetTitledName] wurde von [From.GetTitledName] in [From.Capital.GetName] in den Kerker geworfen.;;[Root.GetTitledFirstNameWithDynastyNoRegnal], Señor de [This.GetTitledFirstNameNoRegnal], fue apresado en una mazmorra en [From.Capital.GetName] por [From.GetTitledName].;;;;;;;;;x
CHRONICLE_SPOUSE_IMPRISONED;[This.GetTitledFirstNameNoRegnal]'s [Root.GetHusbandWife], [Root.GetTitledFirstNameWithDynastyNoRegnal], was imprisoned in a dungeon in [From.Capital.GetName] by [From.GetTitledName].;[Root.GetTitledFirstNameWithDynastyNoRegnal], [Root.GetHusbandWife] de [This.GetTitledFirstNameNoRegnal], a été emprisonné(e) dans les cachots de [From.Capital.GetName] par [From.GetTitledName].;[Root.GetTitledName] wurde von [From.GetTitledName] in [From.Capital.GetName] in den Kerker geworfen.;;[Root.GetTitledFirstNameWithDynastyNoRegnal], [Root.GetHusbandWife] de [This.GetTitledFirstNameNoRegnal], fue encarcelado en una mazmorra de [From.Capital.GetName] por [From.GetTitledName].;;;;;;;;;x
CHRONICLE_PARENT_IMPRISONED;[This.GetTitledFirstNameNoRegnal]'s [Root.GetFatherMother], [Root.GetTitledFirstNameWithDynastyNoRegnal], was imprisoned in a dungeon in [From.Capital.GetName] by [From.GetTitledName].;[Root.GetTitledFirstNameWithDynastyNoRegnal], [Root.GetFatherMother] de [This.GetTitledFirstNameNoRegnal], a été emprisonné(e) dans les cachots de [From.Capital.GetName] par [From.GetTitledName].;[Root.GetTitledName] wurde von [From.GetTitledName] in [From.Capital.GetName] in den Kerker geworfen.;;[Root.GetTitledFirstNameWithDynastyNoRegnal], [Root.GetFatherMother] de [This.GetTitledFirstNameNoRegnal],fue encarcelado en una mazmorra de [From.Capital.GetName] por [From.GetTitledName].;;;;;;;;;x
CHRONICLE_HEIR_IMPRISONED;[This.GetTitledFirstNameNoRegnal]'s heir, [Root.GetTitledFirstNameWithDynastyNoRegnal], was imprisoned in a dungeon in [From.Capital.GetName] by [From.GetTitledName].;[Root.GetTitledFirstNameWithDynastyNoRegnal], l'héritier de [This.GetTitledFirstNameNoRegnal], a été emprisonné dans les cachots de [From.Capital.GetName] par [From.GetTitledName].;[Root.GetTitledName] wurde von [From.GetTitledName] in [From.Capital.GetName] in den Kerker geworfen.;;[Root.GetTitledFirstNameWithDynastyNoRegnal], heredero de [This.GetTitledFirstNameNoRegnal], fue encarcelado en una mazmorra de [From.Capital.GetName] por [From.GetTitledName].;;;;;;;;;x
CHRONICLE_LIEGE_CONVERTED_RELIGION;[Root.GetTitledName] of House [Root.GetOnlyDynastyName], liege of [This.GetTitledFirstNameNoRegnal], converted from [From.Religion.GetName] to [Root.Religion.GetName].;[Root.GetTitledName] de la Maison [Root.GetOnlyDynastyName], suzerain(e) de [This.GetTitledFirstNameNoRegnal], s’est converti(e) de la religion [From.Religion.GetName] à [Root.Religion.GetName].;[Root.GetTitledName] trat vom [From.Religion.GetName] zum [Root.Religion.GetName] über.;;[Root.GetTitledName] de la casa [Root.GetOnlyDynastyName], Señor de [This.GetTitledFirstNameNoRegnal], se convirtió de la fe [From.Religion.GetName] a la fe [Root.Religion.GetName].;;;;;;;;;x
CHRONICLE_MAJOR_VASSAL_CONVERTED_RELIGION;[Root.GetTitledName] of House [Root.GetOnlyDynastyName], a powerful vassal of [Root.Liege.GetTitledName], converted from [From.Religion.GetName] to [Root.Religion.GetName].;[Root.GetTitledName] de la Maison [Root.GetOnlyDynastyName], un puissant vassal de [Root.Liege.GetTitledName], s’est converti(e) de la religion [From.Religion.GetName] à [Root.Religion.GetName].;[Root.GetTitledName], ein mäcthiger Vasall von [Root.Liege.GetTitledName], tat vom [From.Religion.GetName] zum [Root.Religion.GetName] über.;;[Root.GetTitledName] de la casa [Root.GetOnlyDynastyName], un poderoso vasallo de [Root.Liege.GetTitledName], se convirtió de la fe [From.Religion.GetName] a la fe [Root.Religion.GetName].;;;;;;;;;x
CHRONICLE_PLAYER_CONVERTED_CULTURE;[Root.GetTitledFirstNameNoRegnal] adopted new customs to embrace [Root.Culture.GetGroupName] culture, no longer considering [Root.GetHerselfHimself] [From.Culture.GetGroupName].;[Root.GetTitledFirstNameNoRegnal] a adopté les coutumes de la culture [Root.Culture.GetGroupName], tournant ainsi le dos à la culture [From.Culture.GetGroupName].;[Root.GetTitledName] führte neue Bräuche ein, um sich die [Root.Culture.GetName]-Kultur zu eigen zu machen, weil [Root.GetHeShe] die [From.Culture.GetName]-Kultur  nicht mehr als [Root.GetHisHer] betrachtet.;;[Root.GetTitledFirstNameNoRegnal] adoptó las costumbres de la cultura [Root.Culture.GetGroupName], dando la espalda a la cultura [From.Culture.GetGroupName].;;;;;;;;;x
CHRONICLE_WON_BATTLE_FOUGHT;[Root.GetTitledFirstNameNoRegnal] was victorious in the battle of [Root.Location.GetName] against an army of [From.TopLiege.PrimaryTitle.GetName], commanded by [From.GetTitledFirstNameWithDynasty].;[Root.GetTitledFirstNameNoRegnal] a gagné la bataille de [Root.Location.GetName] contre l’armée de [From.TopLiege.PrimaryTitle.GetName], menée by [From.GetTitledFirstNameWithDynasty].;[Root.GetTitledName] siegte in der Schlacht von [Root.Location.GetName] gegen das Heer von [From.TopLiege.PrimaryTitle.GetName] unter dem Befehl von [From.GetTitledName].;;[Root.GetTitledFirstNameNoRegnal] ganó la batalla de [Root.Location.GetName] contra el ejército de [From.TopLiege.PrimaryTitle.GetName], liderado por [From.GetTitledFirstNameWithDynasty].;;;;;;;;;x
CHRONICLE_LOST_BATTLE_FOUGHT;[Root.GetTitledFirstNameNoRegnal] lost the battle of [Root.Location.GetName] against an army of [From.TopLiege.PrimaryTitle.GetName], commanded by [From.GetTitledFirstNameWithDynasty].;[Root.GetTitledFirstNameNoRegnal] a perdu la bataille de [Root.Location.GetName] contre l’armée de [From.TopLiege.PrimaryTitle.GetName], menée by [From.GetTitledFirstNameWithDynasty].;[Root.GetTitledName] unterlag in der Schlacht von [Root.Location.GetName] dem Heer von [From.TopLiege.PrimaryTitle.GetName] unter dem Befehl von [From.GetTitledName].;;[Root.GetTitledFirstNameNoRegnal] perdió la batalla de [Root.Location.GetName] contra el ejército de [From.TopLiege.PrimaryTitle.GetName], liderado por [From.GetTitledFirstNameWithDynasty].;;;;;;;;;x
CHRONICLE_WON_BATTLE_BUT_DIDNT_FIGHT;An army of [Root.TopLiege.GetTitledFirstNameNoRegnal], commanded by [Root.GetTitledFirstNameWithDynastyNoRegnal], was victorious in the battle of [Root.Location.GetName] against the armies of [From.TopLiege.PrimaryTitle.GetName].;Une armée de [Root.TopLiege.GetTitledFirstNameNoRegnal], menée par [Root.GetTitledFirstNameWithDynastyNoRegnal], a gagné la bataille de [Root.Location.GetName] contre les armées de [From.TopLiege.PrimaryTitle.GetName].;Das Heer von [Root.TopLiege.GetTitledName] unter dem Befehl von [Root.GetTitledName] siegte in der Schlacht von [Root.Location.GetName] gegen die Truppen von [From.TopLiege.PrimaryTitle.GetName].;;Un ejército de [Root.TopLiege.GetTitledFirstNameNoRegnal], liderado por [Root.GetTitledFirstNameWithDynastyNoRegnal], ganó la batalla de [Root.Location.GetName] contra  las fuerzas de [From.TopLiege.PrimaryTitle.GetName].;;;;;;;;;x
CHRONICLE_LOST_BATTLE_BUT_DIDNT_FIGHT;An army of [Root.TopLiege.GetTitledFirstNameNoRegnal], commanded by [Root.GetTitledFirstNameWithDynastyNoRegnal], was defeated in the battle of [Root.Location.GetName] against the armies of [From.TopLiege.PrimaryTitle.GetName].;Une armée de [Root.TopLiege.GetTitledFirstNameNoRegnal], menée par [Root.GetTitledFirstNameWithDynastyNoRegnal], a perdu la bataille de [Root.Location.GetName] contre les armées de [From.TopLiege.PrimaryTitle.GetName].;Das Heer von [Root.TopLiege.GetTitledName] unter dem Befehl von [Root.GetTitledName] unterlag in der Schlacht von [Root.Location.GetName] den Truppen von [From.TopLiege.PrimaryTitle.GetName].;;Un ejército de [Root.TopLiege.GetTitledFirstNameNoRegnal], liderado por [Root.GetTitledFirstNameWithDynastyNoRegnal], perdió la batalla de [Root.Location.GetName] contra las fuerzas de [From.TopLiege.PrimaryTitle.GetName].;;;;;;;;;x
CHRONICLE_CAPTURED_MAJOR_SETTLEMENT_MYSELF;[Root.GetTitledFirstNameNoRegnal] successfully led [Root.GetHerHis] armies, taking [From.GetName] from [From.Holder.GetTitledFirstName] [From.Holder.GetOnlyDynastyName] of [From.Holder.PrimaryTitle.GetName].;[Root.GetTitledFirstNameNoRegnal] a mené ses troupes à la victoire avec succès, arrachant [From.GetName] de l’emprise de [From.Holder.GetTitledFirstName] [From.Holder.GetOnlyDynastyName] de [From.Holder.PrimaryTitle.GetName].;[Root.GetTitledName] führte [Root.GetHerHis] Heer erfolgreich und eroberte [From.GetName] vom Feind.;;[Root.GetTitledFirstNameNoRegnal] lideró con éxito a sus tropas, arrebatando [From.GetName] de las garras de [From.Holder.GetTitledFirstName] [From.Holder.GetOnlyDynastyName] de [From.Holder.PrimaryTitle.GetName].;;;;;;;;;x
