#CODE;ENGLISH;FRENCH;GERMAN;;SPANISH;;;;;;;;;x
EVTOPTBold_races.4;This is a rare opportunity indeed, I will take advantage of it.;Il s'agit d'une opportunité très rare, je vais la saisir.;;;Se trata de una oportunidad muy rara, la aprovecharé.;;;;;;;;;x
EVTDESCold_races.5;I am so disappointed, my guardian refused to let the Children of the Forest train in the use of my gifts.;Je suis déçu, mon tuteur a refusé que l'Enfant de la Forêt m'enseigne la manière d'utiliser mon don.;;;Estoy muy decepcionado, mi tutor se ha negado a que los Niños del Bosque me instruyan en el uso de mis dones.;;;;;;;;;x
EVTDESCold_races.6;I am so happy, my guardian has let the Children of the Forest train me in the use of my gifts.;Je suis très heureux(se), mon tuteur a accepté que l'Enfant de la Forêt m'enseigne la manière d'utiliser mon don.;;;Estoy muy feliz, mi tutor va a dejar que los Niños del Bosque me entrenen en el uso de mis dones.;;;;;;;;;x
d_giants;The Giants;Les Géants;;;Los Gigantes;;;;;;;;;x
employ_giants;Try to recruit the Giants to your cause.;Tenter de gagner des Géants à votre cause;;;Tratar de reclutar a los Gigantes para vuestra causa.;;;;;;;;;x
employ_giants_desc;Send your Lawspeaker to seek for the last remaining Giants and try to recruit them. The Giants are known to ride mammoths into battle.;Envoyer votre Diseur de Loi chercher les derniers Géants pour tenter de les recruter. Les Géants sont connus pour chevaucher des mammouths durant les batailles.;;;Envíar a vuestro Hombre de Leyes a buscar a los últimos Gigantes restantes para tratar de reclutarlos. Los Gigantes son conocidos por montar a mamuts en la batalla.;;;;;;;;;x
TOOLTIPold_races.200;[Root.job_chancellor.GetTitledFirstNameWithDynastyAndTitleNoRegnal] will attempt to recruit the Giants to your cause.;[Root.job_chancellor.GetTitledFirstNameWithDynastyAndTitleNoRegnal] va tenter de gagner les Géants à votre cause.;;;[Root.job_chancellor.GetTitledFirstNameWithDynastyAndTitleNoRegnal] intentará reclutar a los Gigantes a vuestra causa.;;;;;;;;;x
EVTDESCold_races.200;[From.GetFirstNameWithDynasty] wishes to recruit the Giants.;[From.GetFirstNameWithDynasty] désire recruter des Géants.;;;[From.GetFirstNameWithDynasty] desea reclutar a los Gigantes.;;;;;;;;;x
EVTOPTAold_races.200;As long as we recieve our share;Tant que nous recevons notre part.;;;Siempre y cuando recibamos nuestra parte;;;;;;;;;x
EVTOPTBold_races.200;Yes;Oui;;;Si.;;;;;;;;;x
EVTOPTCold_races.200;No;Non;;;No.;;;;;;;;;x
EVTDESCold_races.300;[Root.GetTitle] [Root.GetFirstNameWithDynasty], Your offer of alliance seems reasonable. If I were to recieve a suitable tribute I would gladly lead my forces in your fight. \n\n Regards,\n[From.GetFirstNameWithDynasty];[Root.GetTitle] [Root.GetFirstNameWithDynasty], votre offre d'alliance semble raisonnable. Si je venais à recevoir un tribut convenable, c'est avec joie que je mènerai mes forces jusqu'à vous. \n\n Cordialement,\n[From.GetFirstNameWithDynasty];;;[Root.GetTitle] [Root.GetFirstNameWithDynasty], vuestra oferta de alianza parece razonable. Si ricibiese un tributo convincente con mucho gusto dirigiría mis fuerzas a la lucha.\n\n Saludos,\n[From.GetFirstNameWithDynasty];;;;;;;;;x
TOOLTIPGIANTS500;[From.GetFirstNameWithDynasty] will be given §Y50§! gold from your treasury\n;[From.GetFirstNameWithDynasty] va recevoir §Y50§! pièces d'or prélevées sur votre trésor\n;;;[From.GetFirstNameWithDynasty] recibirá §Y50§! piezas de oro\n;;;;;;;;;x
TOOLTIPGIANTS400;[From.GetFirstNameWithDynasty] will be given §Y40§! gold from your treasury\n;[From.GetFirstNameWithDynasty] va recevoir §Y40§! pièces d'or prélevées sur votre trésor\n;;;[From.GetFirstNameWithDynasty] recibirá §Y40§! piezas de oro\n;;;;;;;;;x
TOOLTIPGIANTS300;[From.GetFirstNameWithDynasty] will be given §Y30§! gold from your treasury\n;[From.GetFirstNameWithDynasty] va recevoir §Y30§! pièces d'or prélevées sur votre trésor\n;;;[From.GetFirstNameWithDynasty] recibirá §Y30§! piezas de oro\n;;;;;;;;;x
TOOLTIPGIANTS200;[From.GetFirstNameWithDynasty] will be given §Y20§! gold from your treasury\n;[From.GetFirstNameWithDynasty] va recevoir §Y20§! pièces d'or prélevées sur votre trésor\n;;;[From.GetFirstNameWithDynasty] recibirá §Y20§! piezas de oro\n;;;;;;;;;x
TOOLTIPGIANTS100;[From.GetFirstNameWithDynasty] will be given §Y10§! gold from your treasury\n;[From.GetFirstNameWithDynasty] va recevoir §Y10§! pièces d'or prélevées sur votre trésor\n;;;[From.GetFirstNameWithDynasty] recibirá §Y10§! piezas de oro\n;;;;;;;;;x
TOOLTIPCANHIREGIANTS;You will be able to hire the Giants from the mercenary pool for a fee of 90¤\n;Vous allez pouvoir recruter les Géants dans l'écran des mercenaires pour §Y90§! pièces d'or\n;;;Seréis capaz de contratar a los Gigantes desde la pantalla de mercenarios por un precio de §Y90§! oro\n;;;;;;;;;x
EVTOPTAold_races.300;I will have to pay him;Je vais devoir le payer;;;Tendré que pagarles;;;;;;;;;x
EVTOPTBold_races.300;Greedy Bastard! I refuse;Sale rapace ! Je refuse.;;;¡Codicioso Bastardo! ¡Me niego!;;;;;;;;;x
EVTDESCold_races.400;[Root.GetTitle] [Root.GetFirstNameWithDynasty], Your offer of alliance seems resonable. My forces shall march with yours. \n\n Regards,\n[From.GetFirstNameWithDynasty];[Root.GetTitle] [Root.GetFirstNameWithDynasty], votre offre d'alliance semble raisonnable. Mes forces vont se joindre à vous. \n\n Cordialement,\n[From.GetFirstNameWithDynasty];;;[Root.GetTitle] [Root.GetFirstNameWithDynasty], vuestra oferta de alianza parece razonable. Mis fuerzas marcharán con las vuestras.\n\n Saludos,\n[From.GetFirstNameWithDynasty];;;;;;;;;x
EVTOPTAold_races.400;This should sway the war;Cela va changer la situation;;;Esto debería influir en la guerra;;;;;;;;;x
EVTOPTBold_races.400;Actually I change my mind;Je viens de changer d'avis;;;En realidad cambié de opinión;;;;;;;;;x
EVTDESCold_races.500;[Root.GetTitle] [Root.GetFirstNameWithDynasty], We do not concern ousrselves with the troubles of men. \n\n Regards,\n[From.GetFirstNameWithDynasty];[Root.GetTitle] [Root.GetFirstNameWithDynasty], nous ne nous mêlons pas des histoires des humains. \n\n Cordialement,\n[From.GetFirstNameWithDynasty];;;[Root.GetTitle] [Root.GetFirstNameWithDynasty], no nos metemos en las disputas de los hombres.\n\n Saludos,\n[From.GetFirstNameWithDynasty];;;;;;;;;x
EVTOPTBold_races.500;His loss;Il regrettera;;;Se arrepentirá;;;;;;;;;x
EVTDESCold_races.600;The Giants is no longer in our employ, we will have to treat with them to gain their forces.;Les Géants ne sont plus avec nous, il va falloir traiter avec eux pour qu'ils nous rejoignent. ;;;Los Gigantes ya no están contratados, tendremos que tratar con ellos de nuevo para obtener sus fuerzas.;;;;;;;;;x
EVTDESCold_races.700;[Root.GetTitle] [Root.GetFirstNameWithDynasty], We do not concern ousrselves with the troubles of men.\n\n Regards,\n[From.GetFirstNameWithDynasty];[Root.GetTitle] [Root.GetFirstNameWithDynasty], nous ne nous mêlons pas des histoires des humains.\n\n Cordialement,\n[From.GetFirstNameWithDynasty];;;[Root.GetTitle] [Root.GetFirstNameWithDynasty], no nos metemos en las disputas de los hombres.\n\n Saludos,\n[From.GetFirstNameWithDynasty];;;;;;;;;x
c_giants;The Giants;Les Géants;;;Los Gigantes;;;;;;;;;x
mammoths;Mammoths;Mammouths;;;Mamuts;;;;;;;;;x
job_castellan_giant;Overseer;Surveillant;;;Supervisor;;;;;;;;;x
job_marshal_giant;First Raider;Premier Razzieur;;;Primer Asaltante;;;;;;;;;x
job_chancellor_giant;Lawspeaker;Diseur de Loi;;;Hombre de Leyes;;;;;;;;;x
job_treasurer_giant;First Trader;Premier Négociant;;;Primer Comerciante;;;;;;;;;x
job_spymaster_giant;Spymaster;Maître Espion;;;Maestro de espías;;;;;;;;;x
EVTDESCold_races.9;While riding in the hills your party has found a unicorn. The great shaggy beast is idlely eating grass nearby on a rocky outcopping.  If ever here was a time to capture it, this is it.;Alors que vous chevauchez sur les collines, vos compagnons aperçoivent une licorne. La grande bête hirsute broute paisiblement non loin, sur un piton rocheux. C'est le moment ou jamais de la capturer.;;;Mientras cabalgabais por las colinas, vuestro grupo encontró un unicornio. La gran bestia peluda está comiendo hierba distraidamente en un afloramiento rocoso. Si alguna vez hubo un momento para capturarlo, es este.;;;;;;;;;x
EVTOPTAold_races.9;I will ride this creature.;Je chevaucherai cette créature.;;;Montaré esa criatura.;;;;;;;;;x
EVTOPTBold_races.9;I can't ride that!!!;Je ne peux pas chevaucher ça !!!;;;¡No puedo montar eso!;;;;;;;;;x
EVTDESCold_races.10;After a fierce struggle, you have prevailed and managed to break the unicorn.;Après une lutte féroce, vous avez pris le dessus et réussi à dompter la licorne.;;;Después de una lucha feroz, os habéis impuesto a la bestia y lográis romper la resistencia del unicornio.;;;;;;;;;x
EVTOPTAold_races.10;I am a Unicorn rider.;Je suis un chevaucheur de Licorne.;;;Soy un jinete de Unicornio.;;;;;;;;;x
EVTDESCold_races.11;The struggle was fierce and in the end the unicorn wanted it's freedom more then you wanted to tame it.;La lutte fut féroce, et finalement la licorne a préférer rester libre plutôt que vous ne l'apprivoisiez.;;;La lucha fue feroz y al final el unicornio logró su libertad antes de que lo pudieses domar.;;;;;;;;;x
EVTOPTAold_races.11;I have failed.;J'ai échoué.;;;He fallado.;;;;;;;;;x
EVTDESCold_races.12;After many days of searching, you party has found a unicorn.  However the great shaggy beast is aware of your party and is not pleased.;Après plusieurs jours de recherche, vous et vos compagnons avez trouvé une licorne. Cependant, la grande bête hirsute vous a remarqué et n'apprécie pas votre présence.;;;Tras muchos días de búsqueda, vuestro grupo ha encontrado un unicornio. Sin embargo, la gran bestia peluda es consciente de vuestra presencia y no está contenta.;;;;;;;;;x
EVTOPTAold_races.12;Kill the beast!;Tuez la bête !;;;¡Matad a la bestia!;;;;;;;;;x
EVTOPTBold_races.12;This is dangerous, best to withdraw.;C'est dangereux, il vaut mieux se retirer.;;;Esto es peligroso, es mejor retirarse.;;;;;;;;;x
EVTOPTCold_races.12;Attempt to sooth the creature.;Tenter d'apaiser la créature.;;;Intentar calmar a la criatura.;;;;;;;;;x
TOOLTIPold_races.10;You manage to tame the unicorn.;Vous réussissez à apprivoiser la licorne.;;;Conseguís domar al unicornio.;;;;;;;;;x
TOOLTIPold_races.11;You fail to tame the unicorn with a chance of being injured in the proccess.;Vous échouez à apprivoiser la licorne, et risquez d'être blessé.;;;No conseguís domar al unicornio y es probable que hayáis resultado herido en el proceso.;;;;;;;;;x
unicorn_rider;Unicorn Rider;Chevaucheur de Licorne;;;Jinete de Unicornio;;;;;;;;;x
unicorn_rider_desc;This character rides a unicorn into battle.;Ce personnage chevauche une licorne au combat.;;;Este personaje monta un unicornio en la batalla.;;;;;;;;;x
