#CODE;ENGLISH;FRENCH;GERMAN;;SPANISH;;;;;;;;;x
NW_government;Night's Watch;Garde de Nuit;;;Guardia de la Noche;;;;;;;;;x
triarch_merchant_republic_government_desc;A Triarchy of the Volantene style is ruled over by three triarchs, each of whom rules for a year. Each year the freeborn landholders of the city can elect a new triarch or reelect a current one, these elections are ten days of madness, with much campaigning and bribery. However only those of Old Blood who can trace their ancestry back to Valyria can be a triarch and the triarchs belong to either the elephant or tiger political parties. The elephants are the party of the merchants and moneylenders, while the tigers are old aristocracy and warriors. The elephants advocate trade and the tigers advocate conquest.;Une Triarchie de type volantain est gouvernée par trois triarques qui gouvernent chacun pour un an. Chaque année, les propriétaires libres de la cité élisent un nouveau triarque ou réélisent un triarque déjà en fonction. Ces élections durent dix jours durant lesquels les candidats rivalisent en largesses pour obtenir des votes. Cependant, seuls ceux de l'Ancien Sang qui peuvent remonter leur ascendance jusqu'à Valyria peuvent être élus triarque et ces derniers appartiennent toujours à l'un des deux partis: les éléphants ou les tigres. Les éléphants représentent le parti des commerçants et marchands opulents, tandis que les tigres est plutôt la faction de la vieille aristocratie et des guerriers. Les éléphants privilégient la paix et le commerce tandis que les tigres préfèrent les conquêtes militaires.;;;La Triarquía volantina está compuesta por tres Triarcas, y cada uno gobierna por un año. Cada año los hacendados libres de Volantis eligen un nuevo Triarca o reeligen uno en el cargo. Las elecciones son diez días de locura, durante los cuales los candidatos tratan de ganarse el favor de los votantes mediante el soborno y los espectáculos públicos. Sin embargo, sólo aquellos con la sangre de la vieja Valyria pueden ser Triarcas. Éstos se agrupan en dos partidos políticos: los Elefantes y los Tigres. Los Elefantes son comerciantes y banqueros y abogan por el comercio como forma de expansión, mientras que los Tigres son guerreros y aristócratas y prefieren las guerras y las conquistas.;;;;;;;;;x
alliance_empire;Alliance;Alliance;;;Alianza;;;;;;;;;x
alliance_empire_of;Alliance of;Alliance de;;;Alianza de;;;;;;;;;x
alliance_emperor;High Magister;Grand Magistrat;;;Gran Magíster;;;;;;;;;x
alliance_emperor_valyrian;Archon;Archonte;;;Arconte;;;;;;;;;x
alliance_emperor_ghiscari_group;High Master;Grand Maître;;;Gran Amo;;;;;;;;;x
alliance_emperor_qartheen;High Prince;Grand Prince;;;Gran Príncipe;;;;;;;;;x
alliance_emperor_female;Lady;Lady;;;Señora;;;;;;;;;x
alliance_emperor_foa;Your Excellency;Votre Excellence;;;Su Excelencia;;;;;;;;;x
alliance_kingdom;Kingdom;Royaume;;;Reino;;;;;;;;;x
alliance_kingdom_of;Kingdom of;Royaume de;;;Reino de;;;;;;;;;x
alliance_king;High Magister;Grand Magistrat;;;Gran Magíster;;;;;;;;;x
alliance_king_female;Lady;Lady;;;Señora;;;;;;;;;x
alliance_king_foa;Your Excellency;Votre Excellence;;;Su Excelencia;;;;;;;;;x
KG_government_FEATURES;§Y*§! Upon the death of the Lord Commander the King or Queen of the Iron Throne appoints the next one\n§Y*§! This government counts as §Yfeudal§! for taxation and other purposes;§Y*§! A la mort du Lord Commandant, le roi ou la reine nomme le successeur;;;§Y*§! Tras la muerte del Lord Comandante, el Rey del Trono de Hierro elegirá un nuevo Lord Comandante.;;;;;;;;;x
NW_government_FEATURES;§Y*§! Upon the death of the Lord Commander a Black Brother will temprarily control the Night's Watch until the next Lord Commander is elected\n§Y*§! If the Wall falls the Night's Watch will be sent into hiding until their former lands are restored to them by another ruler\n§Y*§! This government counts as §Yfeudal§! for taxation and other purposes;§Y*§! A la mort du Lord Commandant, un frère noir dirigera temporairement la Garde de Nuit jusqu'à ce que le prochain Lord Commandant soit élu\n§Y*§! Si le Mur tombe, la Garde Nuit sera cachée jusqu'à ce que leurs anciennes terres leur soient rendues par un autre souverain;;;§Y*§! Tras la muerte del Lord Comandante, un Hermano Negro se pondrá temporalmente al mando de la Guardia de la Noche hasta que un nuevo Lord Comandante sea elegido por votación.\n§Y*§!Si el Muro es conquistado por un enemigo, la Guardia de la Noche permanecerá en el exilio hasta que otro gobernante restaure sus tierras.;;;;;;;;;x
alliance_government_FEATURES;§Y*§! Upon the death of the ruler of the Alliance a new leader is chosen from amongst the families of its primary members\n§Y*§! This government counts as §Yfeudal§! for taxation and other purposes;§Y*§! A la mort du dirigeant de l'Alliance, un successeur est choisit parmi les familles des membres de cette alliance;;;§Y*§! Tras la muerte del gobernante de la Alianza, un nuevo gobernante es elegido de entre los miembros de las grandes familias.;;;;;;;;;x
triarch_merchant_republic_government_FEATURES;§Y*§! The Triarchy government has one senior ruler, or Triarch, and two junior co-rulers also called Triarchs.\n§Y*§! The Triarchs are elected in yearly elections for one year terms, except when the city is under attack when elections are suspended.\n§Y*§! If re-elected, the senior Triarch remains senior regardless of how many votes they collected.\n§Y*§! If they are not re-elected the head of one of the 5 leading Freeholder (patrician) families that gained the most votes becomes senior Triarch. If no Freeholder head wins, the incumbent senior Triarch remians in power.\n§Y*§! Any freeborn landholder may join either the Elephant or Tiger parties and thus become eligible to vote in these elections.\n§Y*§! Only Freeholders who can trace their blood to Old Valyria may stand for election.\n§Y*§! The junior Triarchs have the following collective powers:\n  -Veto of wars of aggression (excluding wars to reclaim legal territory of the city)\n  -Release of prisoners of the city\n  -Issuing warrants of arrest for citizens of the city\n  -Appointments to the council of the city\n  -Ajudication of trials\n§Y*§! Junior Triarchs are also entitled to a portion of the city's yearly budget to spend as they see fit. This budget is granted upon a Triarch's election. They also enjoy diplomatic immunity from the senior Triarch. The senior Triarch oversees any trials held by a junior Triarch.\n §Y*§!Upon a junior Triarch's death a senior councillor serves as interim Triarch until the next election\n§Y*§! Upon the senior Triarch's death one of the junior triarchs assumes power. If this is not possible an immediate election is held\n§Y*§! If the senior Triarch is need of a regent, a junior Triarch must always be that regent if possible\n§Y*§! This government counts as a §Yrepublic§! for taxation and other purposes;§Y*§! La Triarchie a un dirigeant principal, ou triarque, et deux co-dirigeants secondaires, également appelés triarques.\n§Y*§! Les triarques sont élus chaque année pour un mandat de un an, sauf lorsque la cité est en guerre, période durant laquelle les élections sont suspendues.\n§Y*§! Si il est réélu, le triarque principal reste le dirigeant principal quelque soit le nombre de vote qu'il a récolté.\n§Y*§! Si il n'est pas réélu, l'un des 5 dirigeants des familles de Possédants qui a reçu le plus de votes devient le nouveau triarque principal. Si aucun Possédants ne remporte la victoire, le triarque principal sortant reste en place.\n§Y*§! N'importe quel possédants né libre peut rejoindre le parti des éléphants ou le parti des tigres et sera donc éligible aux élections.\n§Y*§! Les triarques mineurs ont les pouvoirs collectifs suivants:\n  -Veto les guerres d’agression (sauf celles pour reprendre des terres qui appartiennent légalement à la cité)\n  -Relâcher les prisonniers de la cité\n  -Envoyer des mandats d'arrêt contre des citoyens de la cité\n  -Nommer des personnes au conseil de la cité\n  -Organiser des procès\n§Y*§! Les triarques mineurs reçoivent également une partie du budget annuel de la cité qu'ils peuvent dépenser comme ils le souhaitent. Ce budget est alloué après les élections. Ils ont également une immunité diplomatique vis à vis du triarque principal. Le triarque principal préside tous les procès organisés par les triarques mineurs.\n §Y*§! A la mort d'un triarque mineur le plus âgé des conseillers sert comme triarque temporaire jusqu'aux prochaines élections\n§Y*§! A la mort du triarque principal, l'un des deux triarques mineurs prend le pouvoir. Si cela n'est pas possible, des élections ont immédiatement lieu.;;;§Y*§! La ciudad funciona bajo un sistema de Triarcado donde el gobernante principal de la ciudad, llamado Triarca, tiene el apoyo de otros dos gobernantes subalternos también llamados Triarcas.\n§Y*§! Los Triarcas son elegidos para un año excepto cuando la ciudad está siendo atacada que se aplazan las elecciones.\n§Y*§! Si es reelegido, el Triarca sigue siendo el máximo dirigente independientemente del número de votos que obtenga.\n§Y*§! Si no es reelegido, el jefe de la familia de uno de los 5 líderes hacendados que ganaron más votos se convierte en Triarca principal. Si no hay líder hacendado, el Triarca se mantiene en el poder.\n§Y*§! Cualquier hacendado nacido libre puede unirse a cualquiera de los partidos de los Elefantes o los Tigres y votar en las elecciones.\n§Y*§! Sólo los hacendados que puedan trazar su descendencia de la antigua Valyria pueden presentarse a las elecciones.\n§Y*§! Los Triarcas menores tienen las siguientes atribuciones:\n-Veto a las guerras de agresión (con exclusión de las guerras para reclamar tierras que pertenecen por derecho a la ciudad)\n-Liberación de los presos de la ciudad\n-Nombramientos en el consejo de la ciudad\n-Presidir juicios\n§Y*§! Los Triarcas menores también tienen derecho a una parte del presupuesto anual de la ciudad, para gastar como mejor les parezca. Otorgado tras las elecciones. También gozan de inmunidad diplomática frente al Alto Triarca.\n§Y*§! A la muerte de un triarca menor el consejero de más edad sirve como Triarca interino hasta las próximas elecciones.\n§Y*§! A la muerte del Triarca principal, uno de los Triarcas menores asume el poder. Si esto no es posible, se convocarán elecciones.;;;;;;;;;x
ruin_government_FEATURES;§Y*§! Ruins can be colonised by rulers with the time and money;§Y*§! Les ruines peuvent être colonisées par un dirigeant si il y investit du temps et de l'argent;;;§Y*§! Las Ruinas pueden ser colonizadas por cualquier gobernante con tiempo y dinero.;;;;;;;;;x
winter_government_FEATURES;§Y*§! Territory taken by the White Walkers are turned into Winter Wastelands whilst under their control;§Y*§! Les territoires conquis par les Marcheurs Blancs deviennent des déserts glacés tant qu'ils les conservent;;;§Y*§! El territorio tomado por los Caminantes Blancos se convierte en un páramo del Invierno, y así permanecerá mientras esté bajo su dominio.;;;;;;;;;x
pirate_government_FEATURES;§Y*§! Once their realm is large enough, Pirates can abadon their ways of plunder and choose to follow a formal religion\n§Y*§! Can take captives as concubines\n§Y*§! May freely invade neighbours if independent\n§Y*§! May be subject to anti-piracy wars\n§Y*§! This government counts as §Yfeudal§! for taxation and other purposes\n-§YWARNING:§! For a pirate's heir to retain any High Lordships or higher they must be a §Ycapable adult pirate§! and have one of the following: 10 martial, 10 diplomacy, 500 prestige or Formidable Warrior. §YFemale§! heirs are only allowed if the pirate is of a traditional §Ytrue cognatic§! culture AND their §Ycapital§! is of the same culture group.;§Y*§! Lorsque leur royaume est assez grand, les pirates peuvent abandonner leur mode de vie et choisir une religion\n§Y*§! Peut faire d'une prisonnière sa concubine\n§Y*§! Peut librement envahir ses voisins si indépendant\n§Y*§! Peut être la cible d'une guerre anti-piraterie;;;§Y*§! Una vez que su reino se haya expandido lo suficiente, los Piratas pueden abandonar su modo de vida y adoptar una religión formal\n§Y*§! Pueden tomar prisioneras como concubinas\n§Y*§! Los reyes independientes pueden invadir a los vecinos libremente\n§Y*§! Pueden ser objetivo de guerras antipiratería;;;;;;;;;x
military_command_government;Military Command;Commanderie militaire;;;Gobierno Militar;;;;;;;;;x
military_command_government_desc;This territory is ruled by an appointed military commander, chosen by the overlord of the territory. Upon the death of the commander the territory reverts to overlord, who can then appoint a new commander. The incumbent commander can also try to get their relatives nominated as their successor to ensure their family holds on to the command.\n§Y*§! This military command counts as §Yfeudal§! for taxation and other purposes;Ce territoire est dirigé par un commandant militaire choisit par le seigneur de ce territoire. A la mort du commandant, le territoire revient au seigneur qui peut nommer un nouveau commandant. Un commandant en exercice peut également tenter de faire nommer l'un de ses parents comme successeur pour s'assurer que sa famille conserve ce commandement.;;;Este territorio es gobernado por un jefe militar nombrado por el señor feudal de la región. A la muerte del Comandante las tierras volverán a pasar a manos del señor feudal, que si lo desea podrá nombrar un nuevo Comandante. El Comandate titular puede tratar de conseguir que se nombre a sus familiares como sucesores para que su familia siga al mando.;;;;;;;;;x
military_command_government_FEATURES;§Y*§! Commanders may petition their liege to nominate one of their own relatives as successor to the command;§Y*§! Les commandants peuvent demander à leur seigneur de nommer l'un de leurs parents en tant que successeur;;;§Y*§! Los comandantes pueden pedir a su señor nombrar un pariente como sucesor;;;;;;;;;x
military_command_government_city;Military Command;Commanderie militaire;;;Gobierno Militar;;;;;;;;;x
military_command_government_city_desc;This territory is ruled by an appointed military commander, chosen by the overlord of the territory. Upon the death of the commander the territory reverts to overlord, who can then appoint a new commander. The incumbent commander can also try to get their relatives nominated as their successor to ensure their family holds on to the command.\n§Y*§! This military command counts as a §Yrepublic§! for taxation and other purposes;Ce territoire est dirigé par un commandant militaire choisit par le seigneur de ce territoire. A la mort du commandant, le territoire revient au seigneur qui peut nommer un nouveau commandant. Un commandant en exercice peut également tenter de faire nommer l'un de ses parents comme successeur pour s'assurer que sa famille conserve ce commandement.;;;Este territorio es gobernado por un jefe militar nombrado por el señor feudal de la región. A la muerte del Comandante las tierras volverán a pasar a manos del señor feudal, que si lo desea podrá nombrar un nuevo Comandante. El Comandate titular puede tratar de conseguir que se nombre a sus familiares como sucesores para que su familia siga al mando.;;;;;;;;;x
military_command_government_city_FEATURES;§Y*§! Commanders may petition their liege to nominate one of their own relatives as successor to the command;§Y*§! Les commandants peuvent demander à leur seigneur de nommer l'un de leurs parents en tant que successeur;;;§Y*§! Los comandantes pueden pedir a su señor nombrar un pariente como sucesor;;;;;;;;;x
command_barony;Command;Commanderie;;;Mandato;;;;;;;;;x
command_barony_of;Command of;Commanderie de;;;Mandato de;;;;;;;;;x
command_baron;Commander;Commandant;;;Comandante;;;;;;;;;x
command_baron_female;Lady;Lady;;;Señora;;;;;;;;;x
command_baron_foa;My Lord;Messire;;;Mi Señor;;;;;;;;;x
command_county;Command;Commanderie;;;Mandato;;;;;;;;;x
command_county_of;Command of;Commanderie de;;;Mandato de;;;;;;;;;x
command_count;Commander;Commandant;;;Comandante;;;;;;;;;x
command_count_female;Lady;Lady;;;Señora;;;;;;;;;x
command_count_foa;My Lord;Messire;;;Mi Señor;;;;;;;;;x
command_count_first_men;Master;Maître;;;Amo;;;;;;;;;x
command_count_foa_first_men;My Lord;Messire;;;Mi Señor;;;;;;;;;x
command_count_the_seven;Ser;Ser;;;Don;;;;;;;;;x
command_count_foa_the_seven;Ser;Ser;;;Don;;;;;;;;;x
command_duke_yi_ti;Prefect;Préfet;;;Prefecto;;;;;;;;;x
command_duke_female_yi_ti;Prefect;Préfet;;;Prefecta;;;;;;;;;x
feudal_government_LP;Feudal (LP);Féodal;;;Feudal;;;;;;;;;x
feudal_government_LP_desc;Feudal government revolves around the oath between liege and vassal, and Feudal lords can only directly own so many Holdings before they must start to rely on vassals - whose loyalty may vary... There are several Succession Laws to pick between - each with its own merits. The Realm Authority Law controls the minimum levy your vassals must provide and the number of direct vassals you can have. If you should become a vassal to the Iron Throne you will have a choice of retaining your current title style or to adopt the title of Lord Paramount.;Un gouvernement féodal repose sur un serment entre un suzerain et un vassal. Un seigneur féodal ne peut pas posséder une infinité de terres et doit se reposer sur ses vassaux, dont la loyauté peut varier... Il existe différentes lois de succession, chacunes ayant ses avantages et ses faiblesses. La loi sur l'autorité du royaume a un impact sur les levées minimum de vos vassaux et sur le nombre de seigneurs dont vous pouvez être le suzerain direct. Si vous devenez un vassal du Trône de Fer, vous aurez le choix entre conserver votre titre actuel ou adopter le titre de seigneur suzerain.;;;El gobierno feudal se sustenta en torno al juramento de vasallaje entre el señor y su vasallo, debido a que los señores feudales sólo pueden mantener una determinada cantidad de tierras, teniendo que confiar el resto a sus vasallos, cuya lealtad puede variar... Hay varios tipos de leyes de sucesión, cada una con sus pros y sus contras. La Autoridad de la Corona regula la cantidad mínima de levas que los vasallos han de aportarte para la guerra y el número de vasallos que puedes tener. Si eres vasallo del Trono de Hierro, podrás mantener el título tradicional o adoptar el de Señor Supremo.;;;;;;;;;x
LP_empire;Empire;Empire;;;Imperio;;;;;;;;;x
LP_empire_of;Empire of;Empire de;;;Imperio de;;;;;;;;;x
LP_empire_andal;Kingdom;Royaume;;;Reino;;;;;;;;;x
LP_empire_of_andal;Kingdom of;Royaume de;;;Reino de;;;;;;;;;x
LP_empire_dornish;Kingdom;Royaume;;;Reino;;;;;;;;;x
LP_empire_of_dornish;Kingdom of;Royaume de;;;Reino de;;;;;;;;;x
LP_empire_first_men;Kingdom;Royaume;;;Reino;;;;;;;;;x
LP_empire_of_first_men;Kingdom of;Royaume de;;;Reino de;;;;;;;;;x
LP_empire_iron_isles_culture;Kingdom;Royaume;;;Reino;;;;;;;;;x
LP_empire_of_iron_isles_culture;Kingdom of;Royaume de;;;Reino de;;;;;;;;;x
LP_empire_free_folk;Kingdom;Royaume;;;Reino;;;;;;;;;x
LP_empire_of_free_folk;Kingdom of;Royaume de;;;Reino de;;;;;;;;;x
LP_empire_summer_islander;Kingdom;Royaume;;;Reino;;;;;;;;;x
LP_empire_of_summer_islander;Kingdom of;Royaume de;;;Reino de;;;;;;;;;x
LP_emperor;Lord Protector;Lord Suzerain;Lord Paramount;Lord Paramount;Señor Supremo;;;;;;;;;x
LP_emperor_female;Lady Protector;Lady Suzeraine;Lady Paramount;Lady Paramount;Señora Suprema;;;;;;;;;x
LP_emperor_foa;My Lord;Messire;My Lord;My Lord;Mi Señor;;;;;;;;;x
LP_emperor_foa_female;My Lady;Ma Dame;My Lady;My Lady;Mi Señora;;;;;;;;;x
LP_emperor_title_prince;Lord;Lord;Lord;Lord;Señor;;;;;;;;;x
LP_emperor_title_prince_female;Lady;Lady;Lady;Lady;Señora;;;;;;;;;x
LP_emperor_title_queen_mother_female;Lady;Lady;Lady;Lady;Señora;;;;;;;;;x
LP_kingdom;Kingdom;Royaume;;;Reino;;;;;;;;;x
LP_kingdom_of;Kingdom of;Royaume de;;;Reino de;;;;;;;;;x
LP_king;Lord Paramount;Lord Suzerain;Lord Paramount;Lord Paramount;Señor Supremo;;;;;;;;;x
LP_king_female;Lady Paramount;Lady Suzeraine;Lady Paramount;Lady Paramount;Señora Suprema;;;;;;;;;x
LP_king_foa;My Lord;Messire;My Lord;My Lord;Mi Señor;;;;;;;;;x
LP_king_foa_female;My Lady;Ma Dame;My Lady;My Lady;Mi Señora;;;;;;;;;x
LP_king_title_prince;Lord;Lord;Lord;Lord;Señor;;;;;;;;;x
LP_king_title_prince_female;Lady;Lady;Lady;Lady;Señora;;;;;;;;;x
LP_king_title_queen_mother_female;Lady;Lady;Lady;Lady;Señora;;;;;;;;;x
LP_king_free_cities;Archon;Archonte;;;Arconte;;;;;;;;;x
LP_king_female_free_cities;Lady;Lady;Lady;Lady;Señora;;;;;;;;;x
LP_king_ghiscari_group;Great Master;Grand Maître;;;Gran Amo;;;;;;;;;x
LP_king_astapori;Good Master;Sa Bonté;;;Bondadoso Amo;;;;;;;;;x
LP_king_yunkaii;Wise Master;Judicieux;;;Sabio Amo;;;;;;;;;x
LP_king_female_ghiscari_group;Lady;Lady;Lady;Lady;Señora;;;;;;;;;x
LP_king_female_astapori;Lady;Lady;Lady;Lady;Señora;;;;;;;;;x
LP_king_female_yunkaii;Lady;Lady;Lady;Lady;Señora;;;;;;;;;x
LP_king_foa_ghiscari_group;Your Excellency;Votre Excellence;;;Su Excelencia;;;;;;;;;x
LP_job_marshal_andal;Master-at-Arms;Maître d'Armes;Master-at-Arms;;Maestro de armas;;;;;;;;;x
LP_job_marshal_dornish;Master-at-Arms;Maître d'Armes;Master-at-Arms;;Maestro de armas;;;;;;;;;x
LP_job_marshal_first_men;Master-at-Arms;Maître d'Armes;Master-at-Arms;;Maestro de armas;;;;;;;;;x
LP_job_marshal_iron_isles_culture;Captain of the Fleet;Maître d'Armes;Master-at-Arms;;Capitán de la flota;;;;;;;;;x
LP_job_castellan_andal;Castellan;Châtelain;Castellan;Castellan;Castellano;;;;;;;;;x
LP_job_castellan_dornish;Castellan;Châtelain;Castellan;Castellan;Castellano;;;;;;;;;x
LP_job_castellan_first_men;Castellan;Châtelain;Castellan;Castellan;Castellano;;;;;;;;;x
LP_job_castellan_iron_isles_culture;Lord Steward;Lord Intendant;Castellan;Castellan;Primer Mayordomo;;;;;;;;;x
LP_king_job_castellan;Seneschal;Sénéchal;;;Senescal ;;;;;;;;;x
LP_king_job_chancellor;Justiciar;Justicier;;;Justicia Mayor;;;;;;;;;x
LP_king_job_treasurer;Lord Treasurer;Lord Trésorier;;;Tesorero Mayor;;;;;;;;;x
LP_king_job_marshal;Chief General;Général en chef;;;Comandante en Jefe;;;;;;;;;x
LP_king_job_spymaster;Spymaster;Maître Espion;;;Maestro de espías;;;;;;;;;x
LP_king_job_marshal_andal;Master-at-Arms;Maître d'Armes;Master-at-Arms;;Maestro de armas;;;;;;;;;x
LP_king_job_marshal_dornish;Master-at-Arms;Maître d'Armes;Master-at-Arms;;Maestro de armas;;;;;;;;;x
LP_king_job_marshal_first_men;Master-at-Arms;Maître d'Armes;Master-at-Arms;;Maestro de armas;;;;;;;;;x
LP_king_job_marshal_iron_isles_culture;Captain of the Fleet;Maître d'Armes;Master-at-Arms;;Capitán de la Flota;;;;;;;;;x
LP_king_job_castellan_andal;Castellan;Châtelain;Castellan;Castellan;Castellano;;;;;;;;;x
LP_king_job_castellan_dornish;Castellan;Châtelain;Castellan;Castellan;Castellano;;;;;;;;;x
LP_king_job_castellan_first_men;Castellan;Châtelain;Castellan;Castellan;Castellano;;;;;;;;;x
LP_king_job_castellan_iron_isles_culture;Lord Steward;Lord Intendant;Castellan;Castellan;Primer Mayordomo;;;;;;;;;x
LP_job_marshal_andal_female;Master-at-Arms;Maître d'Armes;Master-at-Arms;;Maestro de armas;;;;;;;;;x
LP_job_marshal_dornish_female;Master-at-Arms;Maître d'Armes;Master-at-Arms;;Maestro de armas;;;;;;;;;x
LP_job_marshal_first_men_female;Master-at-Arms;Maître d'Armes;Master-at-Arms;;Maestro de armas;;;;;;;;;x
LP_job_marshal_iron_isles_culture_female;Captain of the Fleet;Maître d'Armes;Master-at-Arms;;Capitán de la Flota;;;;;;;;;x
