#CODE;ENGLISH;FRENCH;GERMAN;;SPANISH;;;;;;;;;x
crannogman_bl_desc;House [This.GetOnlyDynastyName] is one of the most respected bloodlines in The Neck;;;;La Casa [This.GetOnlyDynastyName] es uno de los más respetados Linajes en El Cuello;;;;;;;;;x
crackclawmen_bl;[Root.GetBloodlineName];;;;[Root.GetLinajeName];;;;;;;;;x
crackclawmen_bl_desc;House [This.GetOnlyDynastyName] is one of the most respected bloodlines in The Claw;;;;La Casa [This.GetOnlyDynastyName] es uno de los más respetados Linajes en Punta Zarpa Rota;;;;;;;;;x
valyrian_bl ;[Root.GetBloodlineName];;;;[Root.GetLinajeName];;;;;;;;;x
valyrian_bl _desc;House [This.GetOnlyDynastyName] is one of the most respected bloodlines in Valyria;;;;La Casa [This.GetOnlyDynastyName] es uno de los más respetados Linajes en Valyria;;;;;;;;;x
pentosi_bl;[Root.GetBloodlineName];;;;[Root.GetLinajeName];;;;;;;;;x
pentosi_bl_desc;House [This.GetOnlyDynastyName] is one of the most respected bloodlines in Pentos;;;;La Casa [This.GetOnlyDynastyName] es uno de los más respetados Linajes en Pentos;;;;;;;;;x
braavosi_bl;[Root.GetBloodlineName];;;;[Root.GetLinajeName];;;;;;;;;x
braavosi_bl_desc;House [This.GetOnlyDynastyName] is one of the most respected bloodlines in Braavos;;;;La Casa [This.GetOnlyDynastyName] es uno de los más respetados Linajes en Braavos;;;;;;;;;x
lysene_bl;[Root.GetBloodlineName];;;;[Root.GetLinajeName];;;;;;;;;x
lysene_bl_desc;House [This.GetOnlyDynastyName] is one of the most respected bloodlines in Lys;;;;La Casa [This.GetOnlyDynastyName] es uno de los más respetados Linajes en Lys;;;;;;;;;x
qohorik_bl;[Root.GetBloodlineName];;;;[Root.GetLinajeName];;;;;;;;;x
qohorik_bl_desc;House [This.GetOnlyDynastyName] is one of the most respected bloodlines in Qohor;;;;La Casa [This.GetOnlyDynastyName] es uno de los más respetados Linajes en Qohor;;;;;;;;;x
norvosi_bl;[Root.GetBloodlineName];;;;[Root.GetLinajeName];;;;;;;;;x
norvosi_bl_desc;House [This.GetOnlyDynastyName] is one of the most respected bloodlines in Norvos;;;;La Casa [This.GetOnlyDynastyName] es uno de los más respetados Linajes en Norvos;;;;;;;;;x
myrman_bl;[Root.GetBloodlineName];;;;[Root.GetLinajeName];;;;;;;;;x
myrman_bl_desc;House [This.GetOnlyDynastyName] is one of the most respected bloodlines in Myr;;;;La Casa [This.GetOnlyDynastyName] es uno de los más respetados Linajes en Myr;;;;;;;;;x
tyroshi_bl;[Root.GetBloodlineName];;;;[Root.GetLinajeName];;;;;;;;;x
tyroshi_bl_desc;House [This.GetOnlyDynastyName] is one of the most respected bloodlines in Tyrosh;;;;La Casa [This.GetOnlyDynastyName] es uno de los más respetados Linajes en Tyrosh;;;;;;;;;x
volantene_bl;[Root.GetBloodlineName];;;;[Root.GetLinajeName];;;;;;;;;x
volantene_bl_desc;House [This.GetOnlyDynastyName] is one of the most respected bloodlines in Volantis;;;;La Casa [This.GetOnlyDynastyName] es uno de los más respetados Linajes en Volantis;;;;;;;;;x
lorathi_bl;[Root.GetBloodlineName];;;;[Root.GetLinajeName];;;;;;;;;x
lorathi_bl_desc;House [This.GetOnlyDynastyName] is one of the most respected bloodlines in Lorath;;;;La Casa [This.GetOnlyDynastyName] es uno de los más respetados Linajes en Lorath;;;;;;;;;x
gogossosi_bl;[Root.GetBloodlineName];;;;[Root.GetLinajeName];;;;;;;;;x
gogossosi_bl_desc;House [This.GetOnlyDynastyName] is one of the most respected bloodlines in Gogossos;;;;La Casa [This.GetOnlyDynastyName] es uno de los más respetados Linajes en Gogossos;;;;;;;;;x
yunkaii_bl;[Root.GetBloodlineName];;;;[Root.GetLinajeName];;;;;;;;;x
yunkaii_bl_desc;House [This.GetOnlyDynastyName] is one of the most respected bloodlines in Yunkai;;;;La Casa [This.GetOnlyDynastyName] es uno de los más respetados Linajes en Yunkai;;;;;;;;;x
meereenese_bl;[Root.GetBloodlineName];;;;[Root.GetLinajeName];;;;;;;;;x
meereenese_bl_desc;House [This.GetOnlyDynastyName] is one of the most respected bloodlines in Meereen;;;;La Casa [This.GetOnlyDynastyName] es uno de los más respetados Linajes en Meereen;;;;;;;;;x
lhazareen_bl;[Root.GetBloodlineName];;;;[Root.GetLinajeName];;;;;;;;;x
lhazareen_bl_desc;House [This.GetOnlyDynastyName] is one of the most respected bloodlines in Lhazar;;;;La Casa [This.GetOnlyDynastyName] es uno de los más respetados Linajes en Lhazar;;;;;;;;;x
ghiscari_bl;[Root.GetBloodlineName];;;;[Root.GetLinajeName];;;;;;;;;x
ghiscari_bl_desc;House [This.GetOnlyDynastyName] is one of the most respected bloodlines in Ghiscar;;;;La Casa [This.GetOnlyDynastyName] es uno de los más respetados Linajes en Ghiscar;;;;;;;;;x
hyrkoon_group_bl;[Root.GetBloodlineName];;;;[Root.GetLinajeName];;;;;;;;;x
hyrkoon_group_bl_desc;House [This.GetOnlyDynastyName] is one of the most respected bloodlines in Hyrkoon;;;;La Casa [This.GetOnlyDynastyName] es uno de los más respetados Linajes en Hyrkoon;;;;;;;;;x
moraqi_group_bl;[Root.GetBloodlineName];;;;[Root.GetLinajeName];;;;;;;;;x
moraqi_group_bl_desc;House [This.GetOnlyDynastyName] is one of the most respected bloodlines in Moraq;;;;La Casa [This.GetOnlyDynastyName] es uno de los más respetados Linajes en Moraq;;;;;;;;;x
asabhadi_bl;[Root.GetBloodlineName];;;;[Root.GetLinajeName];;;;;;;;;x
asabhadi_bl_desc;House [This.GetOnlyDynastyName] is one of the most respected bloodlines in Asabhad;;;;La Casa [This.GetOnlyDynastyName] es uno de los más respetados Linajes en Asabhad;;;;;;;;;x
lengi_bl;[Root.GetBloodlineName];;;;[Root.GetLinajeName];;;;;;;;;x
lengi_bl_desc;House [This.GetOnlyDynastyName] is one of the most respected bloodlines in Leng;;;;La Casa [This.GetOnlyDynastyName] es uno de los más respetados Linajes en Leng;;;;;;;;;x
yi_ti_bl;[Root.GetBloodlineName];;;;[Root.GetLinajeName];;;;;;;;;x
yi_ti_bl_desc;House [This.GetOnlyDynastyName] is one of the most respected bloodlines in Yi Ti;;;;La Casa [This.GetOnlyDynastyName] es uno de los más respetados Linajes en Yi Ti;;;;;;;;;x
shadowlander_bl;[Root.GetBloodlineName];;;;[Root.GetLinajeName];;;;;;;;;x
shadowlander_bl_desc;House [This.GetOnlyDynastyName] is one of the most respected bloodlines in The Shadowlands;;;;La Casa [This.GetOnlyDynastyName] es uno de los más respetados Linajes en Las Tierras Sombrías;;;;;;;;;x
asshai_bl;[Root.GetBloodlineName];;;;[Root.GetLinajeName];;;;;;;;;x
asshai_bl_desc;House [This.GetOnlyDynastyName] is one of the most respected bloodlines in Asshai;;;;La Casa [This.GetOnlyDynastyName] es uno de los más respetados Linajes en Asshai;;;;;;;;;x
qartheen_bl;[Root.GetBloodlineName];;;;[Root.GetLinajeName];;;;;;;;;x
qartheen_bl_desc;House [This.GetOnlyDynastyName] is one of the most respected bloodlines in Qarth;;;;La Casa [This.GetOnlyDynastyName] es uno de los más respetados Linajes en Qarth;;;;;;;;;x
ibbenese_bl;[Root.GetBloodlineName];;;;[Root.GetLinajeName];;;;;;;;;x
ibbenese_bl_desc;House [This.GetOnlyDynastyName] is one of the most respected bloodlines in Ibben;;;;La Casa [This.GetOnlyDynastyName] es uno de los más respetados Linajes en Ibben;;;;;;;;;x
nghai_bl;[Root.GetBloodlineName];;;;[Root.GetLinajeName];;;;;;;;;x
nghai_bl_desc;House [This.GetOnlyDynastyName] is one of the most respected bloodlines in N'Ghai;;;;La Casa [This.GetOnlyDynastyName] es uno de los más respetados Linajes en N'Ghai;;;;;;;;;x
summer_islander_bl;[Root.GetBloodlineName];;;;[Root.GetLinajeName];;;;;;;;;x
summer_islander_bl_desc;House [This.GetOnlyDynastyName] is one of the most respected bloodlines in The Summer Islands;;;;La Casa [This.GetOnlyDynastyName] es uno de los más respetados Linajes en Las Islas del Verano;;;;;;;;;x
naathi_bl;[Root.GetBloodlineName];;;;[Root.GetLinajeName];;;;;;;;;x
naathi_bl_desc;House [This.GetOnlyDynastyName] is one of the most respected bloodlines in Naath;;;;La Casa [This.GetOnlyDynastyName] es uno de los más respetados Linajes en Naath;;;;;;;;;x
dynastic_bl;[Root.GetBloodlineName];;;;[Root.GetLinajeName];;;;;;;;;x
dynastic_bl_desc;House [This.GetOnlyDynastyName] is one of the most respected bloodlines in the realm;;;;La Casa [This.GetOnlyDynastyName] es uno de los más respetados Linajes en el reino;;;;;;;;;x
khal_of_khals;Blood of [This.GetTitle] [This.GetFirstNameWithNick];;;;Sangre de [This.GetTitle] [This.GetFirstNameWithNick];;;;;;;;;x
khal_of_khals_desc;[This.GetTitledFirstNameNoRegnal] united The Dothraki into one Khalasar;;;;[This.GetTitledFirstNameNoRegnal] unió a los Dothraki en un Khalasar;;;;;;;;;x
jhattar_of_jogos_nhai;Blood of [This.GetTitle] [This.GetFirstNameWithNick];;;;Sangre de [This.GetTitle] [This.GetFirstNameWithNick];;;;;;;;;x
jhattar_of_jogos_nhai_desc;[This.GetTitledFirstNameNoRegnal] united The Jogos Nhai under [This.GetHerHis] leadership;;;;[This.GetTitledFirstNameNoRegnal] unió a los Jogos Nhai bajo su mando;;;;;;;;;x
bloodline_effect_traditional_claim;Grants a traditional claim on the §Y[From.Founder.PrimaryTitle.GetFullName]§!;;;;¡Concede una reclamación tradicionel sobre el §Y[From.Founder.PrimaryTitle.GetFullName]§!;;;;;;;;;x
blood_of_azor_ahai;Blood of Azor Ahai;;;;Sangre de Azor Ahai;;;;;;;;;x
blood_of_azor_ahai_desc;[This.GetTitledFirstNameWithDynastyNoRegnal] was purported to be Azor Ahai reborn;;;;[This.GetTitledFirstNameWithDynastyNoRegnal] fue representado como Azor Ahai renacido;;;;;;;;;x
blood_of_chaos;Blood of the Hand of Chaos;;;;Sangre de la Mano del Caos;;;;;;;;;x
blood_of_chaos_desc;[This.GetFirstNameWithNick] [This.GetOnlyDynastyName] unsealed the ancient labyrinths on Leng, unleashing the scourge of the Old Ones upon the world.;;;;[This.GetFirstNameWithNick] [This.GetOnlyDynastyName] rompió el sello de los antiguos laberintos de Leng, liberando el azote de Los Antiguos sobre el mundo.;;;;;;;;;x
reyne;Reyne Bloodline;;;;Linaje Reyne;;;;;;;;;x
reyne_desc;House Reyne is ancient house descending from the First Men. The Reynes joined the Kingdom of the Rock when first Lannister King wed daughter of their house.;;;;La Casa Reyne es una antigua casa descendiente de los Primeros Hombres. Los Reyne se unieron al Reino de la Roca cuando el primer Rey Lannister se casó con una hija de su casa.;;;;;;;;;x
mudd;Mudd Bloodline;;;;Linaje Mudd;;;;;;;;;x
mudd_desc;The Mudds ruled as Kings of the Rivers and the Hills from a castle whose ruins are now called Oldstones. They were the last of the First Men to rule the Trident.;;;;Los Mudds gobernaron como Reyes de los Ríos y las Colinas desde un castillo cuyas ruinas son ahora llamadas Piedrasviejas. Ellos fueron los últimos de los Primeros hombres que gobernaron El Tridente.;;;;;;;;;x
justman;Justman Bloodline;;;;Linaje Justman;;;;;;;;;x
justman_desc;Founded by Benedict 'the Just' Rivers, House Justman was a noble house from the riverlands who ruled as Kings of the Trident after the Andal Invasion.;;;;Fundado por Benedict 'El Justo' Ríos, la Casa Justman fue una noble casa de las Tierras de los Rios que gobernó como Reyes del Tridente tras la Invasión de los Ándalos.;;;;;;;;;x
teague;Teague Bloodline;;;;Linaje Teague;;;;;;;;;x
teague_desc;House Teague was a noble house from the riverlands who ruled as King of the Rivers and the Hills prior to Aegon's Conquest. ;;;;La Casa Teague fue una noble casa de las Tierras de los Ríos que gobernó como Reyes de los Ríos y de las Colinas antes de la Conquista de Aegon.;;;;;;;;;x
khiara_the_great;Bloodline of Khiara the Great;;;;Linaje de Khiara la Grande;;;;;;;;;x
khiara_the_great_desc;Khiara the Great was a God-Empress of Leng. She was of pure Lengii descent, but to please her subjects she took two husbands, one Lengii and one YiTish.;;;;Khiara La Grande fue una Diosa-Emperatriz de Leng. Ella era de pura sangre Lenguita, pero para complacer a sus súbditos ella tomó a dos maridos, uno de Leng y uno de YiTish.;;;;;;;;;x
bloodline_effect_strong_seed;Bloodline has §YStrong Seed§!;;;;¡Linaje tiene §YSemilla Fuerte§!;;;;;;;;;x
bloodline_effect_very_strong_seed;Bloodline has §YVery Strong Seed§!;;;;¡Linaje tiene §YSemilla  Muy Fuerte§!;;;;;;;;;x
bloodline_effect_fairly_strong_seed;Bloodline has §YFairly Strong Seed§!;;;;¡Linaje tiene §YSemilla  Bastante Fuerte§!;;;;;;;;;x
bloodline_effect_traditional_claim_short;Grants a traditional claim on §Y[From.Founder.PrimaryTitle.GetName]§!;;;;¡Concede una reclamación tradicional en §Y[From.Founder.PrimaryTitle.GetName]§!;;;;;;;;;x
pirate_bl;[Root.GetBloodlineName];;;;[Root.GetLinajeName];;;;;;;;;x
pirate_bl_desc;House [This.GetOnlyDynastyName] is one of the most respected pirate bloodlines;;;;La Casa [This.GetOnlyDynastyName] es uno de los Linajes piratas más respetados.;;;;;;;;;x
corsair_bl;[Root.GetBloodlineName];;;;[Root.GetLinajeName];;;;;;;;;x
corsair_bl_desc;House [This.GetOnlyDynastyName] is one of the most respected corsair bloodlines;;;;La Casa [This.GetOnlyDynastyName] es uno de los Linajes corsarios más respetados.;;;;;;;;;x
bloodline_effect_traditional_claim_blackfyre;Grants a traditional claim on §Ythe Iron Throne§!;;;;¡Concede una reclamación tradicional en §Y[From.Founder.PrimaryTitle.GetName]§!;;;;;;;;;x
