EVTOPTAransom.4;Yes, I will make the offer;Oui, je vais faire une offre.;;;Sí, haré la oferta;;;;;;;;;x
TOOLTIPransom.4ransom_10;[From.GetTitledFirstName]'s ransom is 10¤\n;La rançon de [From.GetTitledFirstName] s'élève à 10¤\n;;;El rescate de [From.GetTitledFirstName] es de 10¤\n;;;;;;;;;x
TOOLTIPransom.4ransom_25;[From.GetTitledFirstName]'s ransom is 25¤\n;La rançon de [From.GetTitledFirstName] s'élève à 25¤\n;;;El rescate de [From.GetTitledFirstName] es de 25¤\n;;;;;;;;;x
TOOLTIPransom.4ransom_46;[From.GetTitledFirstName]'s ransom is 46¤\n;La rançon de [From.GetTitledFirstName] s'élève à 46¤\n;;;El rescate de [From.GetTitledFirstName] es de 46¤\n;;;;;;;;;x
TOOLTIPransom.4ransom_70;[From.GetTitledFirstName]'s ransom is 70¤\n;La rançon de [From.GetTitledFirstName] s'élève à 75¤\n;;;El rescate de [From.GetTitledFirstName] es de 75¤\n;;;;;;;;;x
TOOLTIPransom.4ransom_75;[From.GetTitledFirstName]'s ransom is 75¤\n;La rançon de [From.GetTitledFirstName] s'élève à 75¤\n;;;El rescate de [From.GetTitledFirstName] es de 75¤\n;;;;;;;;;x
TOOLTIPransom.4ransom_110;[From.GetTitledFirstName]'s ransom is 110¤\n;La rançon de [From.GetTitledFirstName] s'élève à 110¤\n;;;El rescate de [From.GetTitledFirstName] es de 110¤\n;;;;;;;;;x
TOOLTIPransom.4ransom_145;[From.GetTitledFirstName]'s ransom is 145¤\n;La rançon de [From.GetTitledFirstName] s'élève à 75¤\n;;;El rescate de [From.GetTitledFirstName] es de 75¤\n;;;;;;;;;x
TOOLTIPransom.4ransom_250;[From.GetTitledFirstName]'s ransom is 250¤\n;La rançon de [From.GetTitledFirstName] s'élève à 75¤\n;;;El rescate de [From.GetTitledFirstName] es de 75¤\n;;;;;;;;;x
TOOLTIPransom.4ransom_385;[From.GetTitledFirstName]'s ransom is 385¤\n;La rançon de [From.GetTitledFirstName] s'élève à 110¤\n;;;El rescate de [From.GetTitledFirstName] es de 110¤\n;;;;;;;;;x
EVTOPTBransom.4;I don't see why I should;Je ne vois pas pourquoi je devrais le faire…;;;No veo porque debería...;;;;;;;;;x
EVTDESCransom.5;[Root.PrimaryTitle.GetFOA], I believe [FromFrom.GetTitledFirstNameWithDynasty] has been to in your custody for too long, I hereby offer to pay the ransom to secure [FromFrom.GetHerHis] release. I trust you will accept this fair offer.\n\n Regards,\n[From.GetTitledFirstNameWithDynasty];[Root.PrimaryTitle.GetFOA], je pense que [FromFrom.GetTitledFirstNameWithDynasty] est depuis trop longtemps votre prisonnier(e), aussi je me propose pour payer sa rançon et m'assurer de sa libération. J'espère que vous allez accepter cette offre généreuse.\n\n Cordialement,\n[From.GetTitledFirstNameWithDynasty];;;[Root.PrimaryTitle.GetFOA], creo que [FromFrom.GetTitledFirstNameWithDynasty] ha estado bajo vuestra custodia demasiado tiempo, me ofrezco a pagar el rescate para asegurar su liberación. Espero que aceptéis esta justa oferta.\n\n Cordialmente,\n[From.GetTitledFirstNameWithDynasty];;;;;;;;;x
EVTOPTAransom.5;No, [FromFrom.GetSheHe] shall stay in my custody;Non, [FromFrom.GetSheHe] reste où [FromFrom.GetSheHe] est.;;;No, permanecerá bajo mi custodia.;;;;;;;;;x
EVTDESCransom.6;[Root.PrimaryTitle.GetFOA], I 'm afraid I cannot accept your ransom offer, the prisoner must remain in my custody for the foreseeable future.\n\n Regards,\n[From.GetTitledFirstNameWithDynasty];[Root.PrimaryTitle.GetFOA], j'ai bien peur de ne pouvoir accepter votre offre de rançon, le(a) prisonnier(e) doit rester sous ma garde.\n\n Cordialement,\n[From.GetTitledFirstNameWithDynasty];;;[Root.PrimaryTitle.GetFOA], me temo que no puedo aceptar vuestra oferta de rescate, el prisionero permanecerá bajo mi custodia.\n\n Cordialmente,\n[From.GetTitledFirstNameWithDynasty];;;;;;;;;x
EVTOPTAransom.6;Perhaps I should try another method of release;Peut-être devrais-je essayer une autre méthode pour le(a) faire libérer.;;;Tal vez debería probar otro método para su liberación.;;;;;;;;;x
EVTDESCransom.7;[Root.PrimaryTitle.GetFOA], I find your ransom offer acceptable, once the gold has been received I will release the prisoner as soon as is possible.\n\n Regards,\n[From.GetTitledFirstNameWithDynasty];[Root.PrimaryTitle.GetFOA], je trouve votre offre parfaitement acceptable, lorsque vous m'aurez livré l'intégralité de la somme, je libérerai le(a) prisonnier(e) le plus rapidement possible.\n\n Cordialement,\n[From.GetTitledFirstNameWithDynasty];;;[Root.PrimaryTitle.GetFOA], encuentro vuestra oferta de rescate adecuada, en cuanto haya recibido el oro liberaré al prisionero lo antes posible.\n\n Cordialmente,\n[From.GetTitledFirstNameWithDynasty];;;;;;;;;x
EVTOPTAransom.7;That is good;Une bonne nouvelle.;;;Eso es bueno;;;;;;;;;x
TOOLTIPransom.5;will consider your ransom offer;va réfléchir à votre offre de rançon.;;;considerará vuestra oferta de rescate.;;;;;;;;;x
