#CODE;ENGLISH;FRENCH;GERMAN;;SPANISH;;;;;;;;;x
EVTOPTBred_priest.3;I am not bothered;Je ne suis pas dérangé;;;No estoy preocupado;;;;;;;;;x
EVTDESCred_priest.14C;[FromFrom.GetTitledFirstNameWithDynastyNoRegnal] approaches me and asks if I would like my ailments and disfigurements curedm by blood magic. All I need to do is embrace [FromFrom.Religion.GetHighGodName] of [FromFrom.Religion.GetName].;[FromFrom.GetTitledFirstNameWithDynastyNoRegnal] vient vers moi et me demande si je voudrais voir mes difformités disparaître. Tout ce que j'ai à faire c'est d'embrasser le pouvoir de ces sorciers.;;;[From.GetFirstNameWithDynasty] se me acerca y me pregunta si me gustaría que mis dolencias y desfiguraciones sean curadas. Todo lo que necesito hacer es creer en el dios rojo.;;;;;;;;;x
EVTDESCred_priest.15;Alone we are born and alone we die, but as we walk through this black vale we draw strength from one another.;Seuls nous naissons et seuls nous mourrons, mais en traversant cette vallée obscure, nous puisons notre force l'un de l'autre, et de toi, notre maître.;;;Solos nacemos y solos morimos, pero a medida que caminamos por este valle negro dibujamos la fuerza el uno del otro.;;;;;;;;;x
EVTOPTAred_priest.15;[From.GetFirstNameWithDynasty] has embraced the Lord of Light and has been healed.;[From.GetFirstNameWithDynasty] s'est converti au Maître de la Lumière et a été guéri. ;;;[From.GetFirstNameWithDynasty] ha adoptado al Señor de la Luz y ha sido sanado.;;;;;;;;;x
EVTDESCred_priest.16;We all must choose. Man or woman, young or old, lord or peasant. We choose light or we choose darkness. [From.GetTitledFirstNameWithDynastyNoRegnal] has refused the Lord of Light and has not been healed.;Nous devons tous choisir. Homme ou femme, jeune ou vieux, lord ou vilain, nos choix sont les mêmes. Nous choisissons entre la lumière et les ténèbres. [From.GetTitledFirstNameWithDynastyNoRegnal] a refusé le Dieu de la Lumière et n’a pas été guéri(e).;;;Todos debemos elegir. Hombre o mujer, joven o viejo, señor o campesino. Elijamos la luz o elijamos la oscuridad.;;;;;;;;;x
EVTDESCred_priest.16B;Not everyone has the bravery or belief required to embrace the power of blood magic. [From.GetTitledFirstNameWithDynastyNoRegnal] is one such fool, for [FromGetSheHe] has refused my offer and has not been healed.;Tout le monde n’a pas l’ouverture d’esprit ou la volonté pour suivre la voie des Conjurateurs. [From.GetTitledFirstNameWithDynastyNoRegnal] fait partie de ces imbéciles car [FromGetSheHe] a refusé mon offre et n’a pas été soigné(e).;;;Todos debemos elegir. Hombre o mujer, joven o viejo, señor o campesino. Elijamos la luz o elijamos la oscuridad.;;;;;;;;;x
EVTDESCred_priest.16C;Not everyone has the willingness or open-mind required to embrace the power of the warlocks. [From.GetTitledFirstNameWithDynastyNoRegnal] is one such fool, for [FromGetSheHe] has refused my offer and has not been healed.;Tout le monde n’a pas l’ouverture d’esprit ou la volonté pour suivre la voie des Conjurateurs. [From.GetTitledFirstNameWithDynastyNoRegnal] fait partie de ces imbéciles car [FromGetSheHe] a refusé mon offre et n’a pas été soigné(e).;;;Todos debemos elegir. Hombre o mujer, joven o viejo, señor o campesino. Elijamos la luz o elijamos la oscuridad.;;;;;;;;;x
EVTOPTAred_priest.16;That non-believer is a fool;Ce non-croyant est un idiot.;;;[From.GetFirstNameWithDynasty] se ha negado al Señor de Luz y no ha sido sanado.;;;;;;;;;x
CUSTOMTOOLTIPrhllor_saved_me;[This.GetTitledFirstNameNoRegnal] is given the Last kiss...\n;[This.GetTitledFirstNameNoRegnal] reçoit le dernier baiser...\n;;;Esta opción está disponible para ti, porque se hizo un sacrificio tu protección.;;;;;;;;;x
redgod_protection_plot;Protect From Plots;Protéger des complots. ;;;Proteger de complots;;;;;;;;;x
redgod_protection_plot_desc;You may use your sacrifice to R'hllor to protect this person from murder plots,;Vous pouvez utiliser votre sacrifice à R'hllor pour protéger cette personne des complots pour l'assassiner. ;;;Puedes usar tu sacrificio a R'hllor para proteger a esta persona de planes de asesinato.;;;;;;;;;x
redgod_protection_battle;Protect in Battle;Protéger durant la bataille.;;;Proteger en la batalla.;;;;;;;;;x
redgod_protection_battle_desc;You may use your sacrifice to R'hllor to protect this person in battle.;Vous pouvez utiliser votre sacrifice à R'hllor pour protéger cette personne durant la bataille. ;;;Puedes usar tu sacrificio a R'hllor para proteger a esta persona en la batalla.;;;;;;;;;x
redgod_heal_basic;Cure Ailments;Guérir les maladies et les blessures.;;;Curar dolencias.;;;;;;;;;x
redgod_heal_basic_desc;Your sacrifice to R'hllor may be able to heal this person from injury and disease.;Votre sacrifice à R'hllor pourrait guérir cette personne de ces maladies et de ses blessures. ;;;Tu sacrificio a R'hllor puede curar a esta persona de lesiones y enfermedades.;;;;;;;;;x
redgod_healing_timer;Attempted R'hllor Healing;Tentative de guérison grâce à R'hllor;;;Intento de curación gracias a R'hllor;;;;;;;;;x
TOOLTIPredgod_heal_basicSUCCESS;[Root.GetTitledFirstNameNoRegnal] is successfully healed by [This.GetTitledFirstName]\n;[Root.GetTitledFirstNameNoRegnal] est guéri par [This.GetTitledFirstName]\n;;;[Root.GetTitledFirstNameNoRegnal] ha sido curado por [This.GetTitledFirstName]\n;;;;;;;;;x
TOOLTIPredgod_heal_basicFAIL;The healing fails\n;Les soins échouent\n;;;La curación falla\n;;;;;;;;;x
TOOLTIPREDGODHEALCONVERT;[Root.GetTitledFirstNameNoRegnal] will decide whether to accept your offer of healing. If successful [Root.GetSheHe] will convert to worship R'hllor;[Root.GetTitledFirstNameNoRegnal] va décider s'il accepte ou non votre offre de soins. Si cela réussit [Root.GetSheHe] se convertira au culte de R'hllor;;;[Root.GetTitledFirstNameNoRegnal] decidirá si acepta o no tu oferta de curación. Si funcionase, se convertirá al culto de R'hllor;;;;;;;;;x
redgod_heal_chosen;Cure Malformation;Guérir les malformations.;;;Curar malformaciones.;;;;;;;;;x
redgod_heal_chosen_desc;Your sacrifice to R'hllor may be able to heal this person from disfigurement.;Votre sacrifice à R'hllor pourrait faire disparaître les malformations de cette personne.;;;Tu sacrificio a R'hllor puede curar a esta persona de sus malformaciones.;;;;;;;;;x
redgod_protection_plot_self;Protect yourself from plots;Vous protéger des complots.;;;Protegerte de complots;;;;;;;;;x
redgod_protection_plot_self_desc;You may use your sacrifice to R'hllor to protect yourself from murder plots,;Vous pouvez utiliser votre sacrifice à R'hllor pour vous protéger des complots visant à vous assassiner. ;;;Puedes usar tu sacrificio a R'hllor para protegerte de planes de asesinato.;;;;;;;;;x
redgod_protection_battle_self;Protect yourself from battle;Vous protéger durant la bataille.;;;Protegerte en la batalla.;;;;;;;;;x
redgod_protection_battle_self_desc;You may use your sacrifice to Roller to protect yourself in battle.;Vous pouvez utiliser votre sacrifice à R'hllor pour vous protéger durant la bataille. ;;;Puedes usar tu sacrificio a R'hllor para protegerte en la batalla.;;;;;;;;;x
redgod_heal_basic_self;Cure Yourself of Ailments;Vous guérir de vos maladies.;;;Curar tus enfermedades.;;;;;;;;;x
redgod_heal_basic_self_desc;Your sacrifice to R'hllor may be able heal your injury and diseases.;Votre sacrifice à R'hllor pourrait guérir vos maladies et vos blessures.;;;Tu sacrificio a R'hllor puede sanar tus lesiones y enfermedades.;;;;;;;;;x
redgod_heal_basic_self_named;Try and heal your injury and diseases thanks to your sacrifice to R'hllor;Essayer de guérir vos blessures et maladies grâce à un sacrifice à R'hllor;;;Intentar curar tus heridas y enfermedades con un sacrificio a R'hllor;;;;;;;;;x
redgod_heal_chosen_self;Cure Your Malformations;Faire disparaître vos malformations.;;;Curar tus malformaciones.;;;;;;;;;x
redgod_heal_chosen_self_desc;Your sacrifice to R'hllor may be able to heal your disfigurements.;Votre sacrifice à R'hllor pourrait faire disparaître vos malformations.;;;Tu sacrificio a R'hllor puede sanar tus malformaciones.;;;;;;;;;x
redgod_heal_chosen_self_named;Try and heal your disfigurements thanks to your sacrifice to R'hllor;Essayer de guérir vos malformations grâce à un sacrifice à R'hllor.;;;Intentar curar tus malformaciones con un sacrificio a R'hllor;;;;;;;;;x
CUSTOMTOOLTIPdiseasecureallow;You are Favored by R'hllor and have made a sacrifice\n;Vous êtes favorisé(e) par R'hllor et avez fait un sacrifice.\n;;;Estáis favorecido por R'hllor y han hecho un sacrificio.;;;;;;;;;x
CUSTOMTOOLTIPdeformedcureallow;You are Chosen by R'hllor and have made a sacrifice\n;Vous avez été choisi(e) par R'hllor et avez fait un sacrifice.\n;;;Habéis sido elegido por R'hllor han hecho un sacrificio.;;;;;;;;;x
CUSTOMTOOLTIPredgod_nosacrafice;This does not count as a sacrifice to R'hllor\n;Cela ne compte pas comme un sacrifice à R'hllor.\n;;;Esto no cuenta como un sacrificio a R'hllor.;;;;;;;;;x
show_redgod;Show R'hllor action list;Montrer les actions en rapport avec R'hllor.;;;Mostrar lista de acciones de R'hllor;;;;;;;;;x
show_redgod_desc;Opens the list of options.;Ouvrir la liste des options.;;;Abre la lista de opciones.;;;;;;;;;x
hide_redgod;Hide R'hllor action list;Cacher les actions en rapport avec R'hllor.;;;Ocultar la lista de acciones de R'hllor;;;;;;;;;x
hide_redgod_desc;Closes the list of options.;Fermer la liste des options.;;;Cierra la lista de opciones.;;;;;;;;;x
EVTDESCred_priest.17;My liege is Azor Ahai reborn, Chosen by R'hllor. It is time to demonstrate the power of the Lord of Light!;Mon seigneur est Azor Ahai ressuscité, choisi par R'hllor. Il est temps de montrer la puissance du Maître de la Lumière !;;;Mi señor es Azor Ahai renacido, elegido por R'hllor. Es hora de demostrar el poder del Señor de la Luz!;;;;;;;;;x
EVTOPTAred_priest.17;Ok;Ok;;;Vale;;;;;;;;;x
EVTDESCred_priest.18;Under the direction of [rhllor_priest.GetTitledFirstName] you could attempt to take the mantle of Azor Ahai by plunging a sword into a pyre of burning relics of the [rhllor_priest.Location.Religion.GetName] and convert the people of [rhllor_priest.Location.GetName].;Sous la direction de [rhllor_priest.GetTitledFirstName]  vous pouvez essayer de revêtir le manteau d'Azor Ahai en plongeant une épée dans un bûcher consumant des reliques de [rhllor_pries.Location.Religion.GetName] et convertir ainsi le peuple de [rhllor_pries.Location.GetName].;;;Bajo la dirección de [From.GetTitledFirstNameWithDynastyAndTitleNoRegnal] podríais intentar tomar el manto de Azor Ahai hundiendo una espada en una pira de reliquias quemadas de los Siete y convertir el pueblo de [From.Location.GetName].;;;;;;;;;x
EVTOPTAred_priest.18;I am Azor Ahai reborn!;Je suis Azor Ahai ressuscité !;;;Soy Azor Ahai renacido!;;;;;;;;;x
EVTOPTBred_priest.18;No thank you.;Non merci.;;;No gracias.;;;;;;;;;x
EVTDESCred_priest.19;You witnessed [From.GetTitledFirstNameWithDynastyAndTitleNoRegnal] pull a sword from the flames. Is [From.GetSheHe] Azor Ahai reborn?;Vous voyez [From.GetTitledFirstNameWithDynastyAndTitleNoRegnal] plonger une épée dans les flammes avant de l'enflammer. Est-[From.GetSheHe] Azor Ahai ressuscité ? ;;;Fuiste testigo de que [From.GetTitledFirstNameWithDynastyAndTitleNoRegnal] sacó una espada de las llamas. Es [From.GetSheHe] Azor Ahai renacido?;;;;;;;;;x
EVTOPTAred_priest.19;Yes, I follow R'hllor into the light.;Oui, j'accompagne R'hllor dans la Lumière.;;;Sí, sigo a R'hllor a la luz.;;;;;;;;;x
EVTOPTBred_priest.19;I am a believer now.;Je suis un croyant désormais.;;;Yo soy un creyente ahora.;;;;;;;;;x
EVTOPTCred_priest.19;This is madness, a child can light a fire and pull a sword out.;C'est de la folie, même un enfant pourrait allumer un feu et plonger une épée dedans !;;;Esto es una locura, hasta niño puede encender un fuego y tirar de una espada.;;;;;;;;;x
EVTOPTDred_priest.19;No thank you.;Non merci.;;;No gracias.;;;;;;;;;x
CUSTOMTOOLTIPmassrhllorconversion;Everyone at this location will be radicalized, R'hllor followers will become zealous and all but the most devout heretics will be converted.;Toutes les personnes présentes en ce lieu se radicaliseront, les fidèles de R'hllor deviendront zélés et tous seront convertis à l'exception des hérétiques les plus dévoués. ;;;Todo el mundo en este lugar se radicalizará, los seguidores de R'hllor se harán fanáticos y todos los demás, excepto los herejes más devotos, se convertirán.;;;;;;;;;x
EVTDESCred_priest.20;Choose from the available list of interactions.;Choisir dans la liste des interactions disponibles.;;;Elige de la lista las interacciones disponibles.;;;;;;;;;x
EVTOPTAred_priest.20;Protect [From.GetTitledFirstNameWithDynastyAndTitleNoRegnal] from Plots.;Protéger [From.GetTitledFirstNameWithDynastyAndTitleNoRegnal] des complots.;;;Proteger a [From.GetTitledFirstNameWithDynastyAndTitleNoRegnal] de complots.;;;;;;;;;x
EVTOPTBred_priest.20;Protect [From.GetTitledFirstNameWithDynastyAndTitleNoRegnal] from Battle.;Protéger [From.GetTitledFirstNameWithDynastyAndTitleNoRegnal] durant la bataille.;;;Proteger a[From.GetTitledFirstNameWithDynastyAndTitleNoRegnal] en la batalla.;;;;;;;;;x
EVTOPTCred_priest.20;Heal [From.GetTitledFirstNameWithDynastyAndTitleNoRegnal]'s ailments.;Guérir les maladies de [From.GetTitledFirstNameWithDynastyAndTitleNoRegnal].;;;Curar a[From.GetTitledFirstNameWithDynastyAndTitleNoRegnal] de sus dolencias.;;;;;;;;;x
EVTOPTDred_priest.20;Heal [From.GetTitledFirstNameWithDynastyAndTitleNoRegnal] disfigurements and malformations.;Guérir les malformations de [From.GetTitledFirstNameWithDynastyAndTitleNoRegnal].;;;Curar a [From.GetTitledFirstNameWithDynastyAndTitleNoRegnal]  sus desfiguraciones y malformaciones.;;;;;;;;;x
EVTOPTEred_priest.20;Nevermind;Laissez tomber.;;;No importa;;;;;;;;;x
EVTOPTFred_priest.20;R'hllor Interaction;Interaction de R'hllor.;;;Interacción de R'hllor;;;;;;;;;x
EVTDESCred_priest.21;A feint glow envelopes your body.;Un halo rougeoyant vous entoure.;;;Un halo brillante te rodea.;;;;;;;;;x
EVTOPTAred_priest.21;....;…;;;....;;;;;;;;;x
CUSTOMTOOLTIPviolentdeath_rhllor;Your wounds are so great that R'hllor's protection is not enough. You must give more of your life's fire to overcome them.;Vos blessures sont si graves que même la protection de R'hllor n'est pas suffisante. Vous devez donner plus de feu de votre vie pour les guérir. ;;;Tus heridas son tan grandes que la protección de R'hllor no es suficiente. Debes dar más al fuego para curarlas.;;;;;;;;;x
EVTOPTZred_priest.22;R'HLLOR GIVE ME STRENGTH!;R'HLLOR, DONNE MOI LA FORCE !;;;R'hllor dame fuerza!;;;;;;;;;x
EVTDESCred_priest.22;Your duel with [From.GetTitledFirstNameWithDynastyAndTitleNoRegnal] is over, [From.GetHerHis] lifeless body lays in a pool of its own blood. You turn your back and walk away only to hear [From.GetHerHim] call out 'Until next time [Root.GetTitledFirstNameWithDynastyAndTitleNoRegnal]!';Votre duel avec [From.GetTitledFirstNameWithDynastyAndTitleNoRegnal] est terminé, son corps sans vie gît dans une mare de sang. Vous tournez les talons et vous éloignez lorsque vous l'entendez dire: 'Nous nous reverrons [Root.GetTitledFirstNameWithDynastyAndTitleNoRegnal]!' ;;;"Tu duelo con [From.GetTitledFirstNameWithDynastyAndTitleNoRegnal] ha terminado, su cuerpo sin vida yace en un charco de su propia sangre. Le das la espalda y te alejas cuando le oyes decir ""Nos volveremos a ver [Root.GetTitledFirstNameWithDynastyAndTitleNoRegnal]!"" ";;;;;;;;;x
EVTOPTAred_priest.22;I can't believe it!;Je n'arrive pas à y croire !;;;No puedo creerlo!;;;;;;;;;x
red_god_magic;Sacrifices to R'hllor;Sacrifices à R'hllor;;;Sacrificios a R'hllor;;;;;;;;;x
redgod_reveal_plots;Look Into the Flames;Regarder dans les flammes;;;Ver en las llamas;;;;;;;;;x
redgod_reveal_plots_desc;Have your Red Priest help you gaze into the flames to try and discover plots against you and your family.;Demander à votre Prêtre Rouge de vous aider à regarder dans les flammes pour tenter de découvrir les complots hostiles à vous ou à vos parents;;;Pedir ayuda al Sacerdote Rojo para que mire en las llamas e intente descubrir los complots hostiles contra ti o tu familia.;;;;;;;;;x
TOOLTIPredgod_reveal_plots;There is an unknown plot against [Root.GetTitledFirstNameNoRegnal]'s family\n;Il y a un complot inconnu à l'encontre de la famille de [Root.GetTitledFirstNameNoRegnal]\n;;;Hay una conspiración desconocida contra la familia de [Root.GetTitledFirstNameNoRegnal]\n;;;;;;;;;x
TOOLTIPredgod_reveal_plotsSUCCESS;A plot is successfully revealed by [This.GetTitledFirstName]\n;Un complot est révélé par [This.GetTitledFirstName]\n;;;Un complot ha sido revelado por [This.GetTitledFirstName]\n;;;;;;;;;x
TOOLTIPredgod_reveal_plotsFAIL;Nothing is learnt\n;Vous n'apprenez rien\n;;;No descubres nada\n;;;;;;;;;x
redgod_reveal_plots_timer;Attempted Fire Gazing;Vision dans les flammes tentée;;;Intento de visión en las llamas;;;;;;;;;x
EVTDESCred_priest.23;You and [red_priest.GetTitledFirstName] spent many hours together gazing into the flames. Your eyes are stinging, but finally you see the outline of a figure, and realise it is [red_priest_plotter_reveal.GetTitledFirstNameNoRegnal] [red_priest_plotter_reveal.GetOnlyDynastyName]! [red_priest_plotter_reveal.GetSheHeCap] is apparently plotting to [red_priest_plotter_reveal.GetPlot].;Vous et [red_priest.GetTitledFirstName] avez passé de nombreuses heures à regarder dans les flammes. Vos yeux sont fatigués, mais enfin vous voyez des formes, et réalisez qu'il s'agit de [red_priest_plotter_reveal.GetTitledFirstNameNoRegnal] [red_priest_plotter_reveal.GetOnlyDynastyName]! [red_priest_plotter_reveal.GetSheHeCap] complote apparemment pour [red_priest_plotter_reveal.GetPlot].;;;Tú y [red_priest.GetTitledFirstName] pasáis muchas horas mirando las llamas. Tenéis los ojos cansados, pero al fin veis unas formas, descubres que se trata de [red_priest_plotter_reveal.GetTitledFirstNameNoRegnal] [red_priest_plotter_reveal.GetOnlyDynastyName]! [red_priest_plotter_reveal.GetSheHeCap] aparentemente conspira contra [red_priest_plotter_reveal.GetPlot].;;;;;;;;;x
EVTDESCred_priest.23B;You and [red_priest.GetTitledFirstName] drank shade-of-the-evening together until your lips turned blue. You feel dizzy as visions start to form before you, and finally you see the outline of a figure, and realise it is [red_priest_plotter_reveal.GetTitledFirstNameNoRegnal] [red_priest_plotter_reveal.GetOnlyDynastyName]! [red_priest_plotter_reveal.GetSheHeCap] is apparently plotting to [red_priest_plotter_reveal.GetPlot].;Vous et [red_priest.GetTitledFirstName] avez bu de l’ombre-du-soir jusqu’à ce que vos lèvres deviennent bleues. Vous chancelez un peu alors que des visions se forment autour de vous et vous discernez petit à petit le contour d’un visage et vous rendez-compte qu’il s’agit de [red_priest_plotter_reveal.GetTitledFirstNameNoRegnal] [red_priest_plotter_reveal.GetOnlyDynastyName]! [red_priest_plotter_reveal.GetSheHeCap] est en train d’intriguer au sujet de [red_priest_plotter_reveal.GetPlot]. ;;;;;;;;;;;;x
EVTDESCred_priest.23C;You drank shade-of-the-evening until your lips turned blue. You feel dizzy as visions start to form before you, and finally you see the outline of a figure, and realise it is [red_priest_plotter_reveal.GetTitledFirstNameNoRegnal] [red_priest_plotter_reveal.GetOnlyDynastyName]! [red_priest_plotter_reveal.GetSheHeCap] is apparently plotting to [red_priest_plotter_reveal.GetPlot].;Vous et [red_priest.GetTitledFirstName] avez bu de l’ombre-du-soir jusqu’à ce que vos lèvres deviennent bleues. Vous chancelez un peu alors que des visions se forment autour de vous et vous discernez petit à petit le contour d’un visage et vous rendez-compte qu’il s’agit de [red_priest_plotter_reveal.GetTitledFirstNameNoRegnal] [red_priest_plotter_reveal.GetOnlyDynastyName]! [red_priest_plotter_reveal.GetSheHeCap] est en train d’intriguer au sujet de [red_priest_plotter_reveal.GetPlot]. ;;;;;;;;;;;;x
EVTDESCred_priest.23D;You and [red_priest.GetTitledFirstName] spent the night performing the magic rites, bathing yourselves in blood. You drank the resulting concotions and started to receive the visions, and finally you see the outline of a figure, and realise it is [red_priest_plotter_reveal.GetTitledFirstNameNoRegnal] [red_priest_plotter_reveal.GetOnlyDynastyName]! [red_priest_plotter_reveal.GetSheHeCap] is apparently plotting to [red_priest_plotter_reveal.GetPlot].;Vous et [red_priest.GetTitledFirstName] avez passé de nombreuses heures à regarder dans les flammes. Vos yeux sont fatigués, mais enfin vous voyez des formes, et réalisez qu'il s'agit de [red_priest_plotter_reveal.GetTitledFirstNameNoRegnal] [red_priest_plotter_reveal.GetOnlyDynastyName]! [red_priest_plotter_reveal.GetSheHeCap] complote apparemment pour [red_priest_plotter_reveal.GetPlot].;;;Tú y [red_priest.GetTitledFirstName] pasáis muchas horas mirando las llamas. Tenéis los ojos cansados, pero al fin veis unas formas, descubres que se trata de [red_priest_plotter_reveal.GetTitledFirstNameNoRegnal] [red_priest_plotter_reveal.GetOnlyDynastyName]! [red_priest_plotter_reveal.GetSheHeCap] aparentemente conspira contra [red_priest_plotter_reveal.GetPlot].;;;;;;;;;x
EVTOPTAred_priest.23;[Root.Religion.GetRandomGodName] has revealed [red_priest_plotter_reveal.GetHerHis] treachery;[Root.Religion.GetRandomGodName] a révélé sa duplicité;;;;;;;;;;;;x
EVTDESCred_priest.24;You and [red_priest.GetTitledFirstName] spent many hours together gazing into the flames, but to no avail. You only managed to see vague shadows which revealed nothing of the threats to your family.;Vous et [red_priest.GetTitledFirstName] avez passé de nombreuses heures à regarder dans les flammes, mais en vain. Vous n'avez pu voir que de vagues ombres qui n'ont rien révélé des menaces pesant sur votre famille.;;;;;;;;;;;;x
EVTDESCred_priest.24B;You and [red_priest.GetTitledFirstName] drank shade-of-the-evening together until your lips turned blue, but to no avail. You only managed to see vague visions which revealed nothing of the threats to your family.;Vous et [red_priest.GetTitledFirstName] avez bu de l’ombre-du-soir jusqu’à ce que vos lèvres deviennent bleues, mais sans grand effet. Vous n’avez réussi qu’à voir de diffuses visions ne révélant aucune menace envers votre famille.;;;;;;;;;;;;x
EVTDESCred_priest.24C;You and [red_priest.GetTitledFirstName] spent the night performing the magic rites, bathing yourselves in blood. You drank the resulting concotions and started to receive the visions, but alas they were of no use. You only managed to see vague visions which revealed nothing of the threats to your family.;Vous et [red_priest.GetTitledFirstName] avez bu de l’ombre-du-soir jusqu’à ce que vos lèvres deviennent bleues, mais sans grand effet. Vous n’avez réussi qu’à voir de diffuses visions ne révélant aucune menace envers votre famille.;;;;;;;;;;;;x
EVTOPTAred_priest.24;I am weary of this;Je ne sais pas quoi penser de cela;;;;;;;;;;;;x
EVTDESCred_priest.25;You are not quite sure how, but [From.GetTitledFirstNameNoRegnal] has found out about your plot to [Root.GetPlot]!;Vous ne savez pas vraiment comment, mais [From.GetTitledFirstNameNoRegnal] a découvert votre complot pour [Root.GetPlot]!;;;;;;;;;;;;x
EVTOPTAred_priest.25;It must be to do with [From.job_spiritual.GetTitledFirstName];Cela doit être en lien avec [From.job_spiritual.GetTitledFirstName];;;;;;;;;;;;x
EVTDESCred_priest.26;[red_priest.GetTitledFirstName] stands beside you and calls upon the Lord of Light to lift the darkness from you and heal you of your sickness. [red_priest.GetSheHeCap] uses fire to treat the afflicted areas, and immediately you feel relieved.;[red_priest.GetTitledFirstName] se tient à vos côtés et en appelle au Maître de la Lumière pour dissiper les ténèbres qui vous entourent et vous guérir de votre maladie. [red_priest.GetSheHeCap] utilise le feu pour traiter les zones touchées, et vous vous sentez immédiatement soulagé;;;;;;;;;;;;x
EVTDESCred_priest.26B;[red_priest.GetTitledFirstName] has you bathe in hot blood before starting to mutter unintelligible incantations. [red_priest.GetSheHeCap] then slits the throat of a lamb, spilling its blood over your wound. Immediately you feel relieved.;[red_priest.GetTitledFirstName] vous fait vous baigner dans du sang chaud avant de murmurer des incantations inintelligibles. [red_priest.GetSheHeCap] tranche ensuite la gorge d’un agneau, répandant son sang sur votre blessure. Vous vous sentez immédiatement soulagé(e).;;;;;;;;;;;;x
